CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO
125098  ,1.0,1.0,Varón,80.0,Viudo,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Jubilado/pensionado,583.0,583.0,0.0,0.0,0.0,2005
125188  ,1.0,1.0,Varón,26.0,Casado,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,150.0,450.0,300.0,Cuenta propia,Sí,2005
125188  ,1.0,2.0,Mujer,27.0,Casado,No paga ni le descuentan,Superior Universitaria Completa,Inactivo,Ama de casa,150.0,450.0,0.0,0.0,0.0,2005
125188  ,1.0,3.0,Mujer,,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,150.0,450.0,0.0,0.0,0.0,2005
125242  ,1.0,1.0,Mujer,71.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,855.0,855.0,0.0,0.0,0.0,2005
125436  ,1.0,1.0,Varón,54.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,1016.0,5080.0,5000.0,Cuenta propia,No,2005
125436  ,1.0,2.0,Mujer,54.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Ama de casa,1016.0,5080.0,0.0,0.0,0.0,2005
125436  ,1.0,3.0,Mujer,27.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Otros,1016.0,5080.0,0.0,0.0,0.0,2005
125436  ,1.0,4.0,Varón,20.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Desocupado,0.0,1016.0,5080.0,0.0,Obrero o empleado,0.0,2005
125436  ,1.0,5.0,Mujer,18.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,1016.0,5080.0,0.0,0.0,0.0,2005
125533  ,1.0,1.0,Varón,75.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,350.0,1050.0,450.0,Cuenta propia,No,2005
125533  ,1.0,2.0,Mujer,66.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Inactivo,Otros,350.0,1050.0,0.0,0.0,0.0,2005
125533  ,1.0,3.0,Varón,94.0,Viudo,No paga ni le descuentan,Superior Universitaria Completa,Inactivo,Jubilado/pensionado,350.0,1050.0,0.0,0.0,0.0,2005
125533  ,2.0,Servicio doméstico en hogares,Mujer,76.0,Viudo,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,150.0,150.0,150.0,Obrero o empleado,No,2005
125558  ,1.0,1.0,Varón,55.0,Casado,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Ocupado,0.0,862.5,3450.0,2500.0,Cuenta propia,No,2005
125558  ,1.0,2.0,Mujer,52.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,862.5,3450.0,500.0,Cuenta propia,No,2005
125558  ,1.0,3.0,Mujer,26.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,862.5,3450.0,150.0,Obrero o empleado,No,2005
125558  ,1.0,4.0,Mujer,21.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,862.5,3450.0,250.0,Obrero o empleado,No,2005
125599  ,1.0,1.0,Varón,56.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,660.0,3300.0,3000.0,Cuenta propia,No,2005
125599  ,1.0,2.0,Mujer,49.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Desocupado,0.0,660.0,3300.0,0.0,0.0,0.0,2005
125599  ,1.0,3.0,Varón,18.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Jubilado/pensionado,660.0,3300.0,0.0,0.0,0.0,2005
