CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO
155508  ,1.0,1.0,Mujer,39.0,Separado o divorciado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Desocupado,0.0,0.0,0.0,0.0,Cuenta propia,0.0,2005
155508  ,1.0,2.0,Varón,16.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Inactivo,Estudiante,0.0,0.0,0.0,0.0,0.0,2005
155508  ,1.0,3.0,Mujer,14.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Inactivo,Estudiante,0.0,0.0,0.0,0.0,0.0,2005
155508  ,1.0,4.0,Mujer,8.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,0.0,0.0,0.0,0.0,0.0,2005
160429  ,1.0,1.0,Varón,62.0,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Otros,0.0,0.0,0.0,0.0,0.0,2005
160429  ,1.0,2.0,Mujer,61.0,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Ama de casa,0.0,0.0,0.0,0.0,0.0,2005
222740  ,1.0,1.0,Mujer,42.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Desocupado,0.0,0.0,0.0,0.0,Cuenta propia,0.0,2005
233600  ,1.0,1.0,Mujer,55.0,Separado o divorciado,No paga ni le descuentan,Superior Universitaria Completa,Desocupado,0.0,0.0,0.0,0.0,Obrero o empleado,0.0,2005
233600  ,1.0,2.0,Varón,25.0,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Desocupado,0.0,0.0,0.0,0.0,0.0,0.0,2005
233600  ,1.0,3.0,Varón,23.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Desocupado,0.0,0.0,0.0,0.0,0.0,0.0,2005
287091  ,1.0,1.0,Mujer,38.0,Soltero,No paga ni le descuentan,Secundaria Incompleta,Desocupado,0.0,0.0,0.0,0.0,Obrero o empleado,0.0,2005
287091  ,1.0,2.0,Mujer,65.0,Separado o divorciado,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Desocupado,0.0,0.0,0.0,0.0,Obrero o empleado,0.0,2005
126169  ,1.0,1.0,Varón,55.0,Casado,Obra social (incluye PAMI),Primaria Completa,Desocupado,0.0,0.0,0.0,0.0,Cuenta propia,0.0,2005
126169  ,1.0,2.0,Mujer,52.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,0.0,0.0,0.0,0.0,0.0,2005
126169  ,1.0,3.0,Varón,18.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Desocupado,0.0,0.0,0.0,0.0,0.0,0.0,2005
130973  ,1.0,1.0,Mujer,29.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,0.0,0.0,0.0,Obrero o empleado,Sí,2005
130973  ,1.0,2.0,Mujer,70.0,Viudo,No paga ni le descuentan,Primaria Completa,Inactivo,Ama de casa,0.0,0.0,0.0,0.0,0.0,2005
139174  ,1.0,1.0,Varón,56.0,Casado,No paga ni le descuentan,Secundaria Completa,Desocupado,0.0,0.0,0.0,0.0,Cuenta propia,0.0,2005
139174  ,1.0,2.0,Mujer,53.0,Casado,No paga ni le descuentan,Primaria Completa,Desocupado,0.0,0.0,0.0,0.0,Obrero o empleado,0.0,2005
