CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,pobre
125098  ,1.0,1.0,1,80,,,4,3,1.0,583.0,583.0,0.0,0.0,0.0,2005,125098  _1.0,0.74,0.74,151.7518,0
125188  ,1.0,1.0,1,26,,,5,1,0.0,150.0,450.0,300.0,2.0,Sí,2005,125188  _1.0,1.02,1.78,365.0246,0
125188  ,1.0,2.0,2,27,,,7,3,4.0,150.0,450.0,0.0,0.0,0.0,2005,125188  _1.0,0.76,1.78,365.0246,0
125188  ,1.0,3.0,2,,,,1,4,5.0,150.0,450.0,0.0,0.0,0.0,2005,125188  _1.0,0.0,1.78,365.0246,0
125242  ,1.0,1.0,2,71,,,3,3,1.0,855.0,855.0,0.0,0.0,0.0,2005,125242  _1.0,0.67,0.67,137.39690000000002,0
125436  ,1.0,1.0,1,54,,,5,1,0.0,1016.0,5080.0,5000.0,2.0,No,2005,125436  _1.0,1.0,4.3,881.8009999999999,0
125436  ,1.0,2.0,2,54,,,5,3,4.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0
125436  ,1.0,3.0,2,27,,,5,3,7.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0
125436  ,1.0,4.0,1,20,,,4,2,0.0,1016.0,5080.0,0.0,3.0,0.0,2005,125436  _1.0,1.02,4.3,881.8009999999999,0
125436  ,1.0,5.0,2,18,,,6,3,3.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0
125533  ,1.0,1.0,1,75,,,7,1,0.0,350.0,1050.0,450.0,2.0,No,2005,125533  _1.0,0.83,2.98,611.1086,0
125533  ,1.0,1.0,1,75,,,7,1,0.0,350.0,1050.0,450.0,2.0,No,2005,125533  _1.0,0.74,2.98,611.1086,0
125533  ,1.0,2.0,2,66,,,6,3,7.0,350.0,1050.0,0.0,0.0,0.0,2005,125533  _1.0,0.67,2.98,611.1086,0
125533  ,1.0,3.0,1,94,,,7,3,1.0,350.0,1050.0,0.0,0.0,0.0,2005,125533  _1.0,0.74,2.98,611.1086,0
125533  ,2.0,Servicio doméstico en hogares,2,76,,,3,1,0.0,150.0,150.0,150.0,3.0,No,2005,125533  _2.0,0.63,0.63,129.1941,0
125558  ,1.0,1.0,1,55,,,4,1,0.0,862.5,3450.0,2500.0,2.0,No,2005,125558  _1.0,1.0,3.2800000000000002,672.6296,0
125558  ,1.0,2.0,2,52,,,7,1,0.0,862.5,3450.0,500.0,2.0,No,2005,125558  _1.0,0.76,3.2800000000000002,672.6296,0
125558  ,1.0,3.0,2,26,,,6,1,0.0,862.5,3450.0,150.0,3.0,No,2005,125558  _1.0,0.76,3.2800000000000002,672.6296,0
125558  ,1.0,4.0,2,21,,,6,1,0.0,862.5,3450.0,250.0,3.0,No,2005,125558  _1.0,0.76,3.2800000000000002,672.6296,0
125599  ,1.0,1.0,1,56,,,5,1,0.0,660.0,3300.0,3000.0,2.0,No,2005,125599  _1.0,1.0,4.44,910.5108,0
125599  ,1.0,2.0,2,49,,,5,2,0.0,660.0,3300.0,0.0,0.0,0.0,2005,125599  _1.0,0.76,4.44,910.5108,0
