CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,POBRE,EDAD,edad2,educ,ingreso_total_familiar,horastrab_x,horastrab_y,miembros_hogar,horastrab
125098  ,1.0,1.0,1,80.0,,,4,3,1.0,583.0,583.0,0.0,0.0,0.0,2005,125098  _1.0,0.74,0.74,151.7518,0,80.0,6400.0,12,207611.58040665434,,,1,
125188  ,1.0,1.0,1,26.0,,,5,1,0.0,150.0,450.0,300.0,2.0,Sí,2005,125188  _1.0,1.02,1.78,365.0246,0,26.0,676.0,14,160249.07578558224,,,3,20.0
125188  ,1.0,2.0,2,27.0,,,7,3,4.0,150.0,450.0,0.0,0.0,0.0,2005,125188  _1.0,0.76,1.78,365.0246,0,27.0,729.0,0,160249.07578558224,,,3,20.0
125188  ,1.0,3.0,2,,,,1,4,5.0,150.0,450.0,0.0,0.0,0.0,2005,125188  _1.0,0.0,1.78,365.0246,0,,,3,160249.07578558224,,,3,20.0
125242  ,1.0,1.0,2,71.0,,,3,3,1.0,855.0,855.0,0.0,0.0,0.0,2005,125242  _1.0,0.67,0.67,137.39690000000002,0,71.0,5041.0,9,304473.2439926063,,,1,
125436  ,1.0,1.0,1,54.0,,,5,1,0.0,1016.0,5080.0,5000.0,2.0,No,2005,125436  _1.0,1.0,4.3,881.8009999999999,0,54.0,2916.0,14,1809034.011090573,,,5,40.0
125436  ,1.0,2.0,2,54.0,,,5,3,4.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0,54.0,2916.0,14,1809034.011090573,,,5,40.0
125436  ,1.0,3.0,2,27.0,,,5,3,7.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0,27.0,729.0,14,1809034.011090573,,,5,40.0
125436  ,1.0,4.0,1,20.0,,,4,2,0.0,1016.0,5080.0,0.0,3.0,0.0,2005,125436  _1.0,1.02,4.3,881.8009999999999,0,20.0,400.0,12,1809034.011090573,,,5,40.0
125436  ,1.0,5.0,2,18.0,,,6,3,3.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0,18.0,324.0,17,1809034.011090573,,,5,40.0
125533  ,1.0,1.0,1,75.0,,,7,1,0.0,350.0,1050.0,450.0,2.0,No,2005,125533  _1.0,0.83,2.98,611.1086,0,75.0,5625.0,0,373914.5101663586,,,4,25.0
125533  ,1.0,1.0,1,75.0,,,7,1,0.0,350.0,1050.0,450.0,2.0,No,2005,125533  _1.0,0.74,2.98,611.1086,0,75.0,5625.0,0,373914.5101663586,,,4,25.0
125533  ,1.0,2.0,2,66.0,,,6,3,7.0,350.0,1050.0,0.0,0.0,0.0,2005,125533  _1.0,0.67,2.98,611.1086,0,66.0,4356.0,17,373914.5101663586,,,4,25.0
125533  ,1.0,3.0,1,94.0,,,7,3,1.0,350.0,1050.0,0.0,0.0,0.0,2005,125533  _1.0,0.74,2.98,611.1086,0,94.0,8836.0,0,373914.5101663586,,,4,25.0
125533  ,2.0,Servicio doméstico en hogares,2,76.0,,,3,1,0.0,150.0,150.0,150.0,3.0,No,2005,125533  _2.0,0.63,0.63,129.1941,0,76.0,5776.0,9,53416.358595194084,,,1,48.0
125558  ,1.0,1.0,1,55.0,,,4,1,0.0,862.5,3450.0,2500.0,2.0,No,2005,125558  _1.0,1.0,3.28,672.6296,0,55.0,3025.0,12,1228576.247689464,,,4,60.0
125558  ,1.0,2.0,2,52.0,,,7,1,0.0,862.5,3450.0,500.0,2.0,No,2005,125558  _1.0,0.76,3.28,672.6296,0,52.0,2704.0,0,1228576.247689464,,,4,60.0
125558  ,1.0,3.0,2,26.0,,,6,1,0.0,862.5,3450.0,150.0,3.0,No,2005,125558  _1.0,0.76,3.28,672.6296,0,26.0,676.0,17,1228576.247689464,,,4,60.0
125558  ,1.0,4.0,2,21.0,,,6,1,0.0,862.5,3450.0,250.0,3.0,No,2005,125558  _1.0,0.76,3.28,672.6296,0,21.0,441.0,17,1228576.247689464,,,4,60.0
