EDAD,edad2,educ,ingreso_total_familiar,horastrab,POBRE,ANO,HOGAR_ID
26.0,676.0,14,160249.07578558224,20.0,0,2005,125188  _1.0
27.0,729.0,0,160249.07578558224,20.0,0,2005,125188  _1.0
54.0,2916.0,14,1809034.011090573,40.0,0,2005,125436  _1.0
54.0,2916.0,14,1809034.011090573,40.0,0,2005,125436  _1.0
27.0,729.0,14,1809034.011090573,40.0,0,2005,125436  _1.0
20.0,400.0,12,1809034.011090573,40.0,0,2005,125436  _1.0
18.0,324.0,17,1809034.011090573,40.0,0,2005,125436  _1.0
75.0,5625.0,0,373914.5101663586,25.0,0,2005,125533  _1.0
75.0,5625.0,0,373914.5101663586,25.0,0,2005,125533  _1.0
66.0,4356.0,17,373914.5101663586,25.0,0,2005,125533  _1.0
94.0,8836.0,0,373914.5101663586,25.0,0,2005,125533  _1.0
76.0,5776.0,9,53416.358595194084,48.0,0,2005,125533  _2.0
55.0,3025.0,12,1228576.247689464,60.0,0,2005,125558  _1.0
52.0,2704.0,0,1228576.247689464,60.0,0,2005,125558  _1.0
26.0,676.0,17,1228576.247689464,60.0,0,2005,125558  _1.0
21.0,441.0,17,1228576.247689464,60.0,0,2005,125558  _1.0
56.0,3136.0,14,1175159.8890942698,54.0,0,2005,125599  _1.0
49.0,2401.0,14,1175159.8890942698,54.0,0,2005,125599  _1.0
18.0,324.0,12,1175159.8890942698,54.0,0,2005,125599  _1.0
16.0,256.0,12,1175159.8890942698,54.0,0,2005,125599  _1.0
78.0,6084.0,14,1175159.8890942698,54.0,0,2005,125599  _1.0
46.0,2116.0,0,2777650.646950092,45.0,0,2005,126225  _1.0
42.0,1764.0,0,2777650.646950092,45.0,0,2005,126225  _1.0
22.0,484.0,17,2777650.646950092,45.0,0,2005,126225  _1.0
19.0,361.0,14,2777650.646950092,45.0,0,2005,126225  _1.0
66.0,4356.0,0,2563985.212569316,45.0,0,2005,126368  _1.0
64.0,4096.0,0,2563985.212569316,45.0,0,2005,126368  _1.0
