EDAD,edad2,educ,ingreso_total_familiar,miembros_hogar,horastrab,POBRE,ANO,cluster_k2,cluster_k4,cluster_k10,CH04,CH07,CH08,NIVEL_ED,ESTADO,CAT_OCUP
26.0,676.0,14,160249.07578558224,3,20.0,0,2005,0,3,6,1,,,5,1,2.0
27.0,729.0,0,160249.07578558224,3,20.0,0,2005,0,0,4,2,,,7,3,0.0
54.0,2916.0,14,1809034.011090573,5,40.0,0,2005,1,1,9,1,,,5,1,2.0
54.0,2916.0,14,1809034.011090573,5,40.0,0,2005,1,1,9,2,,,5,3,0.0
27.0,729.0,14,1809034.011090573,5,40.0,0,2005,0,3,1,2,,,5,3,0.0
20.0,400.0,12,1809034.011090573,5,40.0,0,2005,0,3,1,1,,,4,2,3.0
18.0,324.0,17,1809034.011090573,5,40.0,0,2005,0,3,1,2,,,6,3,0.0
75.0,5625.0,0,373914.5101663586,4,25.0,0,2005,1,1,3,1,,,7,1,2.0
75.0,5625.0,0,373914.5101663586,4,25.0,0,2005,1,1,3,1,,,7,1,2.0
66.0,4356.0,17,373914.5101663586,4,25.0,0,2005,1,1,3,2,,,6,3,0.0
94.0,8836.0,0,373914.5101663586,4,25.0,0,2005,1,1,3,1,,,7,3,0.0
76.0,5776.0,9,53416.358595194084,1,48.0,0,2005,1,1,3,2,,,3,1,3.0
55.0,3025.0,12,1228576.247689464,4,60.0,0,2005,1,1,9,1,,,4,1,2.0
52.0,2704.0,0,1228576.247689464,4,60.0,0,2005,1,1,4,2,,,7,1,2.0
26.0,676.0,17,1228576.247689464,4,60.0,0,2005,0,3,1,2,,,6,1,3.0
21.0,441.0,17,1228576.247689464,4,60.0,0,2005,0,3,1,2,,,6,1,3.0
56.0,3136.0,14,1175159.8890942698,5,54.0,0,2005,1,1,9,1,,,5,1,2.0
49.0,2401.0,14,1175159.8890942698,5,54.0,0,2005,1,3,9,2,,,5,2,0.0
18.0,324.0,12,1175159.8890942698,5,54.0,0,2005,0,3,1,1,,,4,3,0.0
16.0,256.0,12,1175159.8890942698,5,54.0,0,2005,0,3,1,1,,,4,3,0.0
78.0,6084.0,14,1175159.8890942698,5,54.0,0,2005,1,1,3,2,,,5,3,0.0
46.0,2116.0,0,2777650.646950092,4,45.0,0,2005,1,1,4,1,,,7,1,3.0
42.0,1764.0,0,2777650.646950092,4,45.0,0,2005,1,0,4,2,,,7,1,2.0
22.0,484.0,17,2777650.646950092,4,45.0,0,2005,0,3,0,2,,,6,3,0.0
19.0,361.0,14,2777650.646950092,4,45.0,0,2005,0,3,0,2,,,5,2,0.0
66.0,4356.0,0,2563985.212569316,2,45.0,0,2005,1,1,3,1,,,7,1,3.0
