"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2019","1,260.00","1,260.00","1,260.00","1,260.00","","-0.55%"
"01/03/2019","1,267.00","1,267.00","1,267.00","1,267.00","","-1.17%"
"01/02/2019","1,282.00","1,282.00","1,282.00","1,282.00","","0.87%"
"12/24/2018","1,271.00","1,271.00","1,271.00","1,271.00","","-0.63%"
"12/21/2018","1,279.00","1,279.00","1,279.00","1,279.00","","-2.96%"
"12/20/2018","1,318.00","1,318.00","1,318.00","1,318.00","","-4.35%"
"12/19/2018","1,378.00","1,378.00","1,378.00","1,378.00","","-1.22%"
"12/18/2018","1,395.00","1,395.00","1,395.00","1,395.00","","-0.78%"
"12/17/2018","1,406.00","1,406.00","1,406.00","1,406.00","","0.36%"
"12/14/2018","1,401.00","1,401.00","1,401.00","1,401.00","","2.64%"
"12/13/2018","1,365.00","1,365.00","1,365.00","1,365.00","","0.89%"
"12/12/2018","1,353.00","1,353.00","1,353.00","1,353.00","","-0.81%"
"12/11/2018","1,364.00","1,364.00","1,364.00","1,364.00","","-1.52%"
"12/10/2018","1,385.00","1,385.00","1,385.00","1,385.00","","0.95%"
"12/07/2018","1,372.00","1,372.00","1,372.00","1,372.00","","2.46%"
"12/06/2018","1,339.00","1,339.00","1,339.00","1,339.00","","3.32%"
"12/05/2018","1,296.00","1,296.00","1,296.00","1,296.00","","4.77%"
"12/04/2018","1,237.00","1,237.00","1,237.00","1,237.00","","2.83%"
"12/03/2018","1,203.00","1,203.00","1,203.00","1,203.00","","-2.27%"
"11/30/2018","1,231.00","1,231.00","1,231.00","1,231.00","","-3.90%"
"11/29/2018","1,281.00","1,281.00","1,281.00","1,281.00","","-3.68%"
"11/28/2018","1,330.00","1,330.00","1,330.00","1,330.00","","-0.67%"
"11/27/2018","1,339.00","1,339.00","1,339.00","1,339.00","","10.02%"
"11/26/2018","1,217.00","1,217.00","1,217.00","1,217.00","","11.34%"
"11/23/2018","1,093.00","1,093.00","1,093.00","1,093.00","","7.37%"
"11/22/2018","1,018.00","1,018.00","1,018.00","1,018.00","","0.99%"
"11/21/2018","1,008.00","1,008.00","1,008.00","1,008.00","","0.50%"
"11/20/2018","1,003.00","1,003.00","1,003.00","1,003.00","","-1.96%"
