date,open_interest,managed_long,managed_short,producer_long,producer_short,swap_long,swap_short,other_long,other_short,managed_net,producer_net,swap_net,other_net,managed_net_pct,producer_net_pct,swap_net_pct,format
2000-01-04,394371,53801,50708,235685,203693,,,78246,113331,3093,31992,,-35085,0.7842868770776756,8.112158348357259,,Legacy
2000-01-11,414897,64791,41886,231859,225888,,,86593,115469,22905,5971,,-28876,5.520647293183609,1.4391523679371026,,Legacy
2000-01-18,462504,114903,24301,220147,271462,,,91292,130579,90602,-51315,,-39287,19.58945219933233,-11.09503917803954,,Legacy
2000-01-25,475713,129770,20288,207463,278286,,,97954,136613,109482,-70823,,-38659,23.014296435035412,-14.887757954901378,,Legacy
2000-02-01,483145,127859,19809,219608,279539,,,92078,140197,108050,-59931,,-48119,22.36388661788904,-12.404350660774716,,Legacy
2000-02-08,482868,125701,20401,216610,279298,,,96391,139003,105300,-62688,,-42612,21.807201968239767,-12.982429980864335,,Legacy
2000-02-15,488190,133662,21255,214423,282029,,,96461,141262,112407,-67606,,-44801,23.025256559945923,-13.848296769700323,,Legacy
2000-02-22,483070,121598,25418,222945,275582,,,97510,141053,96180,-52637,,-43543,19.910157948123462,-10.896350425404187,,Legacy
2000-02-29,452108,105493,37191,210139,240077,,,94891,133255,68302,-29938,,-38364,15.107452201686321,-6.621869110920399,,Legacy
2000-03-07,451888,112163,30259,209495,254478,,,94517,131438,81904,-44983,,-36921,18.124845094359664,-9.954457741741317,,Legacy
2000-03-14,483635,144068,19852,202271,292136,,,99304,133655,124216,-89865,,-34351,25.683831815315266,-18.581161413049095,,Legacy
2000-03-21,503995,151476,18411,204869,307383,,,105816,136367,133065,-102514,,-30551,26.402047639361502,-20.340281153582872,,Legacy
2000-03-28,506215,129133,21778,223518,305300,,,109214,134787,107355,-81782,,-25573,21.207392115998143,-16.155586065209445,,Legacy
2000-04-04,497499,123592,20210,215973,289588,,,111566,141333,103382,-73615,,-29767,20.780343277071914,-14.797014667366165,,Legacy
2000-04-11,490359,110780,21241,217003,279776,,,115058,141824,89539,-62773,,-26766,18.259887143908852,-12.80143731429422,,Legacy
2000-04-18,489799,107952,26419,218655,281071,,,116248,135365,81533,-62416,,-19117,16.646216100890364,-12.743186490784996,,Legacy
2000-04-25,476104,103846,22575,208366,278219,,,118291,129709,81271,-69853,,-11418,17.070009913800348,-14.671794397862653,,Legacy
2000-05-02,477479,129246,16366,183730,282658,,,109823,123775,112880,-98928,,-13952,23.640830277352514,-20.718816953206318,,Legacy
2000-05-09,490129,136672,13342,188495,300759,,,114976,126042,123330,-112264,,-11066,25.162763272526213,-22.904990318875235,,Legacy
2000-05-16,473316,113060,14798,190000,284756,,,117995,121501,98262,-94756,,-3506,20.760337702507417,-20.019606351781896,,Legacy
