date,open_interest,managed_long,managed_short,producer_long,producer_short,swap_long,swap_short,other_long,other_short,managed_net,producer_net,swap_net,other_net,managed_net_pct,producer_net_pct,swap_net_pct,format
2000-01-04,135255.0,19741.0,13935.0,47442.0,63588.0,,,44592.0,34252.0,5806.0,-16146.0,,10340.0,4.292632435030129,-11.937451480536764,,Legacy
2000-01-05,135255.0,19741.0,13935.0,47442.0,63588.0,,,44592.0,34252.0,5806.0,-16146.0,,10340.0,4.292632435030129,-11.937451480536764,,Legacy
2000-01-06,135255.0,19741.0,13935.0,47442.0,63588.0,,,44592.0,34252.0,5806.0,-16146.0,,10340.0,4.292632435030129,-11.937451480536764,,Legacy
2000-01-07,135255.0,19741.0,13935.0,47442.0,63588.0,,,44592.0,34252.0,5806.0,-16146.0,,10340.0,4.292632435030129,-11.937451480536764,,Legacy
2000-01-08,135255.0,19741.0,13935.0,47442.0,63588.0,,,44592.0,34252.0,5806.0,-16146.0,,10340.0,4.292632435030129,-11.937451480536764,,Legacy
2000-01-09,135255.0,19741.0,13935.0,47442.0,63588.0,,,44592.0,34252.0,5806.0,-16146.0,,10340.0,4.292632435030129,-11.937451480536764,,Legacy
2000-01-10,135255.0,19741.0,13935.0,47442.0,63588.0,,,44592.0,34252.0,5806.0,-16146.0,,10340.0,4.292632435030129,-11.937451480536764,,Legacy
2000-01-11,142749.0,23731.0,12091.0,45152.0,69005.0,,,47128.0,34915.0,11640.0,-23853.0,,12213.0,8.154172708740516,-16.709749280205116,,Legacy
2000-01-12,142749.0,23731.0,12091.0,45152.0,69005.0,,,47128.0,34915.0,11640.0,-23853.0,,12213.0,8.154172708740516,-16.709749280205116,,Legacy
2000-01-13,142749.0,23731.0,12091.0,45152.0,69005.0,,,47128.0,34915.0,11640.0,-23853.0,,12213.0,8.154172708740516,-16.709749280205116,,Legacy
2000-01-14,142749.0,23731.0,12091.0,45152.0,69005.0,,,47128.0,34915.0,11640.0,-23853.0,,12213.0,8.154172708740516,-16.709749280205116,,Legacy
2000-01-15,142749.0,23731.0,12091.0,45152.0,69005.0,,,47128.0,34915.0,11640.0,-23853.0,,12213.0,8.154172708740516,-16.709749280205116,,Legacy
2000-01-16,142749.0,23731.0,12091.0,45152.0,69005.0,,,47128.0,34915.0,11640.0,-23853.0,,12213.0,8.154172708740516,-16.709749280205116,,Legacy
2000-01-17,142749.0,23731.0,12091.0,45152.0,69005.0,,,47128.0,34915.0,11640.0,-23853.0,,12213.0,8.154172708740516,-16.709749280205116,,Legacy
2000-01-18,144887.0,31988.0,6097.0,42160.0,79225.0,,,49635.0,38461.0,25891.0,-37065.0,,11174.0,17.869788179753876,-25.58200528687874,,Legacy
2000-01-19,144887.0,31988.0,6097.0,42160.0,79225.0,,,49635.0,38461.0,25891.0,-37065.0,,11174.0,17.869788179753876,-25.58200528687874,,Legacy
2000-01-20,144887.0,31988.0,6097.0,42160.0,79225.0,,,49635.0,38461.0,25891.0,-37065.0,,11174.0,17.869788179753876,-25.58200528687874,,Legacy
2000-01-21,144887.0,31988.0,6097.0,42160.0,79225.0,,,49635.0,38461.0,25891.0,-37065.0,,11174.0,17.869788179753876,-25.58200528687874,,Legacy
2000-01-22,144887.0,31988.0,6097.0,42160.0,79225.0,,,49635.0,38461.0,25891.0,-37065.0,,11174.0,17.869788179753876,-25.58200528687874,,Legacy
2000-01-23,144887.0,31988.0,6097.0,42160.0,79225.0,,,49635.0,38461.0,25891.0,-37065.0,,11174.0,17.869788179753876,-25.58200528687874,,Legacy
2000-01-24,144887.0,31988.0,6097.0,42160.0,79225.0,,,49635.0,38461.0,25891.0,-37065.0,,11174.0,17.869788179753876,-25.58200528687874,,Legacy
2000-01-25,159160.0,43482.0,6152.0,41530.0,88451.0,,,49508.0,39917.0,37330.0,-46921.0,,9591.0,23.454385524001005,-29.480397084694648,,Legacy
2000-01-26,159160.0,43482.0,6152.0,41530.0,88451.0,,,49508.0,39917.0,37330.0,-46921.0,,9591.0,23.454385524001005,-29.480397084694648,,Legacy
2000-01-27,159160.0,43482.0,6152.0,41530.0,88451.0,,,49508.0,39917.0,37330.0,-46921.0,,9591.0,23.454385524001005,-29.480397084694648,,Legacy
2000-01-28,159160.0,43482.0,6152.0,41530.0,88451.0,,,49508.0,39917.0,37330.0,-46921.0,,9591.0,23.454385524001005,-29.480397084694648,,Legacy
2000-01-29,159160.0,43482.0,6152.0,41530.0,88451.0,,,49508.0,39917.0,37330.0,-46921.0,,9591.0,23.454385524001005,-29.480397084694648,,Legacy
2000-01-30,159160.0,43482.0,6152.0,41530.0,88451.0,,,49508.0,39917.0,37330.0,-46921.0,,9591.0,23.454385524001005,-29.480397084694648,,Legacy
2000-01-31,159160.0,43482.0,6152.0,41530.0,88451.0,,,49508.0,39917.0,37330.0,-46921.0,,9591.0,23.454385524001005,-29.480397084694648,,Legacy
2000-02-01,170641.0,52154.0,5540.0,42635.0,95651.0,,,47756.0,41354.0,46614.0,-53016.0,,6402.0,27.316998845529504,-31.06873494646656,,Legacy
2000-02-02,170641.0,52154.0,5540.0,42635.0,95651.0,,,47756.0,41354.0,46614.0,-53016.0,,6402.0,27.316998845529504,-31.06873494646656,,Legacy
2000-02-03,170641.0,52154.0,5540.0,42635.0,95651.0,,,47756.0,41354.0,46614.0,-53016.0,,6402.0,27.316998845529504,-31.06873494646656,,Legacy
2000-02-04,170641.0,52154.0,5540.0,42635.0,95651.0,,,47756.0,41354.0,46614.0,-53016.0,,6402.0,27.316998845529504,-31.06873494646656,,Legacy
2000-02-05,170641.0,52154.0,5540.0,42635.0,95651.0,,,47756.0,41354.0,46614.0,-53016.0,,6402.0,27.316998845529504,-31.06873494646656,,Legacy
2000-02-06,170641.0,52154.0,5540.0,42635.0,95651.0,,,47756.0,41354.0,46614.0,-53016.0,,6402.0,27.316998845529504,-31.06873494646656,,Legacy
2000-02-07,170641.0,52154.0,5540.0,42635.0,95651.0,,,47756.0,41354.0,46614.0,-53016.0,,6402.0,27.316998845529504,-31.06873494646656,,Legacy
2000-02-08,174373.0,49739.0,6804.0,44288.0,99847.0,,,51751.0,39127.0,42935.0,-55559.0,,12624.0,24.622504630877486,-31.862157558796373,,Legacy
2000-02-09,174373.0,49739.0,6804.0,44288.0,99847.0,,,51751.0,39127.0,42935.0,-55559.0,,12624.0,24.622504630877486,-31.862157558796373,,Legacy
2000-02-10,174373.0,49739.0,6804.0,44288.0,99847.0,,,51751.0,39127.0,42935.0,-55559.0,,12624.0,24.622504630877486,-31.862157558796373,,Legacy
2000-02-11,174373.0,49739.0,6804.0,44288.0,99847.0,,,51751.0,39127.0,42935.0,-55559.0,,12624.0,24.622504630877486,-31.862157558796373,,Legacy
2000-02-12,174373.0,49739.0,6804.0,44288.0,99847.0,,,51751.0,39127.0,42935.0,-55559.0,,12624.0,24.622504630877486,-31.862157558796373,,Legacy
2000-02-13,174373.0,49739.0,6804.0,44288.0,99847.0,,,51751.0,39127.0,42935.0,-55559.0,,12624.0,24.622504630877486,-31.862157558796373,,Legacy
2000-02-14,174373.0,49739.0,6804.0,44288.0,99847.0,,,51751.0,39127.0,42935.0,-55559.0,,12624.0,24.622504630877486,-31.862157558796373,,Legacy
2000-02-15,177860.0,52435.0,8193.0,45041.0,102924.0,,,52615.0,38974.0,44242.0,-57883.0,,13641.0,24.874620488024288,-32.54413583717531,,Legacy
2000-02-16,177860.0,52435.0,8193.0,45041.0,102924.0,,,52615.0,38974.0,44242.0,-57883.0,,13641.0,24.874620488024288,-32.54413583717531,,Legacy
2000-02-17,177860.0,52435.0,8193.0,45041.0,102924.0,,,52615.0,38974.0,44242.0,-57883.0,,13641.0,24.874620488024288,-32.54413583717531,,Legacy
2000-02-18,177860.0,52435.0,8193.0,45041.0,102924.0,,,52615.0,38974.0,44242.0,-57883.0,,13641.0,24.874620488024288,-32.54413583717531,,Legacy
2000-02-19,177860.0,52435.0,8193.0,45041.0,102924.0,,,52615.0,38974.0,44242.0,-57883.0,,13641.0,24.874620488024288,-32.54413583717531,,Legacy
2000-02-20,177860.0,52435.0,8193.0,45041.0,102924.0,,,52615.0,38974.0,44242.0,-57883.0,,13641.0,24.874620488024288,-32.54413583717531,,Legacy
2000-02-21,177860.0,52435.0,8193.0,45041.0,102924.0,,,52615.0,38974.0,44242.0,-57883.0,,13641.0,24.874620488024288,-32.54413583717531,,Legacy
2000-02-22,178029.0,47451.0,7965.0,48747.0,101057.0,,,52892.0,40068.0,39486.0,-52310.0,,12824.0,22.17953254806801,-29.382853355352218,,Legacy
2000-02-23,178029.0,47451.0,7965.0,48747.0,101057.0,,,52892.0,40068.0,39486.0,-52310.0,,12824.0,22.17953254806801,-29.382853355352218,,Legacy
2000-02-24,178029.0,47451.0,7965.0,48747.0,101057.0,,,52892.0,40068.0,39486.0,-52310.0,,12824.0,22.17953254806801,-29.382853355352218,,Legacy
2000-02-25,178029.0,47451.0,7965.0,48747.0,101057.0,,,52892.0,40068.0,39486.0,-52310.0,,12824.0,22.17953254806801,-29.382853355352218,,Legacy
2000-02-26,178029.0,47451.0,7965.0,48747.0,101057.0,,,52892.0,40068.0,39486.0,-52310.0,,12824.0,22.17953254806801,-29.382853355352218,,Legacy
2000-02-27,178029.0,47451.0,7965.0,48747.0,101057.0,,,52892.0,40068.0,39486.0,-52310.0,,12824.0,22.17953254806801,-29.382853355352218,,Legacy
2000-02-28,178029.0,47451.0,7965.0,48747.0,101057.0,,,52892.0,40068.0,39486.0,-52310.0,,12824.0,22.17953254806801,-29.382853355352218,,Legacy
2000-02-29,160141.0,40888.0,9991.0,46062.0,88639.0,,,46973.0,35293.0,30897.0,-42577.0,,11680.0,19.293622495176127,-26.587195034375956,,Legacy
2000-03-01,160141.0,40888.0,9991.0,46062.0,88639.0,,,46973.0,35293.0,30897.0,-42577.0,,11680.0,19.293622495176127,-26.587195034375956,,Legacy
2000-03-02,160141.0,40888.0,9991.0,46062.0,88639.0,,,46973.0,35293.0,30897.0,-42577.0,,11680.0,19.293622495176127,-26.587195034375956,,Legacy
2000-03-03,160141.0,40888.0,9991.0,46062.0,88639.0,,,46973.0,35293.0,30897.0,-42577.0,,11680.0,19.293622495176127,-26.587195034375956,,Legacy
2000-03-04,160141.0,40888.0,9991.0,46062.0,88639.0,,,46973.0,35293.0,30897.0,-42577.0,,11680.0,19.293622495176127,-26.587195034375956,,Legacy
2000-03-05,160141.0,40888.0,9991.0,46062.0,88639.0,,,46973.0,35293.0,30897.0,-42577.0,,11680.0,19.293622495176127,-26.587195034375956,,Legacy
2000-03-06,160141.0,40888.0,9991.0,46062.0,88639.0,,,46973.0,35293.0,30897.0,-42577.0,,11680.0,19.293622495176127,-26.587195034375956,,Legacy
2000-03-07,163061.0,41546.0,8381.0,46472.0,90058.0,,,47158.0,36737.0,33165.0,-43586.0,,10421.0,20.339014233936993,-26.729874096197126,,Legacy
2000-03-08,163061.0,41546.0,8381.0,46472.0,90058.0,,,47158.0,36737.0,33165.0,-43586.0,,10421.0,20.339014233936993,-26.729874096197126,,Legacy
2000-03-09,163061.0,41546.0,8381.0,46472.0,90058.0,,,47158.0,36737.0,33165.0,-43586.0,,10421.0,20.339014233936993,-26.729874096197126,,Legacy
2000-03-10,163061.0,41546.0,8381.0,46472.0,90058.0,,,47158.0,36737.0,33165.0,-43586.0,,10421.0,20.339014233936993,-26.729874096197126,,Legacy
2000-03-11,163061.0,41546.0,8381.0,46472.0,90058.0,,,47158.0,36737.0,33165.0,-43586.0,,10421.0,20.339014233936993,-26.729874096197126,,Legacy
2000-03-12,163061.0,41546.0,8381.0,46472.0,90058.0,,,47158.0,36737.0,33165.0,-43586.0,,10421.0,20.339014233936993,-26.729874096197126,,Legacy
2000-03-13,163061.0,41546.0,8381.0,46472.0,90058.0,,,47158.0,36737.0,33165.0,-43586.0,,10421.0,20.339014233936993,-26.729874096197126,,Legacy
2000-03-14,170171.0,46325.0,8008.0,47825.0,98215.0,,,50221.0,38148.0,38317.0,-50390.0,,12073.0,22.516762550610856,-29.611390895040874,,Legacy
2000-03-15,170171.0,46325.0,8008.0,47825.0,98215.0,,,50221.0,38148.0,38317.0,-50390.0,,12073.0,22.516762550610856,-29.611390895040874,,Legacy
2000-03-16,170171.0,46325.0,8008.0,47825.0,98215.0,,,50221.0,38148.0,38317.0,-50390.0,,12073.0,22.516762550610856,-29.611390895040874,,Legacy
2000-03-17,170171.0,46325.0,8008.0,47825.0,98215.0,,,50221.0,38148.0,38317.0,-50390.0,,12073.0,22.516762550610856,-29.611390895040874,,Legacy
2000-03-18,170171.0,46325.0,8008.0,47825.0,98215.0,,,50221.0,38148.0,38317.0,-50390.0,,12073.0,22.516762550610856,-29.611390895040874,,Legacy
2000-03-19,170171.0,46325.0,8008.0,47825.0,98215.0,,,50221.0,38148.0,38317.0,-50390.0,,12073.0,22.516762550610856,-29.611390895040874,,Legacy
2000-03-20,170171.0,46325.0,8008.0,47825.0,98215.0,,,50221.0,38148.0,38317.0,-50390.0,,12073.0,22.516762550610856,-29.611390895040874,,Legacy
2000-03-21,183394.0,53456.0,13080.0,50310.0,105786.0,,,53065.0,37965.0,40376.0,-55476.0,,15100.0,22.015987436884522,-30.249626487235133,,Legacy
2000-03-22,183394.0,53456.0,13080.0,50310.0,105786.0,,,53065.0,37965.0,40376.0,-55476.0,,15100.0,22.015987436884522,-30.249626487235133,,Legacy
2000-03-23,183394.0,53456.0,13080.0,50310.0,105786.0,,,53065.0,37965.0,40376.0,-55476.0,,15100.0,22.015987436884522,-30.249626487235133,,Legacy
2000-03-24,183394.0,53456.0,13080.0,50310.0,105786.0,,,53065.0,37965.0,40376.0,-55476.0,,15100.0,22.015987436884522,-30.249626487235133,,Legacy
2000-03-25,183394.0,53456.0,13080.0,50310.0,105786.0,,,53065.0,37965.0,40376.0,-55476.0,,15100.0,22.015987436884522,-30.249626487235133,,Legacy
2000-03-26,183394.0,53456.0,13080.0,50310.0,105786.0,,,53065.0,37965.0,40376.0,-55476.0,,15100.0,22.015987436884522,-30.249626487235133,,Legacy
2000-03-27,183394.0,53456.0,13080.0,50310.0,105786.0,,,53065.0,37965.0,40376.0,-55476.0,,15100.0,22.015987436884522,-30.249626487235133,,Legacy
2000-03-28,182351.0,52244.0,9534.0,50573.0,108694.0,,,53416.0,38005.0,42710.0,-58121.0,,15411.0,23.421862232726994,-31.873145746390204,,Legacy
2000-03-29,182351.0,52244.0,9534.0,50573.0,108694.0,,,53416.0,38005.0,42710.0,-58121.0,,15411.0,23.421862232726994,-31.873145746390204,,Legacy
2000-03-30,182351.0,52244.0,9534.0,50573.0,108694.0,,,53416.0,38005.0,42710.0,-58121.0,,15411.0,23.421862232726994,-31.873145746390204,,Legacy
2000-03-31,182351.0,52244.0,9534.0,50573.0,108694.0,,,53416.0,38005.0,42710.0,-58121.0,,15411.0,23.421862232726994,-31.873145746390204,,Legacy
2000-04-01,182351.0,52244.0,9534.0,50573.0,108694.0,,,53416.0,38005.0,42710.0,-58121.0,,15411.0,23.421862232726994,-31.873145746390204,,Legacy
2000-04-02,182351.0,52244.0,9534.0,50573.0,108694.0,,,53416.0,38005.0,42710.0,-58121.0,,15411.0,23.421862232726994,-31.873145746390204,,Legacy
2000-04-03,182351.0,52244.0,9534.0,50573.0,108694.0,,,53416.0,38005.0,42710.0,-58121.0,,15411.0,23.421862232726994,-31.873145746390204,,Legacy
2000-04-04,197191.0,56177.0,11221.0,53531.0,115856.0,,,57513.0,40144.0,44956.0,-62325.0,,17369.0,22.798200729242208,-31.606412057345416,,Legacy
2000-04-05,197191.0,56177.0,11221.0,53531.0,115856.0,,,57513.0,40144.0,44956.0,-62325.0,,17369.0,22.798200729242208,-31.606412057345416,,Legacy
2000-04-06,197191.0,56177.0,11221.0,53531.0,115856.0,,,57513.0,40144.0,44956.0,-62325.0,,17369.0,22.798200729242208,-31.606412057345416,,Legacy
2000-04-07,197191.0,56177.0,11221.0,53531.0,115856.0,,,57513.0,40144.0,44956.0,-62325.0,,17369.0,22.798200729242208,-31.606412057345416,,Legacy
2000-04-08,197191.0,56177.0,11221.0,53531.0,115856.0,,,57513.0,40144.0,44956.0,-62325.0,,17369.0,22.798200729242208,-31.606412057345416,,Legacy
2000-04-09,197191.0,56177.0,11221.0,53531.0,115856.0,,,57513.0,40144.0,44956.0,-62325.0,,17369.0,22.798200729242208,-31.606412057345416,,Legacy
2000-04-10,197191.0,56177.0,11221.0,53531.0,115856.0,,,57513.0,40144.0,44956.0,-62325.0,,17369.0,22.798200729242208,-31.606412057345416,,Legacy
2000-04-11,195149.0,53100.0,12163.0,49927.0,111060.0,,,59667.0,39471.0,40937.0,-61133.0,,20196.0,20.977304521160754,-31.326319888905402,,Legacy
2000-04-12,195149.0,53100.0,12163.0,49927.0,111060.0,,,59667.0,39471.0,40937.0,-61133.0,,20196.0,20.977304521160754,-31.326319888905402,,Legacy
2000-04-13,195149.0,53100.0,12163.0,49927.0,111060.0,,,59667.0,39471.0,40937.0,-61133.0,,20196.0,20.977304521160754,-31.326319888905402,,Legacy
2000-04-14,195149.0,53100.0,12163.0,49927.0,111060.0,,,59667.0,39471.0,40937.0,-61133.0,,20196.0,20.977304521160754,-31.326319888905402,,Legacy
2000-04-15,195149.0,53100.0,12163.0,49927.0,111060.0,,,59667.0,39471.0,40937.0,-61133.0,,20196.0,20.977304521160754,-31.326319888905402,,Legacy
2000-04-16,195149.0,53100.0,12163.0,49927.0,111060.0,,,59667.0,39471.0,40937.0,-61133.0,,20196.0,20.977304521160754,-31.326319888905402,,Legacy
2000-04-17,195149.0,53100.0,12163.0,49927.0,111060.0,,,59667.0,39471.0,40937.0,-61133.0,,20196.0,20.977304521160754,-31.326319888905402,,Legacy
2000-04-18,194330.0,49046.0,11631.0,48857.0,105908.0,,,60981.0,41345.0,37415.0,-57051.0,,19636.0,19.253331961097103,-29.35779344414141,,Legacy
2000-04-19,194330.0,49046.0,11631.0,48857.0,105908.0,,,60981.0,41345.0,37415.0,-57051.0,,19636.0,19.253331961097103,-29.35779344414141,,Legacy
2000-04-20,194330.0,49046.0,11631.0,48857.0,105908.0,,,60981.0,41345.0,37415.0,-57051.0,,19636.0,19.253331961097103,-29.35779344414141,,Legacy
2000-04-21,194330.0,49046.0,11631.0,48857.0,105908.0,,,60981.0,41345.0,37415.0,-57051.0,,19636.0,19.253331961097103,-29.35779344414141,,Legacy
2000-04-22,194330.0,49046.0,11631.0,48857.0,105908.0,,,60981.0,41345.0,37415.0,-57051.0,,19636.0,19.253331961097103,-29.35779344414141,,Legacy
2000-04-23,194330.0,49046.0,11631.0,48857.0,105908.0,,,60981.0,41345.0,37415.0,-57051.0,,19636.0,19.253331961097103,-29.35779344414141,,Legacy
2000-04-24,194330.0,49046.0,11631.0,48857.0,105908.0,,,60981.0,41345.0,37415.0,-57051.0,,19636.0,19.253331961097103,-29.35779344414141,,Legacy
2000-04-25,196071.0,52343.0,10514.0,46274.0,109733.0,,,61751.0,40121.0,41829.0,-63459.0,,21630.0,21.333598543384795,-32.36531664550086,,Legacy
2000-04-26,196071.0,52343.0,10514.0,46274.0,109733.0,,,61751.0,40121.0,41829.0,-63459.0,,21630.0,21.333598543384795,-32.36531664550086,,Legacy
2000-04-27,196071.0,52343.0,10514.0,46274.0,109733.0,,,61751.0,40121.0,41829.0,-63459.0,,21630.0,21.333598543384795,-32.36531664550086,,Legacy
2000-04-28,196071.0,52343.0,10514.0,46274.0,109733.0,,,61751.0,40121.0,41829.0,-63459.0,,21630.0,21.333598543384795,-32.36531664550086,,Legacy
2000-04-29,196071.0,52343.0,10514.0,46274.0,109733.0,,,61751.0,40121.0,41829.0,-63459.0,,21630.0,21.333598543384795,-32.36531664550086,,Legacy
