date,open_interest,managed_long,managed_short,producer_long,producer_short,swap_long,swap_short,other_long,other_short,managed_net,producer_net,swap_net,other_net,managed_net_pct,producer_net_pct,swap_net_pct,format
2000-01-04,135255,19741,13935,47442,63588,,,44592,34252,5806,-16146,,10340,4.292632435030129,-11.937451480536764,,Legacy
2000-01-11,142749,23731,12091,45152,69005,,,47128,34915,11640,-23853,,12213,8.154172708740516,-16.709749280205116,,Legacy
2000-01-18,144887,31988,6097,42160,79225,,,49635,38461,25891,-37065,,11174,17.869788179753876,-25.58200528687874,,Legacy
2000-01-25,159160,43482,6152,41530,88451,,,49508,39917,37330,-46921,,9591,23.454385524001005,-29.480397084694648,,Legacy
2000-02-01,170641,52154,5540,42635,95651,,,47756,41354,46614,-53016,,6402,27.316998845529504,-31.06873494646656,,Legacy
2000-02-08,174373,49739,6804,44288,99847,,,51751,39127,42935,-55559,,12624,24.622504630877486,-31.862157558796373,,Legacy
2000-02-15,177860,52435,8193,45041,102924,,,52615,38974,44242,-57883,,13641,24.874620488024288,-32.54413583717531,,Legacy
2000-02-22,178029,47451,7965,48747,101057,,,52892,40068,39486,-52310,,12824,22.17953254806801,-29.382853355352218,,Legacy
2000-02-29,160141,40888,9991,46062,88639,,,46973,35293,30897,-42577,,11680,19.293622495176127,-26.587195034375956,,Legacy
2000-03-07,163061,41546,8381,46472,90058,,,47158,36737,33165,-43586,,10421,20.339014233936993,-26.729874096197126,,Legacy
2000-03-14,170171,46325,8008,47825,98215,,,50221,38148,38317,-50390,,12073,22.516762550610856,-29.611390895040874,,Legacy
2000-03-21,183394,53456,13080,50310,105786,,,53065,37965,40376,-55476,,15100,22.015987436884522,-30.249626487235133,,Legacy
2000-03-28,182351,52244,9534,50573,108694,,,53416,38005,42710,-58121,,15411,23.421862232726994,-31.873145746390204,,Legacy
2000-04-04,197191,56177,11221,53531,115856,,,57513,40144,44956,-62325,,17369,22.798200729242208,-31.606412057345416,,Legacy
2000-04-11,195149,53100,12163,49927,111060,,,59667,39471,40937,-61133,,20196,20.977304521160754,-31.326319888905402,,Legacy
2000-04-18,194330,49046,11631,48857,105908,,,60981,41345,37415,-57051,,19636,19.253331961097103,-29.35779344414141,,Legacy
2000-04-25,196071,52343,10514,46274,109733,,,61751,40121,41829,-63459,,21630,21.333598543384795,-32.36531664550086,,Legacy
2000-05-02,192833,55097,10690,43635,110141,,,60104,38005,44407,-66506,,22099,23.028734708270886,-34.488910093189446,,Legacy
2000-05-09,193358,56559,11379,46107,114906,,,59299,35680,45180,-68799,,23619,23.365984339929042,-35.581149991208015,,Legacy
2000-05-16,196485,48963,13080,54042,115671,,,60131,34385,35883,-61629,,25746,18.26246278341858,-31.365753110924498,,Legacy
2000-05-23,198558,46058,11737,55223,118203,,,62567,33908,34321,-62980,,28659,17.28512575670585,-31.718691767644717,,Legacy
2000-05-30,179235,35543,13969,53001,97764,,,56401,33212,21574,-44763,,23189,12.036711579769577,-24.974474851452005,,Legacy
2000-06-06,178741,33761,17863,48946,88362,,,58344,34826,15898,-39416,,23518,8.894433845620199,-22.052019402375503,,Legacy
2000-06-13,170583,27833,21445,52739,83607,,,55545,31065,6388,-30868,,24480,3.7448045819337215,-18.09558983017065,,Legacy
2000-06-20,163601,26178,19308,50563,85722,,,57333,29044,6870,-35159,,28289,4.199240835936211,-21.490699934596975,,Legacy
2000-06-27,156455,24714,16816,48160,84109,,,56893,28842,7898,-35949,,28051,5.0480968968713045,-22.977213895369275,,Legacy
2000-07-05,147896,24865,19171,45583,73847,,,49957,27387,5694,-28264,,22570,3.8500027046032343,-19.110726456428843,,Legacy
2000-07-11,144578,26829,22601,46473,69075,,,47289,28915,4228,-22602,,18374,2.9243730028081725,-15.633083871681722,,Legacy
2000-07-18,143720,22087,23930,48176,67797,,,49359,27895,-1843,-19621,,21464,-1.2823545783467853,-13.65224046757584,,Legacy
2000-07-25,133616,21031,24724,47689,64216,,,45979,25759,-3693,-16527,,20220,-2.763890552029697,-12.369027661357922,,Legacy
2000-08-01,126390,21416,22234,40728,59678,,,45139,25371,-818,-18950,,19768,-0.6472031015111954,-14.993274784397501,,Legacy
2000-08-08,126688,23886,23158,39175,58995,,,43045,23953,728,-19820,,19092,0.574640060621369,-15.644733518565292,,Legacy
2000-08-15,125448,24491,20699,38790,62421,,,43558,23719,3792,-23631,,19839,3.0227664052037495,-18.837287162808494,,Legacy
2000-08-22,124787,22120,20629,39993,61857,,,44968,24595,1491,-21864,,20373,1.1948360005449286,-17.521055879218185,,Legacy
2000-08-29,131704,25864,18895,38784,64906,,,50190,31037,6969,-26122,,19153,5.291411042944786,-19.83386989005649,,Legacy
2000-09-05,140918,30862,16878,39807,73878,,,45919,25832,13984,-34071,,20087,9.923501610865895,-24.17789068820165,,Legacy
2000-09-12,144350,31155,15764,43772,77476,,,45334,27021,15391,-33704,,18313,10.662279182542433,-23.34880498787669,,Legacy
2000-09-19,149492,28640,15995,51904,82780,,,44533,26302,12645,-30876,,18231,8.458646616541353,-20.65394803735317,,Legacy
2000-09-26,155553,31742,14013,49869,84357,,,47140,30381,17729,-34488,,16759,11.397401528739401,-22.171221384351313,,Legacy
2000-10-03,169849,36380,17131,51328,92992,,,52218,29803,19249,-41664,,22415,11.333007553768347,-24.530023726957474,,Legacy
2000-10-10,183941,40247,17127,54058,100372,,,59320,36126,23120,-46314,,23194,12.56924774791917,-25.17872578707303,,Legacy
2000-10-17,189042,37026,26655,60148,94640,,,61301,37180,10371,-34492,,24121,5.486082457866505,-18.245680853990116,,Legacy
2000-10-24,190407,31263,25420,64503,96469,,,67553,41430,5843,-31966,,26123,3.0686897015340824,-16.788248331206308,,Legacy
2000-10-31,176985,35231,27697,56498,85724,,,59670,37978,7534,-29226,,21692,4.256857925812922,-16.5132638359183,,Legacy
2000-11-07,172757,36325,23227,51031,88049,,,59561,35641,13098,-37018,,23920,7.581747772883299,-21.42778584948801,,Legacy
2000-11-14,162934,31993,23412,51870,82167,,,58150,36434,8581,-30297,,21716,5.26654964586888,-18.59464568475579,,Legacy
2000-11-21,164646,28460,19439,56750,88045,,,58734,36460,9021,-31295,,22274,5.479027732225502,-19.00744627868275,,Legacy
2000-11-28,166627,33648,14813,62374,95805,,,51284,36688,18835,-33431,,14596,11.303690278286233,-20.06337508326982,,Legacy
2000-12-05,174751,33288,13505,70720,105051,,,52373,37825,19783,-34331,,14548,11.320679137744563,-19.645667263706645,,Legacy
2000-12-12,185875,39835,8730,72699,117745,,,53726,39785,31105,-45046,,13941,16.73436449226631,-24.234566240753193,,Legacy
2000-12-19,180842,31621,8295,71626,110554,,,53944,38342,23326,-38928,,15602,12.898552327446058,-21.525972948761904,,Legacy
2000-12-26,173063,29003,9581,69544,104045,,,52250,37171,19422,-34501,,15079,11.222502788002057,-19.935514812524918,,Legacy
2001-01-02,162985,28842,11657,66282,97191,,,48155,34431,17185,-30909,,13724,10.543915084210203,-18.964321870110744,,Legacy
2001-01-09,160394,27030,14569,65234,92948,,,49470,34217,12461,-27714,,15253,7.768993852637879,-17.27870119829919,,Legacy
2001-01-16,158990,21658,25925,70469,78908,,,47465,34759,-4267,-8439,,12706,-2.6838165922385055,-5.307880998804956,,Legacy
2001-01-23,160263,21371,32275,70014,75311,,,50427,34226,-10904,-5297,,16201,-6.803816227076743,-3.3051920905012384,,Legacy
2001-01-30,162757,20841,33626,71586,73585,,,50235,35451,-12785,-1999,,14784,-7.855268897804703,-1.2282113826133438,,Legacy
2001-02-06,163541,19980,35011,70350,72806,,,51713,34226,-15031,-2456,,17487,-9.190967402669667,-1.50176408362429,,Legacy
2001-02-13,167465,18234,37073,73988,73090,,,53260,35319,-18839,898,,17941,-11.249514823993072,0.536231451348043,,Legacy
2001-02-20,164094,15409,37805,74512,72602,,,53179,32693,-22396,1910,,20486,-13.648274769339524,1.163966994527527,,Legacy
2001-02-27,157699,14676,38979,69212,66724,,,52964,31149,-24303,2488,,21815,-15.41100450858915,1.5776891419729993,,Legacy
2001-03-06,152061,18734,34966,61265,67597,,,51335,28771,-16232,-6332,,22564,-10.674663457428268,-4.164118347242225,,Legacy
2001-03-13,149266,17154,34560,60049,63314,,,51315,30644,-17406,-3265,,20671,-11.661061460747927,-2.1873701981697105,,Legacy
2001-03-20,144633,14836,36033,59708,56136,,,48528,30903,-21197,3572,,17625,-14.655714809206751,2.4696991696224235,,Legacy
2001-03-27,144485,14906,37064,63071,56802,,,47192,31303,-22158,6269,,15889,-15.335848011904348,4.338858705055888,,Legacy
2001-04-03,152792,13988,44642,72492,56195,,,46158,31801,-30654,16297,,14357,-20.062568720875436,10.666134352583905,,Legacy
2001-04-10,160099,14250,44947,76752,60676,,,46475,31854,-30697,16076,,14621,-19.1737612352357,10.0412869536974,,Legacy
2001-04-17,160027,14261,44177,77197,63252,,,46568,30597,-29916,13945,,15971,-18.69434532922569,8.714154486430415,,Legacy
2001-04-24,159681,13310,43391,76798,63158,,,47751,31310,-30081,13640,,16441,-18.83818362860954,8.542030673655601,,Legacy
2001-05-01,142367,17067,36813,62007,57549,,,44201,28913,-19746,4458,,15288,-13.869787240020509,3.1313436400289394,,Legacy
2001-05-08,132766,17177,37492,55827,50885,,,43748,28375,-20315,4942,,15373,-15.301357275206001,3.722338550532516,,Legacy
2001-05-15,133468,20826,32876,49531,56967,,,47092,27606,-12050,-7436,,19486,-9.0283813348518,-5.571372913357509,,Legacy
2001-05-22,134979,21640,30223,50463,61168,,,47106,27818,-8583,-10705,,19288,-6.358766919298557,-7.930863319479327,,Legacy
2001-05-29,143164,21056,32024,55654,63334,,,47490,28842,-10968,-7680,,18648,-7.661143862982314,-5.364477103182364,,Legacy
2001-06-05,149484,22229,28718,57288,71593,,,49014,28220,-6489,-14305,,20794,-4.340932808862487,-9.569586042653395,,Legacy
2001-06-12,158185,31929,24701,57186,82633,,,46493,28274,7228,-25447,,18219,4.569333375478079,-16.086860321775138,,Legacy
2001-06-19,155944,31855,24892,56615,79414,,,43653,27817,6963,-22799,,15836,4.465064382085877,-14.619991791925308,,Legacy
2001-06-26,146451,22684,19195,56670,79006,,,42977,24130,3489,-22336,,18847,2.382366798451359,-15.25151757243037,,Legacy
2001-07-03,162976,41951,18751,48725,91426,,,44888,25387,23200,-42701,,19501,14.235224818378168,-26.20079030041233,,Legacy
2001-07-10,178824,51299,19090,48548,102051,,,47338,26044,32209,-53503,,21294,18.011564443251466,-29.919362054310383,,Legacy
2001-07-17,197587,57799,13980,51951,121165,,,52426,27031,43819,-69214,,25395,22.177066304969458,-35.02963251630927,,Legacy
2001-07-24,183899,52823,9803,51076,117722,,,49787,26161,43020,-66646,,23626,23.393275656746365,-36.24054508181121,,Legacy
2001-07-31,174179,43094,9756,49152,108039,,,52714,27165,33338,-58887,,25549,19.140080032610133,-33.80832362110243,,Legacy
2001-08-07,163799,36253,14411,51542,99333,,,48536,22587,21842,-47791,,25949,13.33463574258695,-29.176612799833947,,Legacy
2001-08-14,168055,39421,17283,54738,103732,,,49808,22952,22138,-48994,,26856,13.17306834072179,-29.153550920829492,,Legacy
2001-08-21,168086,32896,18216,60862,103252,,,50413,22703,14680,-42390,,27710,8.73362445414847,-25.2192330116726,,Legacy
2001-08-28,161267,26573,14846,60329,98449,,,48749,22356,11727,-38120,,26393,7.271791501051052,-23.63781802848692,,Legacy
2001-09-04,157270,27382,14201,57693,95644,,,46043,21273,13181,-37951,,24770,8.381127996439245,-24.13111210020983,,Legacy
2001-09-10,161935,25480,15265,63081,91400,,,47354,29250,10215,-28319,,18104,6.308086577947942,-17.487880939883286,,Legacy
2001-09-18,166852,23929,14251,70616,102617,,,44363,22040,9678,-32001,,22323,5.800350010788004,-19.179272648814518,,Legacy
2001-09-25,174023,24305,22302,75677,98649,,,45507,24538,2003,-22972,,20969,1.1509972819684755,-13.200553949765261,,Legacy
2001-10-02,184975,25927,24433,86600,107386,,,44002,24710,1494,-20786,,19292,0.8076767130693336,-11.237194215434517,,Legacy
2001-10-09,190657,28755,26225,86750,109234,,,47422,27468,2530,-22484,,19954,1.32699035440608,-11.792905584374033,,Legacy
2001-10-16,198588,25484,32924,98019,109014,,,47638,29203,-7440,-10995,,18435,-3.746449936552058,-5.5365883134932625,,Legacy
