date,open_interest,managed_long,managed_short,producer_long,producer_short,swap_long,swap_short,other_long,other_short,managed_net,producer_net,swap_net,other_net,managed_net_pct,producer_net_pct,swap_net_pct,format
2000-01-04,124913.0,18366.0,27546.0,58298.0,60172.0,,,36294.0,25240.0,-9180.0,-1874.0,,11054.0,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-05,124913.0,18366.0,27546.0,58298.0,60172.0,,,36294.0,25240.0,-9180.0,-1874.0,,11054.0,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-06,124913.0,18366.0,27546.0,58298.0,60172.0,,,36294.0,25240.0,-9180.0,-1874.0,,11054.0,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-07,124913.0,18366.0,27546.0,58298.0,60172.0,,,36294.0,25240.0,-9180.0,-1874.0,,11054.0,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-08,124913.0,18366.0,27546.0,58298.0,60172.0,,,36294.0,25240.0,-9180.0,-1874.0,,11054.0,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-09,124913.0,18366.0,27546.0,58298.0,60172.0,,,36294.0,25240.0,-9180.0,-1874.0,,11054.0,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-10,124913.0,18366.0,27546.0,58298.0,60172.0,,,36294.0,25240.0,-9180.0,-1874.0,,11054.0,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-11,127807.0,19633.0,25709.0,55863.0,66254.0,,,40176.0,23709.0,-6076.0,-10391.0,,16467.0,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-12,127807.0,19633.0,25709.0,55863.0,66254.0,,,40176.0,23709.0,-6076.0,-10391.0,,16467.0,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-13,127807.0,19633.0,25709.0,55863.0,66254.0,,,40176.0,23709.0,-6076.0,-10391.0,,16467.0,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-14,127807.0,19633.0,25709.0,55863.0,66254.0,,,40176.0,23709.0,-6076.0,-10391.0,,16467.0,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-15,127807.0,19633.0,25709.0,55863.0,66254.0,,,40176.0,23709.0,-6076.0,-10391.0,,16467.0,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-16,127807.0,19633.0,25709.0,55863.0,66254.0,,,40176.0,23709.0,-6076.0,-10391.0,,16467.0,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-17,127807.0,19633.0,25709.0,55863.0,66254.0,,,40176.0,23709.0,-6076.0,-10391.0,,16467.0,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-18,125313.0,19717.0,24460.0,53765.0,67231.0,,,40505.0,22296.0,-4743.0,-13466.0,,18209.0,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-19,125313.0,19717.0,24460.0,53765.0,67231.0,,,40505.0,22296.0,-4743.0,-13466.0,,18209.0,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-20,125313.0,19717.0,24460.0,53765.0,67231.0,,,40505.0,22296.0,-4743.0,-13466.0,,18209.0,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-21,125313.0,19717.0,24460.0,53765.0,67231.0,,,40505.0,22296.0,-4743.0,-13466.0,,18209.0,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-22,125313.0,19717.0,24460.0,53765.0,67231.0,,,40505.0,22296.0,-4743.0,-13466.0,,18209.0,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-23,125313.0,19717.0,24460.0,53765.0,67231.0,,,40505.0,22296.0,-4743.0,-13466.0,,18209.0,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-24,125313.0,19717.0,24460.0,53765.0,67231.0,,,40505.0,22296.0,-4743.0,-13466.0,,18209.0,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-25,128760.0,20622.0,22344.0,57046.0,72656.0,,,38633.0,21301.0,-1722.0,-15610.0,,17332.0,-1.3373718546132338,-12.123330226778503,,Legacy
2000-01-26,128760.0,20622.0,22344.0,57046.0,72656.0,,,38633.0,21301.0,-1722.0,-15610.0,,17332.0,-1.3373718546132338,-12.123330226778503,,Legacy
2000-01-27,128760.0,20622.0,22344.0,57046.0,72656.0,,,38633.0,21301.0,-1722.0,-15610.0,,17332.0,-1.3373718546132338,-12.123330226778503,,Legacy
2000-01-28,128760.0,20622.0,22344.0,57046.0,72656.0,,,38633.0,21301.0,-1722.0,-15610.0,,17332.0,-1.3373718546132338,-12.123330226778503,,Legacy
2000-01-29,128760.0,20622.0,22344.0,57046.0,72656.0,,,38633.0,21301.0,-1722.0,-15610.0,,17332.0,-1.3373718546132338,-12.123330226778503,,Legacy
2000-01-30,128760.0,20622.0,22344.0,57046.0,72656.0,,,38633.0,21301.0,-1722.0,-15610.0,,17332.0,-1.3373718546132338,-12.123330226778503,,Legacy
2000-01-31,128760.0,20622.0,22344.0,57046.0,72656.0,,,38633.0,21301.0,-1722.0,-15610.0,,17332.0,-1.3373718546132338,-12.123330226778503,,Legacy
2000-02-01,132156.0,21713.0,24360.0,60247.0,70937.0,,,36113.0,22776.0,-2647.0,-10690.0,,13337.0,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-02,132156.0,21713.0,24360.0,60247.0,70937.0,,,36113.0,22776.0,-2647.0,-10690.0,,13337.0,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-03,132156.0,21713.0,24360.0,60247.0,70937.0,,,36113.0,22776.0,-2647.0,-10690.0,,13337.0,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-04,132156.0,21713.0,24360.0,60247.0,70937.0,,,36113.0,22776.0,-2647.0,-10690.0,,13337.0,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-05,132156.0,21713.0,24360.0,60247.0,70937.0,,,36113.0,22776.0,-2647.0,-10690.0,,13337.0,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-06,132156.0,21713.0,24360.0,60247.0,70937.0,,,36113.0,22776.0,-2647.0,-10690.0,,13337.0,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-07,132156.0,21713.0,24360.0,60247.0,70937.0,,,36113.0,22776.0,-2647.0,-10690.0,,13337.0,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-08,134920.0,22415.0,24285.0,60347.0,71764.0,,,36781.0,23494.0,-1870.0,-11417.0,,13287.0,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-09,134920.0,22415.0,24285.0,60347.0,71764.0,,,36781.0,23494.0,-1870.0,-11417.0,,13287.0,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-10,134920.0,22415.0,24285.0,60347.0,71764.0,,,36781.0,23494.0,-1870.0,-11417.0,,13287.0,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-11,134920.0,22415.0,24285.0,60347.0,71764.0,,,36781.0,23494.0,-1870.0,-11417.0,,13287.0,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-12,134920.0,22415.0,24285.0,60347.0,71764.0,,,36781.0,23494.0,-1870.0,-11417.0,,13287.0,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-13,134920.0,22415.0,24285.0,60347.0,71764.0,,,36781.0,23494.0,-1870.0,-11417.0,,13287.0,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-14,134920.0,22415.0,24285.0,60347.0,71764.0,,,36781.0,23494.0,-1870.0,-11417.0,,13287.0,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-15,143832.0,32671.0,16601.0,55701.0,86293.0,,,37269.0,22747.0,16070.0,-30592.0,,14522.0,11.172757105511986,-21.269258579453805,,Legacy
2000-02-16,143832.0,32671.0,16601.0,55701.0,86293.0,,,37269.0,22747.0,16070.0,-30592.0,,14522.0,11.172757105511986,-21.269258579453805,,Legacy
2000-02-17,143832.0,32671.0,16601.0,55701.0,86293.0,,,37269.0,22747.0,16070.0,-30592.0,,14522.0,11.172757105511986,-21.269258579453805,,Legacy
2000-02-18,143832.0,32671.0,16601.0,55701.0,86293.0,,,37269.0,22747.0,16070.0,-30592.0,,14522.0,11.172757105511986,-21.269258579453805,,Legacy
2000-02-19,143832.0,32671.0,16601.0,55701.0,86293.0,,,37269.0,22747.0,16070.0,-30592.0,,14522.0,11.172757105511986,-21.269258579453805,,Legacy
2000-02-20,143832.0,32671.0,16601.0,55701.0,86293.0,,,37269.0,22747.0,16070.0,-30592.0,,14522.0,11.172757105511986,-21.269258579453805,,Legacy
2000-02-21,143832.0,32671.0,16601.0,55701.0,86293.0,,,37269.0,22747.0,16070.0,-30592.0,,14522.0,11.172757105511986,-21.269258579453805,,Legacy
2000-02-22,137996.0,26090.0,16801.0,60217.0,84310.0,,,37484.0,22680.0,9289.0,-24093.0,,14804.0,6.7313545320154216,-17.459201715991767,,Legacy
2000-02-23,137996.0,26090.0,16801.0,60217.0,84310.0,,,37484.0,22680.0,9289.0,-24093.0,,14804.0,6.7313545320154216,-17.459201715991767,,Legacy
2000-02-24,137996.0,26090.0,16801.0,60217.0,84310.0,,,37484.0,22680.0,9289.0,-24093.0,,14804.0,6.7313545320154216,-17.459201715991767,,Legacy
2000-02-25,137996.0,26090.0,16801.0,60217.0,84310.0,,,37484.0,22680.0,9289.0,-24093.0,,14804.0,6.7313545320154216,-17.459201715991767,,Legacy
2000-02-26,137996.0,26090.0,16801.0,60217.0,84310.0,,,37484.0,22680.0,9289.0,-24093.0,,14804.0,6.7313545320154216,-17.459201715991767,,Legacy
