date,open_interest,managed_long,managed_short,producer_long,producer_short,swap_long,swap_short,other_long,other_short,managed_net,producer_net,swap_net,other_net,managed_net_pct,producer_net_pct,swap_net_pct,format
2000-01-04,124913,18366,27546,58298,60172,,,36294,25240,-9180,-1874,,11054,-7.349114984028884,-1.5002441699422797,,Legacy
2000-01-11,127807,19633,25709,55863,66254,,,40176,23709,-6076,-10391,,16467,-4.754043205771201,-8.13022760881642,,Legacy
2000-01-18,125313,19717,24460,53765,67231,,,40505,22296,-4743,-13466,,18209,-3.784922553924972,-10.745892285716566,,Legacy
2000-01-25,128760,20622,22344,57046,72656,,,38633,21301,-1722,-15610,,17332,-1.3373718546132338,-12.123330226778503,,Legacy
2000-02-01,132156,21713,24360,60247,70937,,,36113,22776,-2647,-10690,,13337,-2.002935924210781,-8.088925209600776,,Legacy
2000-02-08,134920,22415,24285,60347,71764,,,36781,23494,-1870,-11417,,13287,-1.3860065223836349,-8.46205158612511,,Legacy
2000-02-15,143832,32671,16601,55701,86293,,,37269,22747,16070,-30592,,14522,11.172757105511986,-21.269258579453805,,Legacy
2000-02-22,137996,26090,16801,60217,84310,,,37484,22680,9289,-24093,,14804,6.7313545320154216,-17.459201715991767,,Legacy
2000-02-29,121916,17072,24521,59206,62212,,,31602,21147,-7449,-3006,,10455,-6.109944551986614,-2.4656320745431284,,Legacy
2000-03-07,125776,17851,27798,60278,61125,,,33348,22554,-9947,-847,,10794,-7.908504007123776,-0.6734194122885129,,Legacy
2000-03-14,121605,19787,24843,53417,62774,,,34051,19638,-5056,-9357,,14413,-4.157723777805189,-7.694584926606636,,Legacy
2000-03-21,121038,19303,25105,55545,62401,,,32806,20148,-5802,-6856,,12658,-4.793535914340951,-5.664336819841703,,Legacy
2000-03-28,126069,20224,33304,58384,56815,,,33924,22413,-13080,1569,,11511,-10.375270685101016,1.2445565523641815,,Legacy
2000-04-04,126121,19392,31324,57008,57897,,,37714,24893,-11932,-889,,12821,-9.46075594072359,-0.7048786482822051,,Legacy
2000-04-11,130458,20716,32511,54818,57006,,,40507,26524,-11795,-2188,,13983,-9.041223995462142,-1.677168130739395,,Legacy
2000-04-18,130344,20624,34544,53475,54383,,,41952,27124,-13920,-908,,14828,-10.679432885288161,-0.6966181795863254,,Legacy
2000-04-25,125642,19516,38305,55209,51369,,,40307,25358,-18789,3840,,14949,-14.95439423122841,3.056302828671941,,Legacy
2000-05-02,125755,20749,42462,53310,44482,,,38091,25206,-21713,8828,,12885,-17.266112679416327,7.01999920480299,,Legacy
2000-05-09,125011,23026,32822,48568,54201,,,36872,21443,-9796,-5633,,15429,-7.8361104222828395,-4.506003471694491,,Legacy
2000-05-16,133641,29560,27453,45505,65770,,,39011,20853,2107,-20265,,18158,1.5766119678841075,-15.163759624666081,,Legacy
2000-05-23,136233,29839,29488,46904,66699,,,40215,20771,351,-19795,,19444,0.2576468256589813,-14.530253316010072,,Legacy
2000-05-30,133713,26954,28962,48533,64301,,,39095,21319,-2008,-15768,,17776,-1.5017238413617224,-11.792421080971932,,Legacy
2000-06-06,130606,24818,30404,48661,56112,,,37756,24719,-5586,-7451,,13037,-4.276985743380855,-5.704944642665728,,Legacy
2000-06-13,132258,23191,29740,51732,61646,,,39371,22908,-6549,-9914,,16463,-4.951685342285533,-7.495954876075548,,Legacy
2000-06-20,138786,25781,26523,51876,67403,,,40688,24419,-742,-15527,,16269,-0.5346360583920569,-11.187727868805212,,Legacy
2000-06-27,131555,27133,18110,48197,72590,,,39541,24171,9023,-24393,,15370,6.858728288548516,-18.54205465394702,,Legacy
2000-07-05,126574,23946,21372,48172,63863,,,39701,26584,2574,-15691,,13117,2.0335929969820024,-12.396700744228673,,Legacy
2000-07-11,134593,25057,24661,54345,66618,,,39002,27125,396,-12273,,11877,0.29422035321302004,-9.118602007533823,,Legacy
2000-07-18,141430,23458,27065,63724,68017,,,36193,28293,-3607,-4293,,7900,-2.550378279007283,-3.0354238846072263,,Legacy
2000-07-25,144832,25371,28795,64136,67957,,,37046,29801,-3424,-3821,,7245,-2.364118426866991,-2.6382291206363235,,Legacy
2000-08-01,148107,26458,29197,61365,68868,,,40991,30749,-2739,-7503,,10242,-1.8493386538110959,-5.065932062630395,,Legacy
2000-08-08,146149,26271,31694,62113,65658,,,37950,28982,-5423,-3545,,8968,-3.710596719785972,-2.4256067438025575,,Legacy
2000-08-15,147560,25452,31082,61541,69676,,,41566,27801,-5630,-8135,,13765,-3.815397126592573,-5.513011656275413,,Legacy
2000-08-22,144017,27851,31921,56944,68265,,,42498,27107,-4070,-11321,,15391,-2.82605525736545,-7.860877535290972,,Legacy
2000-08-29,137313,31647,25621,48821,69431,,,41321,26737,6026,-20610,,14584,4.3885138333588225,-15.009503834305566,,Legacy
2000-09-05,137624,33537,25046,45619,71490,,,42939,25559,8491,-25871,,17380,6.169708771725862,-18.79832006045457,,Legacy
2000-09-12,140278,33794,25384,47162,70240,,,44103,29435,8410,-23078,,14668,5.9952380273456995,-16.451617502388117,,Legacy
2000-09-19,143804,31463,29807,51955,66580,,,43891,30922,1656,-14625,,12969,1.1515674111985759,-10.170092626074378,,Legacy
2000-09-26,145177,31090,28847,54408,69359,,,43052,30344,2243,-14951,,12708,1.5450105733001784,-10.298463255198827,,Legacy
2000-10-03,145403,30256,23028,52901,74491,,,42556,28194,7228,-21590,,14362,4.971011602236543,-14.848386897106664,,Legacy
2000-10-10,150885,34513,20212,51151,79490,,,43094,29056,14301,-28339,,14038,9.478079331941546,-18.781853729661663,,Legacy
2000-10-17,152056,36252,16699,50177,81909,,,43272,31093,19553,-31732,,12179,12.85907823433472,-20.868627347819224,,Legacy
2000-10-24,151049,31881,19083,52501,76730,,,42834,31403,12798,-24229,,11431,8.472747254202279,-16.04049017206337,,Legacy
2000-10-31,154471,30863,22467,56527,81408,,,41804,25319,8396,-24881,,16485,5.435324429828253,-16.107230483391703,,Legacy
2000-11-07,155379,29446,21409,58690,85500,,,42510,23737,8037,-26810,,18773,5.172513660147124,-17.25458395278641,,Legacy
2000-11-14,158371,27191,21998,60624,90290,,,44019,19546,5193,-29666,,24473,3.279009414602421,-18.731964816790953,,Legacy
2000-11-21,151766,23981,24975,58824,77609,,,47827,28048,-994,-18785,,19779,-0.6549556554168918,-12.37760763280313,,Legacy
2000-11-28,146314,24465,26041,54955,71510,,,44915,26784,-1576,-16555,,18131,-1.0771354757576173,-11.314706726629032,,Legacy
2000-12-05,135803,28782,26267,50687,68425,,,41302,26079,2515,-17738,,15223,1.8519473060241674,-13.061567122964881,,Legacy
2000-12-12,134549,27358,28915,52429,66859,,,41028,25041,-1557,-14430,,15987,-1.1571992359660792,-10.724717389203933,,Legacy
