date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,region
2000-01-01,28.04,35.66,19.7,0.0,38.64,31.65,2.32,Argentina
2000-01-02,27.74,35.67,19.37,0.0,32.32,32.95,3.19,Argentina
2000-01-03,26.58,35.09,17.79,0.0,35.26,33.49,3.08,Argentina
2000-01-04,26.98,35.28,17.4,0.08,37.92,29.57,2.18,Argentina
2000-01-05,28.14,36.32,19.77,1.45,41.23,30.81,1.68,Argentina
2000-01-06,28.38,36.55,19.91,4.09,46.18,31.52,2.18,Argentina
2000-01-07,29.48,37.61,21.96,3.89,45.05,26.2,2.16,Argentina
2000-01-08,26.79,34.4,19.71,9.22,56.41,6.45,3.03,Argentina
2000-01-09,26.16,34.02,17.97,0.5,58.66,23.17,1.34,Argentina
2000-01-10,26.08,32.19,21.4,3.84,60.02,18.28,1.3,Argentina
2000-01-11,28.72,36.11,19.65,0.33,52.15,33.16,1.34,Argentina
2000-01-12,27.83,33.65,22.57,3.71,50.84,32.88,1.56,Argentina
2000-01-13,27.07,33.96,19.41,0.02,52.32,26.86,2.25,Argentina
2000-01-14,27.32,33.91,20.22,0.84,53.72,15.13,2.82,Argentina
2000-01-15,27.84,35.34,19.88,1.08,52.77,26.57,2.77,Argentina
2000-01-16,24.16,31.51,18.55,9.85,71.15,11.45,2.56,Argentina
2000-01-17,23.35,31.13,15.09,0.0,51.15,31.6,1.87,Argentina
2000-01-18,26.46,34.66,16.22,0.0,40.92,32.11,1.24,Argentina
2000-01-19,28.71,37.45,19.48,0.0,38.64,32.06,2.58,Argentina
2000-01-20,29.97,38.14,20.67,6.79,50.11,31.77,3.0,Argentina
2000-01-21,23.01,26.8,19.02,12.67,68.66,9.21,2.86,Argentina
2000-01-22,20.87,27.53,14.02,0.0,47.73,31.04,3.01,Argentina
2000-01-23,24.28,31.89,14.84,0.43,55.41,29.36,1.95,Argentina
2000-01-24,23.89,29.37,19.45,5.61,64.7,17.77,1.83,Argentina
2000-01-25,23.79,30.29,17.03,0.0,60.95,29.58,2.13,Argentina
2000-01-26,24.72,31.98,17.36,0.0,50.44,29.78,2.12,Argentina
2000-01-27,25.95,34.06,16.96,0.01,45.84,29.86,2.46,Argentina
