date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,region
2000-01-01,23.07,25.63,20.72,14.16,91.29,15.37,0.14,Brazil
2000-01-02,24.24,28.5,20.74,16.22,89.11,14.52,0.1,Brazil
2000-01-03,24.58,29.05,20.86,2.41,85.41,22.72,0.15,Brazil
2000-01-04,24.13,28.91,19.77,4.84,85.32,21.67,0.12,Brazil
2000-01-05,24.02,27.7,20.69,13.07,87.62,21.34,0.08,Brazil
2000-01-06,24.24,28.17,20.98,6.02,87.61,14.27,0.08,Brazil
2000-01-07,23.85,27.63,20.88,2.31,89.17,18.37,0.07,Brazil
2000-01-08,24.07,28.04,20.92,1.99,87.1,23.03,0.11,Brazil
2000-01-09,23.43,27.75,20.31,7.89,87.77,19.66,0.12,Brazil
2000-01-10,23.03,26.51,20.0,2.53,89.01,13.04,0.08,Brazil
2000-01-11,23.75,27.28,21.23,1.72,90.04,17.36,0.07,Brazil
2000-01-12,24.64,28.4,21.1,13.1,87.67,19.68,0.09,Brazil
2000-01-13,24.39,27.85,22.12,6.52,89.93,21.56,0.07,Brazil
2000-01-14,24.38,28.49,21.08,1.31,86.35,26.57,0.15,Brazil
2000-01-15,24.27,28.58,20.29,1.86,87.74,25.1,0.16,Brazil
2000-01-16,23.53,26.6,21.07,1.64,89.36,18.68,0.16,Brazil
2000-01-17,25.39,29.81,21.09,0.05,78.0,27.66,0.2,Brazil
2000-01-18,23.99,27.54,21.39,1.79,81.06,17.3,0.16,Brazil
2000-01-19,25.02,29.84,20.03,1.35,83.8,27.3,0.15,Brazil
2000-01-20,24.7,27.65,22.57,1.25,88.84,26.56,0.12,Brazil
2000-01-21,24.57,28.21,21.46,0.85,86.99,17.3,0.06,Brazil
2000-01-22,25.02,29.53,20.93,12.5,85.1,15.69,0.12,Brazil
2000-01-23,24.42,27.5,21.76,5.79,89.7,17.95,0.14,Brazil
2000-01-24,23.89,27.11,21.72,17.05,94.2,11.89,0.19,Brazil
