date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,region
2000-01-01,1.08,3.75,-1.57,0.1,92.84,4.77,2.63,USA
2000-01-02,0.86,2.99,-2.8,0.07,92.54,3.98,3.2,USA
2000-01-03,-1.85,-0.09,-3.83,0.86,84.9,2.16,4.87,USA
2000-01-04,-8.04,-4.62,-11.06,0.0,64.29,7.01,5.28,USA
2000-01-05,-4.28,2.73,-11.12,0.01,72.38,3.7,4.85,USA
2000-01-06,-1.52,3.58,-4.83,0.0,79.85,9.23,3.73,USA
2000-01-07,-2.09,5.47,-8.87,0.0,76.52,9.31,4.02,USA
2000-01-08,0.6,7.04,-3.56,0.13,84.92,9.31,3.68,USA
2000-01-09,2.08,5.85,0.62,0.36,97.57,3.4,2.12,USA
2000-01-10,1.03,5.28,-2.24,0.12,70.33,7.48,5.89,USA
2000-01-11,-2.63,0.2,-5.07,0.0,58.25,4.43,4.39,USA
2000-01-12,-1.56,2.14,-5.17,0.0,66.28,6.64,3.93,USA
2000-01-13,-6.78,-2.23,-10.63,0.0,73.61,9.05,3.59,USA
2000-01-14,-1.78,7.38,-9.13,0.01,68.16,6.06,4.72,USA
2000-01-15,1.17,6.3,-1.67,0.09,76.78,6.02,4.0,USA
2000-01-16,-4.11,-1.77,-7.57,0.0,59.13,6.53,5.15,USA
2000-01-17,-2.66,0.56,-4.61,0.14,78.38,1.09,3.31,USA
2000-01-18,-1.66,4.54,-6.37,0.0,72.97,10.74,2.12,USA
2000-01-19,-2.9,2.53,-11.45,2.45,76.87,1.41,5.15,USA
2000-01-20,-11.25,-5.6,-15.38,2.74,68.17,4.45,3.35,USA
2000-01-21,-9.73,-4.85,-16.48,3.91,83.12,7.07,2.85,USA
2000-01-22,-3.47,2.89,-8.15,1.43,89.68,8.76,2.65,USA
2000-01-23,-9.8,-6.55,-14.61,0.33,75.01,7.05,4.2,USA
2000-01-24,-7.3,1.73,-15.38,0.09,85.08,10.55,3.59,USA
2000-01-25,-8.95,-3.21,-15.05,0.3,76.23,9.21,4.71,USA
2000-01-26,-12.66,-6.39,-17.47,0.0,76.78,11.52,1.84,USA
2000-01-27,-10.9,-4.27,-15.84,0.01,80.43,11.04,2.52,USA
2000-01-28,-8.1,-5.04,-11.65,0.28,78.32,8.54,3.31,USA
2000-01-29,-5.37,-2.06,-7.55,0.81,83.61,5.9,3.19,USA
2000-01-30,-5.54,-0.87,-11.43,0.85,77.68,6.2,4.11,USA
2000-01-31,-6.92,1.54,-13.47,0.28,88.3,10.67,4.24,USA
2000-02-01,-6.5,-0.8,-10.22,0.6,84.91,4.53,2.65,USA
2000-02-02,-3.06,4.5,-11.59,0.83,83.0,6.85,4.87,USA
2000-02-03,1.06,3.4,-4.69,0.07,73.47,8.08,7.03,USA
2000-02-04,-4.41,-0.42,-8.95,0.04,75.0,6.79,5.54,USA
2000-02-05,-4.07,3.09,-11.26,0.0,76.97,12.69,2.41,USA
2000-02-06,0.09,6.83,-2.8,0.62,76.91,11.69,3.08,USA
2000-02-07,-1.72,3.41,-5.49,0.0,76.83,13.35,2.78,USA
2000-02-08,0.01,8.59,-7.09,0.01,74.9,12.98,4.06,USA
2000-02-09,3.05,11.32,-0.67,0.04,85.45,11.11,2.67,USA
2000-02-10,0.23,3.94,-4.12,0.0,84.3,3.37,4.93,USA
2000-02-11,-4.63,-1.61,-7.46,0.57,52.0,12.11,4.04,USA
2000-02-12,-1.51,3.89,-5.32,0.2,67.77,4.2,3.06,USA
2000-02-13,-1.44,1.08,-3.83,0.85,83.53,4.15,4.19,USA
2000-02-14,-2.2,2.17,-5.62,0.05,75.44,11.91,2.18,USA
2000-02-15,2.18,12.55,-4.07,0.38,71.18,14.37,6.37,USA
2000-02-16,-2.55,2.09,-5.91,0.09,61.18,14.84,3.05,USA
2000-02-17,-0.91,2.73,-3.0,3.64,69.78,3.8,4.51,USA
2000-02-18,-2.27,0.1,-6.6,3.49,86.41,2.22,5.29,USA
2000-02-19,-3.35,3.44,-8.65,0.41,78.03,4.19,3.53,USA
2000-02-20,-1.0,8.25,-8.46,0.0,69.32,5.86,3.25,USA
2000-02-21,4.49,14.45,-1.36,0.97,86.11,12.66,4.11,USA
2000-02-22,9.93,18.39,3.38,0.25,93.45,11.62,3.43,USA
2000-02-23,11.25,16.49,7.95,7.39,89.67,10.87,4.28,USA
2000-02-24,8.27,15.02,4.36,0.53,91.95,7.3,2.35,USA
2000-02-25,13.03,17.86,6.54,5.88,84.91,9.09,7.0,USA
2000-02-26,5.33,11.93,0.57,0.03,72.64,12.07,5.57,USA
2000-02-27,4.29,12.66,-3.27,0.0,55.15,16.39,3.66,USA
2000-02-28,9.04,18.88,-0.87,0.02,58.04,15.32,5.89,USA
2000-02-29,9.84,15.13,5.17,5.82,77.95,6.18,4.97,USA
2000-03-01,3.74,10.09,-1.36,0.0,61.15,15.93,4.48,USA
2000-03-02,1.72,8.08,-3.61,0.8,67.02,12.95,1.99,USA
2000-03-03,2.97,10.16,-3.71,0.18,62.3,14.43,1.32,USA
2000-03-04,7.97,19.2,-1.1,0.07,61.82,17.5,3.36,USA
2000-03-05,10.21,20.18,2.42,0.18,68.31,17.41,3.57,USA
2000-03-06,12.77,21.78,4.36,0.06,74.24,17.04,4.84,USA
2000-03-07,17.62,24.4,12.17,0.17,77.82,14.49,4.85,USA
2000-03-08,14.61,19.99,7.24,0.79,63.57,12.39,7.64,USA
2000-03-09,0.34,3.98,-3.52,0.25,63.85,6.33,5.81,USA
2000-03-10,-0.01,5.77,-5.05,0.01,59.81,10.25,2.24,USA
2000-03-11,0.02,7.47,-5.67,0.0,54.07,18.12,3.09,USA
2000-03-12,3.56,10.49,-2.07,0.0,56.28,9.39,2.53,USA
2000-03-13,3.17,10.6,-2.6,0.07,70.02,15.01,3.27,USA
2000-03-14,5.55,12.79,-0.72,0.12,73.81,12.06,3.41,USA
2000-03-15,5.61,11.83,-1.76,0.36,76.66,4.5,4.81,USA
2000-03-16,-1.02,5.79,-6.44,0.0,48.32,20.03,3.89,USA
2000-03-17,0.79,8.35,-6.13,0.07,50.23,20.03,3.74,USA
2000-03-18,2.3,5.95,-0.67,3.16,83.53,3.36,3.68,USA
