date,soybeans_crop_good_exc,soybeans_crop_change,soybeans_crop_deviation,soybeans_crop_trend_4w,soybeans_crop_critical
2025-06-01,67.0,,,,0
2025-06-02,67.0,,,,0
2025-06-03,67.0,,,,0
2025-06-04,67.0,,,,0
2025-06-05,67.0,,,,0
2025-06-06,67.0,,,,0
2025-06-07,67.0,,,,0
2025-06-08,207.0,140.0,,,0
2025-06-09,207.0,140.0,,,0
2025-06-10,207.0,140.0,,,0
2025-06-11,207.0,140.0,,,0
2025-06-12,207.0,140.0,,,0
2025-06-13,207.0,140.0,,,0
2025-06-14,207.0,140.0,,137.0,0
2025-06-15,200.0,-7.0,,141.2,0
2025-06-16,200.0,-7.0,,144.875,0
2025-06-17,200.0,-7.0,,148.11764705882354,0
2025-06-18,200.0,-7.0,,151.0,0
2025-06-19,200.0,-7.0,,153.57894736842104,0
2025-06-20,200.0,-7.0,,155.9,0
2025-06-21,200.0,-7.0,,158.0,0
2025-06-22,196.0,-4.0,,159.72727272727272,0
2025-06-23,196.0,-4.0,,161.30434782608697,0
2025-06-24,196.0,-4.0,,162.75,0
2025-06-25,196.0,-4.0,,164.08,0
2025-06-26,196.0,-4.0,,165.30769230769232,0
2025-06-27,196.0,-4.0,,166.44444444444446,0
2025-06-28,196.0,-4.0,,167.5,0
2025-06-29,196.0,0.0,,172.10714285714286,0
2025-06-30,196.0,0.0,,176.71428571428572,0
2025-07-01,196.0,0.0,,181.32142857142858,0
2025-07-02,196.0,0.0,,185.92857142857142,0
2025-07-03,196.0,0.0,,190.53571428571428,0
2025-07-04,196.0,0.0,,195.14285714285714,0
2025-07-05,196.0,0.0,,199.75,0
2025-07-06,196.0,0.0,,199.35714285714286,0
2025-07-07,196.0,0.0,,198.96428571428572,0
2025-07-08,196.0,0.0,,198.57142857142858,0
2025-07-09,196.0,0.0,,198.17857142857142,0
2025-07-10,196.0,0.0,,197.78571428571428,0
2025-07-11,196.0,0.0,,197.39285714285714,0
2025-07-12,196.0,0.0,,197.0,0
2025-07-13,200.0,4.0,,197.0,0
2025-07-14,200.0,4.0,,197.0,0
2025-07-15,200.0,4.0,,197.0,0
2025-07-16,200.0,4.0,,197.0,0
2025-07-17,200.0,4.0,,197.0,0
2025-07-18,200.0,4.0,,197.0,0
2025-07-19,200.0,4.0,,197.0,0
2025-07-20,197.0,-3.0,,197.03571428571428,0
2025-07-21,197.0,-3.0,,197.07142857142858,0
2025-07-22,197.0,-3.0,,197.10714285714286,0
2025-07-23,197.0,-3.0,,197.14285714285714,0
2025-07-24,197.0,-3.0,,197.17857142857142,0
2025-07-25,197.0,-3.0,,197.21428571428572,0
2025-07-26,197.0,-3.0,,197.25,0
2025-07-27,199.0,2.0,,197.35714285714286,0
2025-07-28,199.0,2.0,,197.46428571428572,0
2025-07-29,199.0,2.0,,197.57142857142858,0
2025-07-30,199.0,2.0,,197.67857142857142,0
2025-07-31,199.0,2.0,,197.78571428571428,0
2025-08-01,199.0,2.0,,197.89285714285714,0
2025-08-02,199.0,2.0,,198.0,0
2025-08-03,199.0,0.0,,198.10714285714286,0
2025-08-04,199.0,0.0,,198.21428571428572,0
2025-08-05,199.0,0.0,,198.32142857142858,0
2025-08-06,199.0,0.0,,198.42857142857142,0
2025-08-07,199.0,0.0,,198.53571428571428,0
2025-08-08,199.0,0.0,,198.64285714285714,0
2025-08-09,199.0,0.0,,198.75,0
2025-08-10,199.0,0.0,,198.71428571428572,0
2025-08-11,199.0,0.0,,198.67857142857142,0
2025-08-12,199.0,0.0,,198.64285714285714,0
2025-08-13,199.0,0.0,,198.60714285714286,0
2025-08-14,199.0,0.0,,198.57142857142858,0
2025-08-15,199.0,0.0,,198.53571428571428,0
2025-08-16,199.0,0.0,,198.5,0
2025-08-17,198.0,-1.0,,198.53571428571428,0
2025-08-18,198.0,-1.0,,198.57142857142858,0
2025-08-19,198.0,-1.0,,198.60714285714286,0
2025-08-20,198.0,-1.0,,198.64285714285714,0
2025-08-21,198.0,-1.0,,198.67857142857142,0
2025-08-22,198.0,-1.0,,198.71428571428572,0
2025-08-23,198.0,-1.0,,198.75,0
2025-08-24,196.0,-2.0,,198.64285714285714,0
2025-08-25,196.0,-2.0,,198.53571428571428,0
2025-08-26,196.0,-2.0,,198.42857142857142,0
2025-08-27,196.0,-2.0,,198.32142857142858,0
2025-08-28,196.0,-2.0,,198.21428571428572,0
2025-08-29,196.0,-2.0,,198.10714285714286,0
2025-08-30,196.0,-2.0,,198.0,0
2025-08-31,189.0,-7.0,,197.64285714285714,0
2025-09-01,189.0,-7.0,,197.28571428571428,0
2025-09-02,189.0,-7.0,,196.92857142857142,0
2025-09-03,189.0,-7.0,,196.57142857142858,0
2025-09-04,189.0,-7.0,,196.21428571428572,0
2025-09-05,189.0,-7.0,,195.85714285714286,0
2025-09-06,189.0,-7.0,,195.5,0
2025-09-07,188.0,-1.0,,195.10714285714286,0
