date,wheat_crop_good_exc,wheat_crop_change,wheat_crop_deviation,wheat_crop_trend_4w,wheat_crop_critical
2024-10-27,129.0,,,,0
2024-10-28,129.0,,,,0
2024-10-29,129.0,,,,0
2024-10-30,129.0,,,,0
2024-10-31,129.0,,,,0
2024-11-01,129.0,,,,0
2024-11-02,129.0,,,,0
2024-11-03,136.0,7.0,,,0
2024-11-04,136.0,7.0,,,0
2024-11-05,136.0,7.0,,,0
2024-11-06,136.0,7.0,,,0
2024-11-07,136.0,7.0,,,0
2024-11-08,136.0,7.0,,,0
2024-11-09,136.0,7.0,,132.5,0
2024-11-10,136.0,0.0,,132.73333333333332,0
2024-11-11,136.0,0.0,,132.9375,0
2024-11-12,136.0,0.0,,133.11764705882354,0
2024-11-13,136.0,0.0,,133.27777777777777,0
2024-11-14,136.0,0.0,,133.42105263157896,0
2024-11-15,136.0,0.0,,133.55,0
2024-11-16,136.0,0.0,,133.66666666666666,0
2024-11-17,141.0,5.0,,134.0,0
2024-11-18,141.0,5.0,,134.30434782608697,0
2024-11-19,141.0,5.0,,134.58333333333334,0
2024-11-20,141.0,5.0,,134.84,0
2024-11-21,141.0,5.0,,135.07692307692307,0
2024-11-22,141.0,5.0,,135.2962962962963,0
2024-11-23,141.0,5.0,,135.5,0
2024-11-24,151.0,10.0,,136.28571428571428,0
2024-11-25,151.0,10.0,,137.07142857142858,0
2024-11-26,151.0,10.0,,137.85714285714286,0
2024-11-27,151.0,10.0,,138.64285714285714,0
2024-11-28,151.0,10.0,,139.42857142857142,0
2024-11-29,151.0,10.0,,140.21428571428572,0
2024-11-30,151.0,10.0,,141.0,0
2024-12-01,151.0,0.0,,141.53571428571428,0
2024-12-02,151.0,0.0,,142.07142857142858,0
2024-12-03,151.0,0.0,,142.60714285714286,0
2024-12-04,151.0,0.0,,143.14285714285714,0
2024-12-05,151.0,0.0,,143.67857142857142,0
2024-12-06,151.0,0.0,,144.21428571428572,0
2024-12-07,151.0,0.0,,144.75,0
2024-12-08,151.0,0.0,,145.28571428571428,0
2024-12-09,151.0,0.0,,145.82142857142858,0
2024-12-10,151.0,0.0,,146.35714285714286,0
2024-12-11,151.0,0.0,,146.89285714285714,0
2024-12-12,151.0,0.0,,147.42857142857142,0
2024-12-13,151.0,0.0,,147.96428571428572,0
2024-12-14,151.0,0.0,,148.5,0
2024-12-15,151.0,0.0,,148.85714285714286,0
2024-12-16,151.0,0.0,,149.21428571428572,0
2024-12-17,151.0,0.0,,149.57142857142858,0
2024-12-18,151.0,0.0,,149.92857142857142,0
2024-12-19,151.0,0.0,,150.28571428571428,0
2024-12-20,151.0,0.0,,150.64285714285714,0
2024-12-21,151.0,0.0,,151.0,0
2024-12-22,151.0,0.0,,151.0,0
2024-12-23,151.0,0.0,,151.0,0
