date,corn_crop_good_exc,corn_crop_change,corn_crop_deviation,corn_crop_trend_4w,corn_crop_critical,soybeans_crop_good_exc,soybeans_crop_change,soybeans_crop_deviation,soybeans_crop_trend_4w,soybeans_crop_critical,wheat_crop_good_exc,wheat_crop_change,wheat_crop_deviation,wheat_crop_trend_4w,wheat_crop_critical
2024-10-27,,,,,,,,,,,129.0,,,,0.0
2024-10-28,,,,,,,,,,,129.0,,,,0.0
2024-10-29,,,,,,,,,,,129.0,,,,0.0
2024-10-30,,,,,,,,,,,129.0,,,,0.0
2024-10-31,,,,,,,,,,,129.0,,,,0.0
2024-11-01,,,,,,,,,,,129.0,,,,0.0
2024-11-02,,,,,,,,,,,129.0,,,,0.0
2024-11-03,,,,,,,,,,,136.0,7.0,,,0.0
2024-11-04,,,,,,,,,,,136.0,7.0,,,0.0
2024-11-05,,,,,,,,,,,136.0,7.0,,,0.0
2024-11-06,,,,,,,,,,,136.0,7.0,,,0.0
2024-11-07,,,,,,,,,,,136.0,7.0,,,0.0
2024-11-08,,,,,,,,,,,136.0,7.0,,,0.0
2024-11-09,,,,,,,,,,,136.0,7.0,,132.5,0.0
2024-11-10,,,,,,,,,,,136.0,0.0,,132.73333333333332,0.0
2024-11-11,,,,,,,,,,,136.0,0.0,,132.9375,0.0
2024-11-12,,,,,,,,,,,136.0,0.0,,133.11764705882354,0.0
2024-11-13,,,,,,,,,,,136.0,0.0,,133.27777777777777,0.0
2024-11-14,,,,,,,,,,,136.0,0.0,,133.42105263157896,0.0
2024-11-15,,,,,,,,,,,136.0,0.0,,133.55,0.0
2024-11-16,,,,,,,,,,,136.0,0.0,,133.66666666666666,0.0
2024-11-17,,,,,,,,,,,141.0,5.0,,134.0,0.0
2024-11-18,,,,,,,,,,,141.0,5.0,,134.30434782608697,0.0
2024-11-19,,,,,,,,,,,141.0,5.0,,134.58333333333334,0.0
2024-11-20,,,,,,,,,,,141.0,5.0,,134.84,0.0
2024-11-21,,,,,,,,,,,141.0,5.0,,135.07692307692307,0.0
2024-11-22,,,,,,,,,,,141.0,5.0,,135.2962962962963,0.0
2024-11-23,,,,,,,,,,,141.0,5.0,,135.5,0.0
2024-11-24,,,,,,,,,,,151.0,10.0,,136.28571428571428,0.0
2024-11-25,,,,,,,,,,,151.0,10.0,,137.07142857142858,0.0
2024-11-26,,,,,,,,,,,151.0,10.0,,137.85714285714286,0.0
2024-11-27,,,,,,,,,,,151.0,10.0,,138.64285714285714,0.0
2024-11-28,,,,,,,,,,,151.0,10.0,,139.42857142857142,0.0
2024-11-29,,,,,,,,,,,151.0,10.0,,140.21428571428572,0.0
2024-11-30,,,,,,,,,,,151.0,10.0,,141.0,0.0
