"table_group","table_name","commodity_group","commodity","attribute","geography","year","frequency","timeperiod","unit","amount"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1866,"Annual","Marketing year Jun-May","Million acres","0.7540"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1867,"Annual","Marketing year Jun-May","Million acres","1.0580"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1868,"Annual","Marketing year Jun-May","Million acres","1.0640"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1869,"Annual","Marketing year Jun-May","Million acres","1.2380"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1870,"Annual","Marketing year Jun-May","Million acres","1.3310"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1871,"Annual","Marketing year Jun-May","Million acres","1.3480"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1872,"Annual","Marketing year Jun-May","Million acres","1.4210"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1873,"Annual","Marketing year Jun-May","Million acres","1.4730"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1874,"Annual","Marketing year Jun-May","Million acres","1.6280"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1875,"Annual","Marketing year Jun-May","Million acres","1.7020"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1876,"Annual","Marketing year Jun-May","Million acres","1.9730"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1877,"Annual","Marketing year Jun-May","Million acres","1.9620"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1878,"Annual","Marketing year Jun-May","Million acres","1.8480"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1879,"Annual","Marketing year Jun-May","Million acres","1.9260"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1880,"Annual","Marketing year Jun-May","Million acres","1.9900"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1881,"Annual","Marketing year Jun-May","Million acres","2.2010"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1882,"Annual","Marketing year Jun-May","Million acres","2.4340"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1883,"Annual","Marketing year Jun-May","Million acres","2.4740"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1884,"Annual","Marketing year Jun-May","Million acres","2.6940"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1885,"Annual","Marketing year Jun-May","Million acres","2.8620"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1886,"Annual","Marketing year Jun-May","Million acres","3.0270"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1887,"Annual","Marketing year Jun-May","Million acres","3.2580"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1888,"Annual","Marketing year Jun-May","Million acres","3.2830"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1889,"Annual","Marketing year Jun-May","Million acres","3.3520"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1890,"Annual","Marketing year Jun-May","Million acres","3.2500"
