"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"December 1","1999/00","September-August","Soybeans","On-farm storage","On-farm storage","1150000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","1999/00","September-August","Soybeans","Off-farm storage","Off-farm storage","1032666","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","1999/00","September-August","Soybeans","Total storage","Total storage","2182666","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","1999/00","September-August","Soybeans","On-farm storage","On-farm storage","730000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","1999/00","September-August","Soybeans","Off-farm storage","Off-farm storage","665986","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","1999/00","September-August","Soybeans","Total storage","Total storage","1395986","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","1999/00","September-August","Soybeans","On-farm storage","On-farm storage","370000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","1999/00","September-August","Soybeans","Off-farm storage","Off-farm storage","404425","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","1999/00","September-August","Soybeans","Total storage","Total storage","774425","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","1999/00","September-August","Soybeans","On-farm storage","On-farm storage","112500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","1999/00","September-August","Soybeans","Off-farm storage","Off-farm storage","177662","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","1999/00","September-August","Soybeans","Total storage","Total storage","290162","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2000/01","September-August","Soybeans","On-farm storage","On-farm storage","1217000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2000/01","September-August","Soybeans","Off-farm storage","Off-farm storage","1022991","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2000/01","September-August","Soybeans","Total storage","Total storage","2239991","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2000/01","September-August","Soybeans","On-farm storage","On-farm storage","780000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2000/01","September-August","Soybeans","Off-farm storage","Off-farm storage","623908","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2000/01","September-August","Soybeans","Total storage","Total storage","1403908","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2000/01","September-August","Soybeans","On-farm storage","On-farm storage","365000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2000/01","September-August","Soybeans","Off-farm storage","Off-farm storage","343180","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2000/01","September-August","Soybeans","Total storage","Total storage","708180","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2000/01","September-August","Soybeans","On-farm storage","On-farm storage","83500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2000/01","September-August","Soybeans","Off-farm storage","Off-farm storage","164247","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2000/01","September-August","Soybeans","Total storage","Total storage","247747","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2001/02","September-August","Soybeans","On-farm storage","On-farm storage","1240000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2001/02","September-August","Soybeans","Off-farm storage","Off-farm storage","1035618","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2001/02","September-August","Soybeans","Total storage","Total storage","2275618","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2001/02","September-August","Soybeans","On-farm storage","On-farm storage","687000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2001/02","September-August","Soybeans","Off-farm storage","Off-farm storage","648987","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2001/02","September-August","Soybeans","Total storage","Total storage","1335987","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2001/02","September-August","Soybeans","On-farm storage","On-farm storage","301200","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2001/02","September-August","Soybeans","Off-farm storage","Off-farm storage","383721","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2001/02","September-August","Soybeans","Total storage","Total storage","684921","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2001/02","September-August","Soybeans","On-farm storage","On-farm storage","62700","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2001/02","September-August","Soybeans","Off-farm storage","Off-farm storage","145361","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2001/02","September-August","Soybeans","Total storage","Total storage","208061","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2002/03","September-August","Soybeans","On-farm storage","On-farm storage","1172000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
