date,stocks_bu
1980-08-31,313007000.0
1981-08-31,254511000.0
1982-08-31,344634000.0
1983-08-31,175696000.0
1984-08-31,316057000.0
1985-08-31,536365000.0
1986-08-31,436447000.0
1987-08-31,302476000.0
1988-08-31,182029000.0
1989-08-31,239139000.0
1990-08-31,329042000.0
1991-08-31,278437000.0
1992-08-31,292284000.0
1993-08-31,209117000.0
1994-08-31,334814000.0
1995-08-31,183458000.0
1996-08-31,131833000.0
1997-08-31,199799000.0
1998-08-31,348482000.0
1999-08-31,290162000.0
2000-08-31,247747000.0
2001-08-31,1335987000000.0
2002-08-31,602362000000.0
2003-08-31,112414000.0
2004-08-31,255738000.0
2005-08-31,1669206000000.0
2006-08-31,573810000.0
2007-08-31,676143000000.0
2008-08-31,138198000000.0
2009-08-31,571123000000.0
2010-08-31,2278084000000.0
2011-08-31,169370000.0
2012-08-31,140557000000.0
2013-08-31,91991000000.0
2014-08-31,2527744000000.0
2015-08-31,2714077000000.0
2016-08-31,1738933000000.0
2017-08-31,438105000000.0
2018-08-31,1783080000000.0
2019-08-31,538541000000.0
2020-08-31,1561684000000.0
2021-08-31,274394000000.0
2022-08-31,796388000000.0
2023-08-31,342433000000.0
2024-08-31,380005000.0
