date,stocks_bu
1960-05-31,3044180000.0
1961-05-31,2566548000.0
1962-05-31,2786863000.0
1963-05-31,2584075000.0
1964-05-31,2883610000.0
1965-05-31,2231592000.0
1966-05-31,3219557000.0
1967-05-31,3588538000.0
1968-05-31,4457416000.0
1969-05-31,3804554000.0
1970-05-31,2958934000.0
1971-05-31,3279156000.0
1972-05-31,2753133000.0
1973-05-31,3037492000.0
1974-05-31,2989211000.0
1975-05-31,3186378000.0
1976-05-31,4679385000.0
1977-05-31,4012670000.0
1978-05-31,4954816000.0
1979-05-31,4425890000.0
1980-05-31,4138885000.0
1981-05-31,4138518000.0
1982-05-31,4781496000.0
1983-05-31,5356498000.0
1984-05-31,6187824000.0
1985-05-31,6556364000.0
1986-05-31,7013713000.0
1987-05-31,5834497000.0
1988-05-31,4951215000.0
1989-05-31,5018603000.0
1990-05-31,6278912000.0
1991-05-31,5926173000.0
1992-05-31,6493753000.0
1993-05-31,6711716000.0
1994-05-31,6023066000.0
1995-05-31,5724156000.0
1996-05-31,6040262000.0
1997-05-31,7272131000.0
1998-05-31,7690238000.0
1999-05-31,7682081000.0
2000-05-31,7573687000.0
2001-05-31,7480174000.0
2002-05-31,6240001000.0
2003-05-31,5034256000.0
2004-05-31,5795879000.0
2005-05-31,5683076000.0
2006-05-31,4952244000.0
2007-05-31,4747875000.0
2008-05-31,6256903000.0
2009-05-31,7487817000.0
2010-05-31,7334669000.0
2011-05-31,7353188000.0
2012-05-31,6636281000.0
2013-05-31,7375308000.0
2014-05-31,8288646000.000001
2015-05-31,9105863000.0
2016-05-31,9839194000.0
2017-05-31,10556358000.0
2018-05-31,10428122000.0
2019-05-31,10944371000.0
2020-05-31,10481217000.0
2021-05-31,10114551000.0
2022-05-31,10091697000.0
2023-05-31,9946669000.0
2024-05-31,9642321000.0
2025-05-31,9702544000.0
