,Brent_Crude,Cocoa,Coffee,Copper,Corn,Cotton,Crude_Oil,Feeder_Cattle,Gold,Heating_Oil,Lean_Hogs,Live_Cattle,Lumber,Natural_Gas,Oat,Palladium,Platinum,RBOB_Gasoline,Silver,Soybeans,Sugar,Wheat,DXY,Energy_Index,SP500,Treasury_10Y,VIX
Brent_Crude,1.0,-0.022553757352208197,0.2963533861785068,0.5287382714333706,0.7093972978875032,0.5199591090744864,0.9747202943019057,-0.00853138678874758,0.017491058206846752,0.9297413756357658,0.5273072637590488,0.05511742307820175,-0.04476057358713829,0.480483631939994,0.5218889058480713,-0.15273663337480536,0.6601183153536118,0.9498782995022815,0.42094138725242414,0.7195837636472927,0.3991085235353621,0.6516164305484224,-0.4946161369401402,0.5298588195852375,-0.18035103002539912,0.29209092734468867,-0.13415947892234198
Cocoa,-0.022553757352208197,1.0,0.743758197966987,0.5544453998318292,0.22778189745895197,0.1779866708832683,0.24625182544754293,0.7636479880782386,0.7602629764807113,0.294489778293289,0.3736085379485737,0.7583873856713216,0.09323951127301879,-0.2873832550577981,0.3278108650158696,0.1659115340748202,0.19524527066642236,0.2743510857786446,0.5966999275020768,0.2731111860435537,0.4107766533205618,0.21651517012089472,0.08821452527035102,0.5858070664390632,0.7157199604830182,-0.03482207586974724,-0.07891667812447284
Coffee,0.2963533861785068,0.743758197966987,1.0,0.7871043902127255,0.5935281290798283,0.5587186250614208,0.5447419780197411,0.7342063645567878,0.8386086746197087,0.6110008932488167,0.6211811292991701,0.7638899577133117,0.24626390808960477,-0.14780614546823173,0.6021754457739001,0.3060551623793326,0.4929152154512928,0.5893253502921943,0.8413219351701586,0.5699947029581967,0.6810069914602961,0.5248256711400425,-0.1400393485424152,0.6947910917282452,0.6452043682163955,-0.17841151867636293,-0.07002621399121818
Copper,0.5287382714333706,0.5544453998318292,0.7871043902127255,1.0,0.7383037913992251,0.6185524525779078,0.7526865268974434,0.618801488027146,0.8095390317422282,0.7903199584509581,0.6526114134297359,0.6692840503833992,0.39455706457573814,-0.12199333995985578,0.7550099851438568,0.5299246063220288,0.6359045161989495,0.7905209945695015,0.8635899274376682,0.750961888557395,0.7190764808412219,0.7343969977456094,-0.3223960819112898,0.7901787679120588,0.6262482156166038,-0.3012937861263655,-0.19808623524252547
Corn,0.7093972978875032,0.22778189745895197,0.5935281290798283,0.7383037913992251,1.0,0.7139076128158385,0.7433036089597671,0.31165391792180125,0.588749109344474,0.8123006925202088,0.6116687255502469,0.4239231354235859,0.3195360385872839,-0.10733627587673615,0.77769055543807,0.45324905409498906,0.6271880989078107,0.7975102587416232,0.7681114907023086,0.9203116349320641,0.6799385662124028,0.877021371563373,-0.3252644036885887,0.6026097463398081,0.318566903892358,-0.4538560019303955,0.03369210951589118
Cotton,0.5199591090744864,0.1779866708832683,0.5587186250614208,0.6185524525779078,0.7139076128158385,1.0,0.6046896138314173,0.22815063476323735,0.4403255823510317,0.6345701215808858,0.5225091071060854,0.3149174790189689,0.32610648891345057,-0.0992109530578571,0.6605443574535188,0.38588200380818166,0.5388555316116435,0.642584320002307,0.6314817874161088,0.6844020546988401,0.6802479811444371,0.6352032186869068,-0.27735860891347786,0.46229721709698046,0.26372821846534644,-0.3313006510388428,-0.10461303482403486
Crude_Oil,0.9747202943019057,0.24625182544754293,0.5447419780197411,0.7526865268974434,0.7433036089597671,0.6046896138314173,1.0,0.2923896847499457,0.4225104675748731,0.9515971497696607,0.6350392284484991,0.3583845753305211,0.11063988387573301,0.20716323281655358,0.663767669180308,0.18380118822580588,0.7788432779016189,0.9592213045410561,0.6220121653800627,0.7660687106154981,0.6168136746435118,0.769975309243222,-0.5808969676697223,0.7506566937358922,0.16500670227718134,-0.16509235611177994,-0.15928356414851583
Feeder_Cattle,-0.00853138678874758,0.7636479880782386,0.7342063645567878,0.618801488027146,0.31165391792180125,0.22815063476323735,0.2923896847499457,1.0,0.833922781244582,0.4347770280538737,0.5715179926434071,0.9763142117640496,0.2686059824153093,-0.35452184052903957,0.44103841741526684,0.35598068176536796,0.14000861775346193,0.3899105758560864,0.6435014625840787,0.4047921114397445,0.41875762711397707,0.2597023528907343,0.23808570858960354,0.729825051175187,0.808952554509902,-0.11746332190281925,-0.24964492641912964
Gold,0.017491058206846752,0.7602629764807113,0.8386086746197087,0.8095390317422282,0.588749109344474,0.4403255823510317,0.4225104675748731,0.833922781244582,1.0,0.5467170723676972,0.574413165193245,0.8605661263766332,0.4748513031050439,-0.4331627135427818,0.6170669910376243,0.5835522357997418,0.34448426567042484,0.5030864943134552,0.8834313528393616,0.6255935935759749,0.624472232755593,0.5083760917855386,0.04003337825457269,0.679287957879829,0.8465460950302008,-0.39230948583419545,-0.0738628411247011
Heating_Oil,0.9297413756357658,0.294489778293289,0.6110008932488167,0.7903199584509581,0.8123006925202088,0.6345701215808858,0.9515971497696607,0.4347770280538737,0.5467170723676972,1.0,0.6748704999698834,0.5080560003940203,0.18430849105846642,0.12137886245632667,0.7388604065414155,0.310339521119297,0.6677088809821434,0.9579824579937709,0.6835376212562623,0.8217545402253257,0.6518542961231281,0.8040996296953133,-0.4102677568639004,0.8164199583556034,0.3234959077825947,-0.212621137904918,-0.14307833836197525
Lean_Hogs,0.5273072637590488,0.3736085379485737,0.6211811292991701,0.6526114134297359,0.6116687255502469,0.5225091071060854,0.6350392284484991,0.5715179926434071,0.574413165193245,0.6748704999698834,1.0,0.6009214008953104,0.36489486746924127,-0.0796611272666228,0.6085134099973015,0.3590159836424239,0.49644056142901016,0.7163623963296907,0.6328713574341241,0.6715867656069684,0.49207827592082315,0.5111581171893192,-0.21707745908656223,0.6250684261330245,0.4307712846413015,-0.24276380878177675,-0.2334760708117612
Live_Cattle,0.05511742307820175,0.7583873856713216,0.7638899577133117,0.6692840503833992,0.4239231354235859,0.3149174790189689,0.3583845753305211,0.9763142117640496,0.8605661263766332,0.5080560003940203,0.6009214008953104,1.0,0.31012341490713546,-0.35624599093548937,0.519451620940123,0.3929767980296949,0.19450727220317957,0.45488084706317616,0.6930140164300003,0.5060720573492025,0.4946579526062419,0.3525282536162379,0.20122394603245602,0.7718788284866955,0.8171364398295244,-0.1577534654103326,-0.2412415818549448
Lumber,-0.04476057358713829,0.09323951127301879,0.24626390808960477,0.39455706457573814,0.3195360385872839,0.32610648891345057,0.11063988387573301,0.2686059824153093,0.4748513031050439,0.18430849105846642,0.36489486746924127,0.31012341490713546,1.0,-0.12593947227030353,0.5351979125334121,0.7386340308624361,-0.08061834542959825,0.17484953075373957,0.28139731207177016,0.36904147253256525,0.10215243584719157,0.308067357051838,0.13660166787645964,0.07310061232527625,0.7507227759116223,-0.3770734190886501,-0.08752787483159896
Natural_Gas,0.480483631939994,-0.2873832550577981,-0.14780614546823173,-0.12199333995985578,-0.10733627587673615,-0.0992109530578571,0.20716323281655358,-0.35452184052903957,-0.4331627135427818,0.12137886245632667,-0.0796611272666228,-0.35624599093548937,-0.12593947227030353,1.0,-0.0531177922268856,-0.29754660580938974,0.08299890274603845,0.10979165329449508,-0.3425517759712003,-0.15376002399141206,-0.25987450935975703,0.04389588657597123,-0.3065358875892798,-0.11768528253469578,-0.3424631427528129,0.4597096323222721,0.013314986416171492
Oat,0.5218889058480713,0.3278108650158696,0.6021754457739001,0.7550099851438568,0.77769055543807,0.6605443574535188,0.663767669180308,0.44103841741526684,0.6170669910376243,0.7388604065414155,0.6085134099973015,0.519451620940123,0.5351979125334121,-0.0531177922268856,1.0,0.6225631228728012,0.4059837350324331,0.7062386161406168,0.6325656234767844,0.7802853405244145,0.5577852985441609,0.8051385125202075,-0.12472631439903295,0.6007199419841581,0.5554135012744266,-0.40845461299149916,-0.019926542446184362
Palladium,-0.15273663337480536,0.1659115340748202,0.3060551623793326,0.5299246063220288,0.45324905409498906,0.38588200380818166,0.18380118822580588,0.35598068176536796,0.5835522357997418,0.310339521119297,0.3590159836424239,0.3929767980296949,0.7386340308624361,-0.29754660580938974,0.6225631228728012,1.0,-0.0025024902856250397,0.25867792560940367,0.43893829091832104,0.4802927012078057,0.28138062479614206,0.4768501639043164,0.2128836893592299,0.24238838995436288,0.684893507576085,-0.49487236349265384,0.025397250789424213
