,Cocoa,Coffee,Corn,Cotton,Feeder_Cattle,Lean_Hogs,Live_Cattle,Lumber,Oat,Soybean_Meal,Soybean_Oil,Soybeans,Sugar,Wheat,Wheat_Kansas
Cocoa,1.0,0.7447431113545312,0.22746704356912567,0.17661788829245548,0.7646516720259158,0.3736326360602555,0.7598225975624601,0.09323951127301879,0.3270189317590495,0.2526737320479658,0.3482030287579282,0.273142301302555,0.4091537559082276,0.21583642923872598,0.18603741970404375
Coffee,0.7447431113545312,1.0,0.5875020283379712,0.5507819124010376,0.739754114456412,0.6163529338503181,0.76806842173591,0.24626390808960477,0.5956127811241512,0.4578524618369512,0.6669383567279317,0.5651838512997622,0.6725695594258659,0.5188082626472079,0.5280580891128624
Corn,0.22746704356912567,0.5875020283379712,1.0,0.7137988383314284,0.3090651645977926,0.6116542068972329,0.421024083967814,0.3195360385872839,0.7776889282603207,0.8111717431065119,0.9007697125140923,0.9202940907545553,0.6798882352748401,0.8770068135361955,0.8758067337996638
Cotton,0.17661788829245548,0.5507819124010376,0.7137988383314284,1.0,0.22420312553094898,0.5222349854796579,0.3109235994299152,0.32610648891345057,0.6604700568103876,0.5827155537761696,0.6987511142965265,0.684185615497368,0.6802535234991454,0.6351664863773883,0.6633585429122688
Feeder_Cattle,0.7646516720259158,0.739754114456412,0.3090651645977926,0.22420312553094898,1.0,0.5678995482996065,0.976621816065381,0.2686059824153093,0.4367170270973678,0.4309622662465394,0.42190006367385385,0.40215521293010364,0.4135825772327659,0.2568155382332888,0.2607610148858051
Lean_Hogs,0.3736326360602555,0.6163529338503181,0.6116542068972329,0.5222349854796579,0.5678995482996065,1.0,0.5979909705544713,0.36489486746924127,0.6084545482577789,0.6090477987772246,0.645280370681431,0.6716310993943062,0.49190768102917576,0.5110725876710122,0.5380657144409394
Live_Cattle,0.7598225975624601,0.76806842173591,0.421024083967814,0.3109235994299152,0.976621816065381,0.5979909705544713,1.0,0.31012341490713546,0.5153829854202743,0.5192400027501708,0.5148803201547374,0.5033057507312517,0.4898672809882319,0.3494690329915271,0.356400215675242
Lumber,0.09323951127301879,0.24626390808960477,0.3195360385872839,0.32610648891345057,0.2686059824153093,0.36489486746924127,0.31012341490713546,1.0,0.5351979125334121,0.359483663628142,0.4107522143115268,0.36904147253256525,0.10215243584719157,0.308067357051838,0.22654942158918118
Oat,0.3270189317590495,0.5956127811241512,0.7776889282603207,0.6604700568103876,0.4367170270973678,0.6084545482577789,0.5153829854202743,0.5351979125334121,1.0,0.7017642918457453,0.8300605028736903,0.7802549505044887,0.5577594135876044,0.8051356896032384,0.7772007299470828
Soybean_Meal,0.2526737320479658,0.4578524618369512,0.8111717431065119,0.5827155537761696,0.4309622662465394,0.6090477987772246,0.5192400027501708,0.359483663628142,0.7017642918457453,1.0,0.7591074046161849,0.945240193131781,0.6115608983732049,0.7590692438509138,0.7431920797950022
Soybean_Oil,0.3482030287579282,0.6669383567279317,0.9007697125140923,0.6987511142965265,0.42190006367385385,0.645280370681431,0.5148803201547374,0.4107522143115268,0.8300605028736903,0.7591074046161849,1.0,0.9059081420495677,0.6847109796463403,0.8711085163953954,0.876656325006874
Soybeans,0.273142301302555,0.5651838512997622,0.9202940907545553,0.684185615497368,0.40215521293010364,0.6716310993943062,0.5033057507312517,0.36904147253256525,0.7802549505044887,0.945240193131781,0.9059081420495677,1.0,0.6834142408938212,0.8660621429676842,0.8622310341525804
Sugar,0.4091537559082276,0.6725695594258659,0.6798882352748401,0.6802535234991454,0.4135825772327659,0.49190768102917576,0.4898672809882319,0.10215243584719157,0.5577594135876044,0.6115608983732049,0.6847109796463403,0.6834142408938212,1.0,0.5397573843021906,0.5893649738362425
Wheat,0.21583642923872598,0.5188082626472079,0.8770068135361955,0.6351664863773883,0.2568155382332888,0.5110725876710122,0.3494690329915271,0.308067357051838,0.8051356896032384,0.7590692438509138,0.8711085163953954,0.8660621429676842,0.5397573843021906,1.0,0.9693054622906104
Wheat_Kansas,0.18603741970404375,0.5280580891128624,0.8758067337996638,0.6633585429122688,0.2607610148858051,0.5380657144409394,0.356400215675242,0.22654942158918118,0.7772007299470828,0.7431920797950022,0.876656325006874,0.8622310341525804,0.5893649738362425,0.9693054622906104,1.0
