,Cocoa,Coffee,Corn,Cotton,Feeder_Cattle,Lean_Hogs,Live_Cattle,Lumber,Oat,Soybean_Meal,Soybean_Oil,Soybeans,Sugar,Wheat,Wheat_Kansas,Baltic_Dry_Index,Brent_Crude,Copper,Crude_Oil,Ethanol,Gold,Heating_Oil,Natural_Gas,Palladium,Platinum,RBOB_Gasoline,Silver,Baltic_Dry_Index_volume,Brent_Crude_volume,Copper_volume,Crude_Oil_volume,Ethanol_volume,Gold_volume,Heating_Oil_volume,Natural_Gas_volume,Palladium_volume,Platinum_volume,RBOB_Gasoline_volume,Silver_volume,DXY,EUR_USD,Energy_Index,Materials_Index,SP500,TIPS,Treasury_10Y,Treasury_2Y,USD_ARS,USD_BRL,USD_CNY,USD_RUB,USD_UAH,VIX,ONI,Temp_Global_Grain,Precip_Global_Grain,RH_Global_Grain,SolarRad_Global_Grain,WindSpeed_Global_Grain,ET0_Global_Grain,GDD_Global_Grain,Heat_Stress_Days,Precip_Deficit,psd_world_Production,psd_world_Ending_Stocks,psd_world_Exports,psd_world_Imports,psd_world_Stock_to_Use_Ratio,psd_brazil_Production,psd_brazil_Ending_Stocks,psd_brazil_Exports,psd_brazil_Stock_to_Use_Ratio,psd_united_states_Production,psd_united_states_Ending_Stocks,psd_united_states_Exports,psd_united_states_Stock_to_Use_Ratio,psd_argentina_Production,psd_argentina_Exports,psd_argentina_Stock_to_Use_Ratio,psd_china_Imports,psd_china_Crush,psd_china_Ending_Stocks,psd_china_Stock_to_Use_Ratio
Cocoa,1.0,0.7447431113545312,0.22746704356912567,0.17661788829245548,0.7646516720259158,0.3736326360602555,0.7598225975624601,0.09323951127301879,0.3270189317590495,0.2526737320479658,0.3482030287579282,0.273142301302555,0.4091537559082276,0.21583642923872598,0.18603741970404375,-0.12632108057823072,-0.024520083412816644,0.5570352748833868,0.24493978081018247,0.11573127022622715,0.7606829469964589,0.2951844068889062,-0.28695881979046867,0.16806615082279558,0.19886673839670965,0.2736093027553001,0.5999029446954566,,0.3234648796306884,0.024121013474961282,0.13203586995289038,-0.12394614857613218,0.01873937363203635,0.26694416285507305,0.39861516209730663,-0.08225711002322772,-0.056209558046383716,0.25107692848179974,0.015594002424166547,0.08977081242920237,-0.278882759603876,0.587456701395917,0.6761696960396748,0.7176333705893412,0.49760794501439803,-0.032862762156834334,0.16972944139242246,0.8948060329931717,0.47616660892571566,-0.14598970813159506,0.558853250827513,0.5950795586804332,-0.07940527281154375,0.09199897982476132,0.0847788082007746,-0.01965491601638001,-0.06980783542197633,0.020304699286078413,-0.026011940792052907,0.0277630883751961,0.08483252288835352,,-0.04947257201940425,0.6072496813501146,0.5085343724498017,0.6703754698351498,0.6799454539479645,0.321225717382552,0.6681777826091655,0.2600185326963905,0.7097583891518574,-0.19277959276860163,0.6413681794120637,0.4188218546930647,0.6860319139133262,0.10436207000456875,0.4664376488479953,0.38860147620023683,0.19504023587909403,-0.14617670983670508,0.5586830419241662,0.504470312328482,0.4372759707771309
Coffee,0.7447431113545312,1.0,0.5875020283379712,0.5507819124010376,0.739754114456412,0.6163529338503181,0.76806842173591,0.24626390808960477,0.5956127811241512,0.4578524618369512,0.6669383567279317,0.5651838512997622,0.6725695594258659,0.5188082626472079,0.5280580891128624,-0.10285737730651061,0.28728735801791144,0.7872966054383409,0.5374675090156507,0.4453360648905622,0.8423893055264767,0.6071478459913943,-0.1470081817773818,0.3077614226126001,0.49535326265169566,0.582801929280889,0.8442918142151303,,0.12545362581923278,0.03382240292940957,0.16964636456542587,-0.07435459934357226,0.02936133388778708,0.3360706396838327,0.4313686699619359,-0.07051033509764722,-0.07265058048044652,0.2942597440844985,0.03153526902363695,-0.13484688503564166,-0.13479279473038644,0.694247999594611,0.6581626888398233,0.6517277075973005,0.5326806528245311,-0.17277891921362679,0.027431617651651728,0.7154756515413394,0.3225711817149274,-0.37585325440997885,0.37279006650369645,0.4551308184297565,-0.07064155503840049,-0.22126292189961225,0.05662977482716583,-0.017911713787962098,-0.05851834411504108,0.01575429822984305,0.005819898360809356,0.0422268389637481,0.05653202808653927,,-0.04161111384103086,0.6167525753423485,0.5489910092905742,0.6964016162042466,0.7193535907941706,0.4133391187941831,0.6912055862612958,0.4111075585665276,0.6497714560234333,0.017169572211547992,0.5754987917992448,0.38872854801623896,0.6396513206917867,0.14237595264714584,0.5754501388311372,0.5111813106790528,0.28627253064872926,-0.01092951602337792,0.5883942814574828,0.5355768655201786,0.5316781033194372
Corn,0.22746704356912567,0.5875020283379712,1.0,0.7137988383314284,0.3090651645977926,0.6116542068972329,0.421024083967814,0.3195360385872839,0.7776889282603207,0.8111717431065119,0.9007697125140923,0.9202940907545553,0.6798882352748401,0.8770068135361955,0.8758067337996638,-0.05027114402022238,0.7094690879058525,0.7365098066093144,0.7432383066282354,0.5374015184479168,0.5820293764127845,0.8122053224809958,-0.10735901636737105,0.4531146770726015,0.6262646673754902,0.7975044182401103,0.7619940459221589,,-0.26826809403570717,0.04392618663475927,0.22047434194880455,0.018528589243987884,0.03456678687290624,0.32107930637125986,0.3973233882423589,-0.10540518598153263,-0.09380922417089753,0.3312724748195575,0.03964459142299807,-0.3250253192772676,0.08998451369043599,0.6019278923084146,0.4447049344627943,0.316631628474371,0.4705917857662529,-0.4535405926847701,-0.2586127586853424,0.05017554486209858,0.015771145924224617,-0.6422472434054771,0.08071470770302738,0.14211323773984066,0.03364437620812623,-0.302350626285169,-0.027845117816547686,-0.024733895163840502,0.02801041458119436,0.04046937063271198,0.012099542126786999,0.04598300347732806,-0.027829566047645197,,-0.03330213154725783,0.4429299530283338,0.4156899595643277,0.47981618972604656,0.4863050067423944,0.3970117899459559,0.4954794173694126,0.5825484922921368,0.3413910113646149,0.44108904891957246,0.26882592294217295,0.17221260047856168,0.38680469698082887,0.07947013627750255,0.43355183156069615,0.38053187522797177,0.2939420269129624,-0.10408558733702043,0.47616726197575876,0.445436266605235,0.533659431473166
Cotton,0.17661788829245548,0.5507819124010376,0.7137988383314284,1.0,0.22420312553094898,0.5222349854796579,0.3109235994299152,0.32610648891345057,0.6604700568103876,0.5827155537761696,0.6987511142965265,0.684185615497368,0.6802535234991454,0.6351664863773883,0.6633585429122688,-0.0936378000843426,0.5203399895868566,0.6158848072473069,0.6047178524143499,0.3444253163969433,0.4329970276486422,0.6341423295311375,-0.09913615755733433,0.38516930493648033,0.5370079399307217,0.6425283600492889,0.6244760288136878,,-0.1603320263593373,0.04788809722396997,0.2521318413349299,0.06840461795054534,0.033871005959603774,0.28959837469928945,0.3450440266078899,-0.07356193726723717,-0.08732280881091592,0.30007260680005293,0.04808705598283954,-0.27751795614249264,0.05329246308946427,0.4609471557918219,0.3753913161181213,0.2602502121148832,0.3580575352380106,-0.3314418019882371,-0.27080209260485555,-0.0055665146422757645,0.003743422548040115,-0.5294122547663621,0.08917030813158618,0.13206983409999887,-0.10450282337883086,-0.30998150203769154,-0.06804133918377318,-0.00020854025642941793,0.07646048505169417,0.012329186169457359,0.02622661414044246,0.004722919658486886,-0.0678992598144484,,0.04396356886990175,0.36876977755336793,0.3665296388239498,0.38565592931922626,0.40161560745661656,0.3678127991199453,0.40626383967913937,0.4112981641336048,0.2927697517125115,0.2377777281159951,0.18778976226825728,0.2557020380503882,0.27914491124003615,0.24234752579412647,0.40251446282883063,0.35359291814964167,0.2882330116060908,0.004018294464777098,0.3986497620528123,0.3764263672054369,0.4625267495473904
Feeder_Cattle,0.7646516720259158,0.739754114456412,0.3090651645977926,0.22420312553094898,1.0,0.5678995482996065,0.976621816065381,0.2686059824153093,0.4367170270973678,0.4309622662465394,0.42190006367385385,0.40215521293010364,0.4135825772327659,0.2568155382332888,0.2607610148858051,-0.29810658051162764,-0.012578924387806069,0.621651968178167,0.2882076651602484,0.061733782483733214,0.837461422364612,0.4332264323529863,-0.3517817126618207,0.35716957666291255,0.14683709686100968,0.38604616182728585,0.6501417043875464,,0.44811336764796766,0.036044093499567054,0.20477352016673722,0.054039630868228695,0.021822950769740883,0.3469145694605077,0.4679612266704751,-0.09711587732904728,-0.04485967281398015,0.34731047768494494,0.016861112323211948,0.23965213325682055,-0.49354947676761174,0.729331195874086,0.794003215121319,0.8122465465327532,0.6835988803933531,-0.1119194145202972,0.28715649156794193,0.8023918297639917,0.5927209187216977,-0.35384268948945413,0.6756666506314722,0.7300861238510646,-0.24839226232290965,0.12516876250655873,0.18533800003033815,-0.08119320971711706,-0.2076944687665606,0.039935259325876535,-0.03843125790884748,0.08581742733982498,0.18553158331887698,,-0.185779299110421,0.7713796961608682,0.7256991772464777,0.8044224765105139,0.8084606135184165,0.601186669161586,0.8150282116593806,0.4990685921736478,0.7849591189015972,0.000142684767959348,0.7509284510902277,0.4793184731661765,0.8290150776349473,0.13283867646897854,0.5641932426350375,0.444991651764921,0.5383410553813749,-0.20495716076130766,0.751040305017802,0.6781348372418785,0.5761442217488796
Lean_Hogs,0.3736326360602555,0.6163529338503181,0.6116542068972329,0.5222349854796579,0.5678995482996065,1.0,0.5979909705544713,0.36489486746924127,0.6084545482577789,0.6090477987772246,0.645280370681431,0.6716310993943062,0.49190768102917576,0.5110725876710122,0.5380657144409394,-0.11832561218670175,0.5269487181585603,0.6518165934663338,0.6348169124482483,0.45415123766287907,0.569493644183609,0.6749622277290299,-0.07974172265701773,0.35925651710258016,0.4962934460180164,0.7162871367868855,0.629275344353895,,-0.0058610674056076666,0.03260284703200632,0.09777858377472183,0.06969600764380045,0.032877128871610414,0.2646611086583909,0.26957701716154564,-0.052696671940554815,-0.03703442172333188,0.2853182721625693,0.0291337741695297,-0.21654862434501568,-0.03710938168597558,0.6248770081056517,0.4975071239357065,0.42923223477848205,0.41350466385322393,-0.24216813993942368,-0.08443351009555299,0.27980698396423026,0.1566760248429586,-0.4781499000251164,0.1427848643319675,0.20181194676560452,-0.23358110407221114,-0.17940340776164326,0.16087227166955761,-0.11684642971973744,-0.1308981808613333,0.10422604366558436,-0.05614482680343974,0.10032128424747568,0.16078007624532048,,-0.20631247874994119,0.4446421447690957,0.42653958078089926,0.49424730099798164,0.5013754118875425,0.3940384439367064,0.48577780212331656,0.38940607277247474,0.4100584086387438,0.13120438918244046,0.3181208255052464,0.12152918085560836,0.4350520968175382,-0.035862504861788415,0.4176237551185123,0.33292385490020654,0.44739968754535486,-0.09612632746198178,0.46567372409396207,0.4009947688364527,0.425158485221041
Live_Cattle,0.7598225975624601,0.76806842173591,0.421024083967814,0.3109235994299152,0.976621816065381,0.5979909705544713,1.0,0.31012341490713546,0.5153829854202743,0.5192400027501708,0.5148803201547374,0.5033057507312517,0.4898672809882319,0.3494690329915271,0.356400215675242,-0.29816342607105056,0.05077095229028279,0.6716436302739389,0.3544549933338408,0.11967694619068833,0.8628236307861585,0.5064986779625272,-0.35407406033195077,0.3940517389817244,0.20016660774738967,0.4513236901914453,0.6981038237352717,,0.44128428249877955,0.04599175604822928,0.23816360062110256,0.06229596687132816,0.026707311006195715,0.3745867178021157,0.49811537063729994,-0.10645002193050936,-0.059894965788307504,0.3731559526153113,0.027023538880618307,0.20306693077288546,-0.49600303777275173,0.7715884889194002,0.8212998395000448,0.8200249595582485,0.7272593137540675,-0.1525847864199877,0.25999848895780076,0.7817538093951756,0.5991651662582163,-0.41662214606902426,0.6896700872545538,0.749846129143434,-0.24045827112264428,0.08297440812027522,0.0914301035485172,-0.0440572126254624,-0.1278848313531008,0.015315767910916886,0.0034237727915214077,0.061187228419563325,0.09155859789023384,,-0.10239824570196514,0.7967131269611762,0.7464443376156205,0.8245144461420912,0.8286503762378475,0.6213061900013632,0.8464795748384013,0.53995364408802,0.8046543701751249,0.03181446083794516,0.7509685914221743,0.48209042392461665,0.8377937665603369,0.13870525787500532,0.5854117722248889,0.46259268637548245,0.5570701470257645,-0.23417442693882473,0.7838422867101963,0.704129846816451,0.6147263039932597
Lumber,0.09323951127301879,0.24626390808960477,0.3195360385872839,0.32610648891345057,0.2686059824153093,0.36489486746924127,0.31012341490713546,1.0,0.5351979125334121,0.359483663628142,0.4107522143115268,0.36904147253256525,0.10215243584719157,0.308067357051838,0.22654942158918118,-0.06817854677166507,-0.04476057358713832,0.39455706457573814,0.110639883875733,-0.013739883270037114,0.4748513031050439,0.18430849105846642,-0.12593947227030353,0.7386340308624361,-0.08061834542959825,0.17484953075373957,0.28139731207177016,,0.4145742481402865,0.04869979138618577,0.2128571860583469,-0.18869902524240606,0.011802279255032399,0.18633563939608971,0.21369803075859475,-0.043058258969941726,-0.037499839901560444,0.25269555007737,0.024553818106978376,0.13660166787645964,-0.373521571233876,0.07310061232527625,0.7230311563513123,0.7507227759116223,0.5713064578665521,-0.3770734190886501,-0.16022736734972862,0.5881635611544767,0.6917872364448213,-0.20689096491493955,0.5950949196927049,0.5153204832964109,-0.08752787483159896,-0.2514237970213617,-0.013462841152786256,-0.02570321270487457,-0.04022536780187429,0.05048804882187624,0.04854622930394985,0.070435216963537,-0.013653580795695562,,-0.011971672204505714,0.5577954235345931,0.5336606820037696,0.45896919845896783,0.47136653653529365,0.4380397961658349,0.5695394101868193,0.5198694682002643,0.603974170755841,0.2732924164688909,0.6071414401841267,0.22220306587126684,0.46670538187887495,-0.03282421620366146,0.29713361803294225,0.21475195314852707,0.16012800301109398,-0.1228938015260115,0.511968913876567,0.4847159905757416,0.34352663027667163
Oat,0.3270189317590495,0.5956127811241512,0.7776889282603207,0.6604700568103876,0.4367170270973678,0.6084545482577789,0.5153829854202743,0.5351979125334121,1.0,0.7017642918457453,0.8300605028736903,0.7802549505044887,0.5577594135876044,0.8051356896032384,0.7772007299470828,-0.0004670916037096751,0.5220657607371034,0.7528266505941892,0.6637289440577837,0.39897684957208157,0.6091923910737206,0.7387230300331588,-0.053111602287429414,0.6222375937258804,0.4052898266027366,0.7062337921020521,0.6270027197515157,,0.05365704935415475,0.032586819293729315,0.21056332701996247,-0.13721429113947403,0.018028221095528228,0.30134476441184654,0.3916414132349406,-0.11730299586404436,-0.10632901551342142,0.32785519361318927,0.02190011135796087,-0.12460888665850091,-0.09874295670869099,0.5999148744789252,0.6543677019842268,0.5512723844866069,0.6224964017747017,-0.4082469746700441,-0.16117831937893934,0.2132940141378237,0.3437781064693398,-0.5335044104518957,0.3463400317234545,0.3415522115694352,-0.019941255359101132,-0.25116388845603194,-0.022018800603544376,-0.0007964232789479587,-0.016962257454806284,0.022544299383872982,0.021619786943464003,0.035795714383635456,-0.021896788121908917,,-0.0007351909336273149,0.5700061653918572,0.5443554732011179,0.5766235834972528,0.5960821552539737,0.48570645788554917,0.614552658292227,0.5703929885381102,0.5068146633515223,0.2705614312245233,0.4875158099019776,0.24769053221087745,0.5328958784258698,0.0480711766614505,0.4588920843357477,0.3673410041465837,0.3184973841296422,-0.12978484034445192,0.560019659645251,0.491391830535866,0.488040640217543
Soybean_Meal,0.2526737320479658,0.4578524618369512,0.8111717431065119,0.5827155537761696,0.4309622662465394,0.6090477987772246,0.5192400027501708,0.359483663628142,0.7017642918457453,1.0,0.7591074046161849,0.945240193131781,0.6115608983732049,0.7590692438509138,0.7431920797950022,-0.18261841459106457,0.5451341639173976,0.6448879928164317,0.6548379914184247,0.20595094216602963,0.5854330348151096,0.7299118031222358,-0.28180741371632795,0.481037518762719,0.5178304267262268,0.7060946810365584,0.6448777768353093,,-0.1669631628997136,0.06241937398845874,0.3385363268617024,0.16995380000802862,0.04810857934062957,0.399473739731973,0.4928403892002576,-0.11176926249413974,-0.10945878528117452,0.4372375731995812,0.047019489298989664,-0.2695094230265471,-0.06596462493214925,0.6745133150721226,0.5327276358079565,0.3843274574658998,0.5827918074958529,-0.5766832025217536,-0.34796524295758224,0.026954925949379274,0.14324201259194735,-0.7767540863572198,0.24677951596974373,0.2984878984427638,-0.08345969996593748,-0.1497532941527357,0.021039435906929162,-0.05659247817081877,-0.03517760795530561,0.06595004158766513,-0.018955713000220677,0.06709846396042482,0.021147286426846428,,-0.0983852386764401,0.5728616538565386,0.5632553725202821,0.5849570097751575,0.5808121630373408,0.5483270589505672,0.5883564015611806,0.6660079988910107,0.39548023940723886,0.44327649393597446,0.33775033807663074,0.2018019696254703,0.5231205727443061,0.05022696570400751,0.5170395795980547,0.433708269885354,0.5076990911572654,-0.23973655601702307,0.6349146644566966,0.6001859273400555,0.6795213466258473
