,Cocoa,Coffee,Corn,Cotton,Feeder_Cattle,Lean_Hogs,Live_Cattle,Lumber,Oat,Soybean_Meal,Soybean_Oil,Soybeans,Sugar,Wheat,Wheat_Kansas
Baltic_Dry_Index,-0.12632108057823072,-0.10285737730651061,-0.05027114402022238,-0.0936378000843426,-0.29810658051162764,-0.11832561218670175,-0.29816342607105056,-0.06817854677166507,-0.0004670916037096751,-0.18261841459106457,0.11261926818300874,-0.03836360561541403,-0.23957532328497338,0.20227010761438485,0.18521143881899002
Brent_Crude,-0.024520083412816644,0.28728735801791144,0.7094690879058525,0.5203399895868566,-0.012578924387806069,0.5269487181585603,0.05077095229028279,-0.04476057358713832,0.5220657607371034,0.5451341639173976,0.6386827282299272,0.719571993831435,0.399601183190393,0.65183138063103,0.7277858792933093
Copper,0.5570352748833868,0.7872966054383409,0.7365098066093144,0.6158848072473069,0.621651968178167,0.6518165934663338,0.6716436302739389,0.39455706457573814,0.7528266505941892,0.6448879928164317,0.8077010555129255,0.7495962163426572,0.7165425749006352,0.7322125976193098,0.7120555068016023
Crude_Oil,0.24493978081018247,0.5374675090156507,0.7432383066282354,0.6047178524143499,0.2882076651602484,0.6348169124482483,0.3544549933338408,0.110639883875733,0.6637289440577837,0.6548379914184247,0.7557604330832021,0.7659128372047131,0.6168301198933914,0.7699566752441367,0.8118687520310369
Ethanol,0.11573127022622715,0.4453360648905622,0.5374015184479168,0.3444253163969433,0.061733782483733214,0.45415123766287907,0.11967694619068833,-0.013739883270037114,0.39897684957208157,0.20595094216602963,0.5426797271753955,0.42969422798843987,0.467440999584715,0.4361272219172683,0.5592787176085249
Gold,0.7606829469964589,0.8423893055264767,0.5820293764127845,0.4329970276486422,0.837461422364612,0.569493644183609,0.8628236307861585,0.4748513031050439,0.6091923910737206,0.5854330348151096,0.645191347304917,0.6194582680225393,0.6156862060991868,0.5018369890999838,0.45148033317355163
Heating_Oil,0.2951844068889062,0.6071478459913943,0.8122053224809958,0.6341423295311375,0.4332264323529863,0.6749622277290299,0.5064986779625272,0.18430849105846642,0.7387230300331588,0.7299118031222358,0.831336658750707,0.8217529366637937,0.6515630688915675,0.8038983058222394,0.8437679534546051
Natural_Gas,-0.28695881979046867,-0.1470081817773818,-0.10735901636737105,-0.09913615755733433,-0.3517817126618207,-0.07974172265701773,-0.35407406033195077,-0.12593947227030353,-0.053111602287429414,-0.28180741371632795,0.002918835379334893,-0.1537990411282856,-0.25982487297983187,0.04390509306516203,0.09954728346327309
Palladium,0.16806615082279558,0.3077614226126001,0.4531146770726015,0.38516930493648033,0.35716957666291255,0.35925651710258016,0.3940517389817244,0.7386340308624361,0.6222375937258804,0.481037518762719,0.5175887654494803,0.4803475669498362,0.2809855743596614,0.47658301104727935,0.3725695301573927
Platinum,0.19886673839670965,0.49535326265169566,0.6262646673754902,0.5370079399307217,0.14683709686100968,0.4962934460180164,0.20016660774738967,-0.08061834542959825,0.4052898266027366,0.5178304267262268,0.5767606619955239,0.6269100550231749,0.6329901828471844,0.6230940039438376,0.6362663072823541
RBOB_Gasoline,0.2736093027553001,0.582801929280889,0.7975044182401103,0.6425283600492889,0.38604616182728585,0.7162871367868855,0.4513236901914453,0.17484953075373957,0.7062337921020521,0.7060946810365584,0.8002544091905099,0.8120674428242499,0.6488309661614774,0.7682659023953036,0.8154821415672189
Silver,0.5999029446954566,0.8442918142151303,0.7619940459221589,0.6244760288136878,0.6501417043875464,0.629275344353895,0.6981038237352717,0.28139731207177016,0.6270027197515157,0.6448777768353093,0.7395247315366813,0.7366991038402352,0.7661964124354392,0.6309699080618127,0.61133781696135
Baltic_Dry_Index_volume,,,,,,,,,,,,,,,
Brent_Crude_volume,0.3234648796306884,0.12545362581923278,-0.26826809403570717,-0.1603320263593373,0.44811336764796766,-0.0058610674056076666,0.44128428249877955,0.4145742481402865,0.05365704935415475,-0.1669631628997136,-0.14558877042775414,-0.27876726598636953,-0.20109333585742334,-0.3231617536935999,-0.3835499288238399
