Variable,Score_Total,Completitud,Unicidad,Consistencia,Validez,Precisión,Clasificación
ET0_Global_Grain,99.96,29.97,20.0,20.0,15,14.99,Excelente
Precip_Deficit,99.81,30.0,19.89,20.0,15,14.92,Excelente
RH_Global_Grain,99.71,30.0,19.84,20.0,15,14.88,Excelente
Temp_Global_Grain,99.12,30.0,19.5,20.0,15,14.63,Excelente
GDD_Global_Grain,99.08,30.0,19.48,20.0,15,14.61,Excelente
SolarRad_Global_Grain,98.82,29.97,19.35,20.0,15,14.5,Excelente
SP500,97.91,28.99,19.67,20.0,15,14.26,Excelente
Crude_Oil_volume,96.9,28.22,19.75,20.0,15,13.93,Excelente
Natural_Gas_volume,96.59,28.21,19.57,20.0,15,13.81,Excelente
Energy_Index,96.21,28.99,18.68,20.0,15,13.54,Excelente
Sugar_volume,95.84,28.73,18.69,20.0,15,13.42,Excelente
Materials_Index,95.81,28.99,18.45,20.0,15,13.37,Excelente
Heating_Oil_volume,95.59,28.19,19.0,20.0,15,13.39,Excelente
RBOB_Gasoline_volume,95.05,28.02,18.83,20.0,15,13.19,Excelente
WindSpeed_Global_Grain,94.12,30.0,16.64,20.0,15,12.48,Excelente
Precip_Global_Grain,93.47,30.0,16.27,20.0,15,12.21,Excelente
Heating_Oil,93.4,28.19,17.72,20.0,15,12.49,Excelente
Corn_volume,93.02,28.24,17.46,20.0,15,12.33,Excelente
RBOB_Gasoline,93.01,28.02,17.63,20.0,15,12.35,Excelente
Silver,92.25,28.19,17.05,20.0,15,12.02,Excelente
Soybeans_volume,90.89,28.2,16.24,20.0,15,11.45,Excelente
Palladium,90.53,26.95,17.08,20.0,15,11.51,Excelente
Gold,90.51,28.18,16.03,20.0,15,11.3,Excelente
USD_ARS,89.8,25.77,17.65,20.0,15,11.38,Buena
Wheat_volume,89.3,28.29,15.23,20.0,15,10.77,Buena
TIPS,89.25,24.59,18.36,20.0,15,11.29,Buena
Live_Cattle_volume,89.24,27.59,15.77,20.0,15,10.88,Buena
Lean_Hogs_volume,88.89,27.89,15.31,20.0,15,10.68,Buena
USD_RUB,88.8,24.89,17.82,20.0,15,11.09,Buena
USD_UAH,88.78,25.44,17.32,20.0,15,11.02,Buena
Soybean_Meal_volume,88.46,28.25,14.77,20.0,15,10.44,Buena
Soybean_Oil_volume,88.34,28.42,14.57,20.0,15,10.35,Buena
Crude_Oil,87.38,28.22,14.16,20.0,15,9.99,Buena
EUR_USD,87.33,25.38,16.49,20.0,15,10.47,Buena
USD_BRL,86.43,23.51,17.58,20.0,15,10.34,Buena
Coffee_volume,85.75,28.89,12.69,20.0,15,9.17,Buena
Cotton,85.57,28.9,12.58,20.0,15,9.09,Buena
Platinum,85.41,25.88,14.89,20.0,15,9.64,Buena
Cocoa_volume,85.27,28.9,12.4,20.0,15,8.96,Buena
Copper,85.24,28.2,12.92,20.0,15,9.11,Buena
Cotton_volume,85.18,28.9,12.35,20.0,15,8.93,Buena
Wheat_Kansas_volume,85.04,28.19,12.82,20.0,15,9.03,Buena
USD_CNY,84.08,27.17,13.04,20.0,15,8.86,Buena
Natural_Gas,84.04,28.21,12.21,20.0,15,8.62,Buena
Feeder_Cattle,82.52,27.46,11.9,20.0,15,8.17,Buena
Soybean_Oil,82.06,28.42,10.9,20.0,15,7.75,Buena
Treasury_10Y,81.89,28.96,10.4,20.0,15,7.53,Buena
Brent_Crude_volume,81.46,20.28,17.37,20.0,15,8.81,Buena
DXY,81.25,29.12,9.91,20.0,15,7.22,Buena
Baltic_Dry_Index,80.74,28.77,9.87,20.0,15,7.1,Buena
Coffee,80.68,28.89,9.75,20.0,15,7.04,Buena
Feeder_Cattle_volume,80.52,27.46,10.71,20.0,15,7.35,Buena
Live_Cattle,80.4,27.59,10.54,20.0,15,7.27,Buena
Soybeans,80.36,28.2,10.06,20.0,15,7.1,Buena
Cocoa,78.25,28.9,8.33,20.0,15,6.02,Buena
Brent_Crude,78.14,20.28,15.17,20.0,15,7.69,Buena
Soybean_Meal,77.5,28.25,8.35,20.0,15,5.9,Buena
Lumber,76.77,25.51,9.93,20.0,15,6.33,Buena
VIX,76.42,28.99,7.21,20.0,15,5.23,Buena
Wheat_Kansas,76.19,28.19,7.62,20.0,15,5.38,Buena
Lean_Hogs,76.17,27.89,7.82,20.0,15,5.46,Buena
Wheat,76.01,28.29,7.45,20.0,15,5.27,Buena
Sugar,74.99,28.73,6.55,20.0,15,4.71,Aceptable
Corn,73.81,28.24,6.2,20.0,15,4.38,Aceptable
Treasury_2Y,73.41,28.96,5.48,20.0,15,3.97,Aceptable
Gold_volume,71.84,28.18,5.08,20.0,15,3.58,Aceptable
Copper_volume,71.68,28.2,4.97,20.0,15,3.51,Aceptable
Oat,71.59,28.25,4.88,20.0,15,3.45,Aceptable
Oat_volume,69.95,28.25,3.93,20.0,15,2.77,Aceptable
Silver_volume,68.62,28.19,3.18,20.0,15,2.24,Aceptable
Lumber_volume,67.16,25.51,4.06,20.0,15,2.59,Aceptable
Platinum_volume,67.07,25.88,3.76,20.0,15,2.43,Aceptable
Palladium_volume,66.47,26.95,2.7,20.0,15,1.82,Aceptable
Ethanol,66.04,22.35,5.58,20.0,15,3.12,Aceptable
ONI,65.97,30.0,0.56,20.0,15,0.42,Aceptable
Heat_Stress_Days,65.01,30.0,0.0,20.0,15,0.0,Aceptable
psd_china_Crush,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_brazil_Exports,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_china_Imports,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_argentina_Stock_to_Use_Ratio,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_argentina_Exports,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_argentina_Production,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_united_states_Exports,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_united_states_Ending_Stocks,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_united_states_Production,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_world_Imports,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_brazil_Ending_Stocks,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_brazil_Production,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_world_Stock_to_Use_Ratio,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_world_Exports,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_world_Ending_Stocks,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_world_Production,64.37,29.23,0.08,20.0,15,0.06,Aceptable
psd_brazil_Stock_to_Use_Ratio,64.36,29.23,0.07,20.0,15,0.06,Aceptable
psd_china_Ending_Stocks,64.34,29.23,0.06,20.0,15,0.04,Aceptable
psd_united_states_Stock_to_Use_Ratio,64.33,29.23,0.05,20.0,15,0.04,Aceptable
psd_china_Stock_to_Use_Ratio,64.31,29.23,0.05,20.0,15,0.04,Aceptable
Baltic_Dry_Index_volume,63.78,28.77,0.0,20.0,15,0.0,Aceptable
Ethanol_volume,60.82,22.35,2.22,20.0,15,1.24,Aceptable
