Commodity,Config,Model_Type,C,l1_ratio,Features_Total,Features_NonZero,Sparsity_%,CV_AUC,Test_AUC,F1_th05,Best_Threshold,F1_optimal,Overfit_Gap
Corn,LASSO_puro,LASSO (L1 puro),0.1,1.0,108,83,23.148148148148152,0.5748313482188223,0.6416207942068235,0.6207650273224044,0.6600000000000004,0.6378132118451025,0.25240662133591896
Corn,ElasticNet,LASSO (L1 puro),0.1,1.0,108,83,23.148148148148152,0.5748313482188223,0.6416207942068235,0.6207650273224044,0.6600000000000004,0.6378132118451025,0.25240662133591896
Corn,LASSO_poly,"Elastic Net (L1=70%, L2=30%)",0.01,0.7,465,44,90.53763440860216,0.5329378825384268,0.6906258279120425,0.5777777777777777,0.4000000000000001,0.6394984326018809,0.21746255841665396
Corn,ElasticNet_poly,"Elastic Net (L1=70%, L2=30%)",0.01,0.7,465,44,90.53763440860216,0.5329378825384268,0.6906258279120425,0.5777777777777777,0.4000000000000001,0.6394984326018809,0.21746255841665396
Soybeans,LASSO_puro,LASSO (L1 puro),0.5,1.0,106,99,6.6037735849056585,0.5513464830405953,0.5823643194583938,0.6005888125613347,0.49000000000000016,0.6019607843137255,0.3024691404365464
Soybeans,ElasticNet,LASSO (L1 puro),0.5,1.0,106,99,6.6037735849056585,0.5513464830405953,0.5823643194583938,0.6005888125613347,0.49000000000000016,0.6019607843137255,0.3024691404365464
Soybeans,LASSO_poly,"Elastic Net (L1=85%, L2=15%)",0.5,0.85,465,307,33.97849462365592,0.5357932104937351,0.5539634713387643,0.6030368763557483,0.34,0.6104589114194237,0.36435348972822057
Soybeans,ElasticNet_poly,"Elastic Net (L1=85%, L2=15%)",0.5,0.85,465,307,33.97849462365592,0.5357932104937351,0.5539634713387643,0.6030368763557483,0.34,0.6104589114194237,0.36435348972822057
Wheat,LASSO_puro,"Elastic Net (L1=70%, L2=30%)",0.1,0.7,108,90,16.666666666666664,0.5052138694935435,0.5715335638166233,0.5985552115583075,0.5100000000000002,0.5989637305699482,0.29073065600360737
Wheat,ElasticNet,"Elastic Net (L1=70%, L2=30%)",0.1,0.7,108,90,16.666666666666664,0.5052138694935435,0.5715335638166233,0.5985552115583075,0.5100000000000002,0.5989637305699482,0.29073065600360737
Wheat,LASSO_poly,"Elastic Net (L1=50%, L2=50%)",0.001,0.5,465,0,100.0,0.5,0.5,0.5760765550239234,0.3,0.5760765550239234,0.0
Wheat,ElasticNet_poly,"Elastic Net (L1=50%, L2=50%)",0.001,0.5,465,0,100.0,0.5,0.5,0.5760765550239234,0.3,0.5760765550239234,0.0
