train_end_date,test_start_date,test_end_date,train_size,test_size,accuracy,auc
2015-07-13,2015-07-14,2015-09-09,4038,42,0.38095238095238093,0.6666666666666666
2015-09-09,2015-09-10,2015-11-06,4080,42,0.42857142857142855,0.48512585812356984
2015-11-06,2015-11-09,2016-01-05,4122,42,0.47619047619047616,0.41189931350114417
2016-01-05,2016-01-06,2016-03-03,4164,42,0.6190476190476191,0.6967592592592593
2016-03-03,2016-03-04,2016-05-02,4206,42,0.7142857142857143,0.7555555555555556
2016-05-02,2016-05-03,2016-06-29,4248,42,0.23809523809523808,0.19951923076923078
2016-06-29,2016-06-30,2016-08-26,4290,42,0.35714285714285715,0.6887755102040817
2016-08-26,2016-08-29,2016-10-25,4332,42,0.3333333333333333,0.5739795918367346
2016-10-25,2016-10-26,2016-12-22,4374,42,0.3333333333333333,0.1927437641723356
2016-12-22,2016-12-23,2017-02-20,4416,42,0.5476190476190477,0.3653846153846154
2017-02-20,2017-02-21,2017-04-19,4458,42,0.4523809523809524,0.4454545454545455
2017-04-19,2017-04-20,2017-06-16,4500,42,0.38095238095238093,0.33333333333333337
2017-06-16,2017-06-19,2017-08-15,4542,42,0.35714285714285715,0.7358024691358025
2017-08-15,2017-08-16,2017-10-12,4584,42,0.5238095238095238,0.6636363636363637
2017-10-12,2017-10-13,2017-12-11,4626,42,0.5952380952380952,0.5745192307692308
2017-12-11,2017-12-12,2018-02-07,4668,42,0.6190476190476191,0.4638888888888889
2018-02-07,2018-02-08,2018-04-06,4710,42,0.5,0.2716346153846154
2018-04-06,2018-04-09,2018-06-05,4752,42,0.4523809523809524,0.5022727272727273
2018-06-05,2018-06-06,2018-08-02,4794,42,0.5476190476190477,0.41363636363636364
2018-08-02,2018-08-03,2018-10-01,4836,42,0.5,0.5159090909090909
2018-10-01,2018-10-02,2018-11-28,4878,42,0.5476190476190477,0.6342592592592593
2018-11-28,2018-11-29,2019-01-25,4920,42,0.47619047619047616,0.3977272727272727
2019-01-25,2019-01-28,2019-03-26,4962,42,0.6904761904761905,0.49876543209876545
2019-03-26,2019-03-27,2019-05-23,5004,42,0.5714285714285714,0.5759637188208617
2019-05-23,2019-05-24,2019-07-22,5046,42,0.5714285714285714,0.7142857142857143
2019-07-22,2019-07-23,2019-09-18,5088,42,0.4523809523809524,0.7552941176470587
2019-09-18,2019-09-19,2019-11-15,5130,42,0.7142857142857143,0.5506172839506173
2019-11-15,2019-11-18,2020-01-14,5172,42,0.5476190476190477,0.5931818181818183
2020-01-14,2020-01-15,2020-03-12,5214,42,0.30952380952380953,0.47214854111405835
2020-03-12,2020-03-13,2020-05-11,5256,42,0.7857142857142857,0.6611764705882354
2020-05-11,2020-05-12,2020-07-08,5298,42,0.5238095238095238,0.43249427917620137
2020-07-08,2020-07-09,2020-09-04,5340,42,0.47619047619047616,0.38888888888888895
2020-09-04,2020-09-07,2020-11-03,5382,42,0.7380952380952381,0.3724340175953079
2020-11-03,2020-11-04,2020-12-31,5424,42,0.6428571428571429,0.4668435013262599
2020-12-31,2021-01-01,2021-03-01,5466,42,0.40476190476190477,0.7083333333333333
2021-03-01,2021-03-02,2021-04-28,5508,42,0.6666666666666666,0.5739795918367346
2021-04-28,2021-04-29,2021-06-25,5550,42,0.4523809523809524,0.43249427917620137
2021-06-25,2021-06-28,2021-08-24,5592,42,0.5714285714285714,0.6274038461538461
