train_end_date,test_start_date,test_end_date,train_size,test_size,accuracy,auc
2015-07-13,2015-07-14,2015-09-09,4038,42,0.6190476190476191,0.5637755102040817
2015-09-09,2015-09-10,2015-11-06,4080,42,0.2857142857142857,0.4047058823529412
2015-11-06,2015-11-09,2016-01-05,4122,42,0.5476190476190477,0.45833333333333337
2016-01-05,2016-01-06,2016-03-03,4164,42,0.38095238095238093,0.43478260869565216
2016-03-03,2016-03-04,2016-05-02,4206,42,0.40476190476190477,0.28308823529411764
2016-05-02,2016-05-03,2016-06-29,4248,42,0.6666666666666666,0.3481481481481481
2016-06-29,2016-06-30,2016-08-26,4290,42,0.5952380952380952,0.6610576923076923
2016-08-26,2016-08-29,2016-10-25,4332,42,0.5,0.3694117647058824
2016-10-25,2016-10-26,2016-12-22,4374,42,0.5476190476190477,0.625
2016-12-22,2016-12-23,2017-02-20,4416,42,0.42857142857142855,0.4863636363636364
2017-02-20,2017-02-21,2017-04-19,4458,42,0.5952380952380952,0.7597254004576659
2017-04-19,2017-04-20,2017-06-16,4500,42,0.5238095238095238,0.5388235294117647
2017-06-16,2017-06-19,2017-08-15,4542,42,0.6666666666666666,0.76
2017-08-15,2017-08-16,2017-10-12,4584,42,0.40476190476190477,0.6479591836734694
2017-10-12,2017-10-13,2017-12-11,4626,42,0.5714285714285714,0.5909090909090909
2017-12-11,2017-12-12,2018-02-07,4668,42,0.4523809523809524,0.44470588235294123
2018-02-07,2018-02-08,2018-04-06,4710,42,0.6428571428571429,0.7403846153846154
2018-04-06,2018-04-09,2018-06-05,4752,42,0.38095238095238093,0.30612244897959184
2018-06-05,2018-06-06,2018-08-02,4794,42,0.23809523809523808,0.14772727272727273
2018-08-02,2018-08-03,2018-10-01,4836,42,0.5238095238095238,0.6136363636363636
2018-10-01,2018-10-02,2018-11-28,4878,42,0.5,0.5895691609977324
2018-11-28,2018-11-29,2019-01-25,4920,42,0.47619047619047616,0.7414187643020596
2019-01-25,2019-01-28,2019-03-26,4962,42,0.38095238095238093,0.48806366047745364
2019-03-26,2019-03-27,2019-05-23,5004,42,0.47619047619047616,0.5480769230769231
2019-05-23,2019-05-24,2019-07-22,5046,42,0.5,0.5555555555555555
2019-07-22,2019-07-23,2019-09-18,5088,42,0.5714285714285714,0.5194508009153318
2019-09-18,2019-09-19,2019-11-15,5130,42,0.5714285714285714,0.5764705882352942
2019-11-15,2019-11-18,2020-01-14,5172,42,0.6190476190476191,0.9016018306636155
2020-01-14,2020-01-15,2020-03-12,5214,42,0.5,0.7806122448979592
2020-03-12,2020-03-13,2020-05-11,5256,42,0.40476190476190477,0.3796296296296296
2020-05-11,2020-05-12,2020-07-08,5298,42,0.7619047619047619,0.8143236074270557
2020-07-08,2020-07-09,2020-09-04,5340,42,0.7619047619047619,0.8163265306122449
2020-09-04,2020-09-07,2020-11-03,5382,42,0.7380952380952381,0.563049853372434
2020-11-03,2020-11-04,2020-12-31,5424,42,0.42857142857142855,0.6480938416422286
2020-12-31,2021-01-01,2021-03-01,5466,42,0.4523809523809524,0.5555555555555556
2021-03-01,2021-03-02,2021-04-28,5508,42,0.35714285714285715,0.3111111111111111
2021-04-28,2021-04-29,2021-06-25,5550,42,0.42857142857142855,0.5648148148148148
2021-06-25,2021-06-28,2021-08-24,5592,42,0.42857142857142855,0.4513888888888889
2021-08-24,2021-08-25,2021-10-21,5634,42,0.38095238095238093,0.25240384615384615
2021-10-21,2021-10-22,2021-12-20,5676,42,0.6428571428571429,0.47901234567901235
2021-12-20,2021-12-21,2022-02-16,5718,42,0.5476190476190477,0.5138888888888888
2022-02-16,2022-02-17,2022-04-15,5760,42,0.6190476190476191,0.671604938271605
2022-04-15,2022-04-18,2022-06-14,5802,42,0.5,0.25925925925925924
2022-06-14,2022-06-15,2022-08-11,5844,42,0.4523809523809524,0.3832199546485261
2022-08-11,2022-08-12,2022-10-10,5886,42,0.6666666666666666,0.6592592592592592
2022-10-10,2022-10-11,2022-12-07,5928,42,0.3333333333333333,0.2857142857142857
2022-12-07,2022-12-08,2023-02-03,5970,42,0.4523809523809524,0.44772727272727275
2023-02-03,2023-02-06,2023-04-04,6012,42,0.5238095238095238,0.6977272727272728
2023-04-04,2023-04-05,2023-06-01,6054,42,0.6428571428571429,0.5670588235294118
2023-06-01,2023-06-02,2023-07-31,6096,42,0.4523809523809524,0.38657407407407407
2023-07-31,2023-08-01,2023-09-27,6138,42,0.6190476190476191,0.540625
2023-09-27,2023-09-28,2023-11-24,6180,42,0.4523809523809524,0.5148741418764302
2023-11-24,2023-11-27,2024-01-23,6222,42,0.6666666666666666,0.5234567901234568
2024-01-23,2024-01-24,2024-03-21,6264,42,0.5476190476190477,0.13729977116704806
2024-03-21,2024-03-22,2024-05-20,6306,42,0.5238095238095238,0.6477272727272727
2024-05-20,2024-05-21,2024-07-17,6348,42,0.30952380952380953,0.5570291777188329
2024-07-17,2024-07-18,2024-09-13,6390,42,0.5714285714285714,0.6157407407407408
2024-09-13,2024-09-16,2024-11-12,6432,42,0.5,0.5941043083900227
2024-11-12,2024-11-13,2025-01-10,6474,42,0.5,0.6681922196796338
2025-01-10,2025-01-13,2025-03-11,6516,42,0.5714285714285714,0.5324074074074074
2025-03-11,2025-03-12,2025-05-09,6558,42,0.42857142857142855,0.4722222222222222
2025-05-09,2025-05-12,2025-07-08,6600,42,0.5476190476190477,0.5152941176470588
2025-07-08,2025-07-09,2025-09-04,6642,42,0.5476190476190477,0.5522727272727272
2025-09-04,2025-09-05,2025-11-03,6684,42,0.5238095238095238,0.8443877551020408
