feature,importance
Treasury_2Y_bb_lower90,0.03938958
Treasury_10Y_bb_lower90,0.039013825
Oat_bb_lower90,0.034794725
Corn_price_to_ma90,0.028059429
Corn_std7,0.027661918
Platinum_bb_upper90,0.027492648
Sugar_bb_lower90,0.027408112
Corn_volume_bb_upper7,0.025709705
Cocoa_std90,0.025522016
Coffee_bb_lower90,0.024899324
Soybean_Oil_bb_upper90,0.024107313
Crude_Oil_volume_bb_lower30,0.023709098
Oat_std90,0.023210684
tone_volatility_30d,0.022642687
Corn_volume_bb_lower90,0.022390397
Oat_volume_bb_lower90,0.021975728
Coffee_volume_bb_lower7,0.021920368
Soybean_Meal_bb_upper90,0.021614924
Lumber_std90,0.020159118
Lumber_bb_lower90,0.020036481
Corn_bb_lower90,0.01997444
tone_ma30,0.019587789
Cocoa_volume_bb_upper90,0.01930179
SolarRad_Global_Grain_bb_upper7,0.019291503
Soybean_Meal_volume_bb_lower90,0.01916031
RBOB_Gasoline_bb_upper90,0.01884904
Energy_Index_std30,0.018780977
Copper_bb_lower90,0.018475821
Gold_bb_lower90,0.018288255
Corn_bb_upper90,0.017871993
Lumber_vol_ratio_30_90,0.017836189
RBOB_Gasoline_std30,0.01714998
Natural_Gas_volume_vol_ratio_30_90,0.01714122
Wheat_vol_ratio_30_90,0.01679233
Energy_Index_std90,0.016783806
Corn_std30,0.0150771905
Wheat_volume_bb_upper7,0.014717545
Soybeans_volume_bb_lower90,0.014616134
RH_Global_Grain_bb_upper7,0.014586949
Cotton_vol_ratio_7_30,0.014247716
Coffee_volume_bb_lower90,0.01410155
Cotton_volume_bb_upper90,0.013207091
Corn_volume_ma30,0.013117004
WindSpeed_Global_Grain_vol_ratio_30_90,0.011558664
Copper_volume_bb_lower30,0.011167178
Copper_volume_vol_ratio_30_90,0.010906918
Soybean_Oil_volume_vol_ratio_30_90,0.010302727
Soybean_Oil_volume_std7,0.009889157
Corn_volume_bb_lower30,0.009536943
Treasury_2Y_vol_ratio_30_90,0.008782974
USD_ARS_bb_lower90,0.008627651
Soybean_Meal_vol_ratio_30_90,0.0055248276
Wheat_volume_bb_lower90,0.0018771626
Copper_volume_bb_lower90,0.0011511584
GDD_Global_Grain_bb_upper7,0.0
Corn_volume_vol_ratio_30_90,0.0
Crude_Oil_std30,0.0
Heating_Oil_std90,0.0
Cotton_bb_lower30,0.0
RH_Global_Grain_bb_lower90,0.0
Wheat_Kansas_bb_lower90,0.0
article_count,0.0
Oat_volume_bb_upper90,0.0
Coffee_volume_bb_upper90,0.0
Cocoa_volume_bb_lower90,0.0
tone_std,0.0
Natural_Gas_bb_lower30,0.0
Wheat_Kansas_std90,0.0
Sugar_volume_bb_upper90,0.0
Crude_Oil_volume_bb_upper90,0.0
Lumber_std30,0.0
tone_volatility_7d,0.0
Soybeans_volume_bb_upper30,0.0
WindSpeed_Global_Grain_bb_upper90,0.0
Wheat_volume_bb_upper90,0.0
Corn_volume_ma7,0.0
Corn_volume_bb_upper30,0.0
Silver_bb_lower90,0.0
tone_percentile_30d,0.0
Natural_Gas_volume_bb_lower7,0.0
Precip_Global_Grain_bb_upper7,0.0
Heating_Oil_volume_bb_upper7,0.0
Heating_Oil_volume_std7,0.0
Sugar_volume_bb_upper7,0.0
tone_momentum_7d,0.0
Crude_Oil_std90,0.0
Silver_std90,0.0
Live_Cattle_std30,0.0
Silver_std7,0.0
tone_mean,0.0
Wheat_std30,0.0
Soybean_Oil_volume_bb_lower30,0.0
Heating_Oil_volume_bb_lower90,0.0
Soybean_Meal_volume_vol_ratio_30_90,0.0
Oat_volume_bb_upper30,0.0
Precip_Global_Grain_bb_lower90,0.0
Crude_Oil_volume_bb_lower90,0.0
Copper_std7,0.0
Treasury_10Y_std30,0.0
WindSpeed_Global_Grain_simple_return90,0.0
Sugar_vol_ratio_7_30,0.0
DXY_bb_lower90,0.0
Soybean_Oil_volume_bb_upper90,0.0
Temp_Global_Grain_simple_return30,0.0
Wheat_std7,0.0
SolarRad_Global_Grain_price_to_ma7,0.0
Wheat_Kansas_vol_ratio_7_30,0.0
SolarRad_Global_Grain_vol_ratio_30_90,0.0
Soybean_Meal_std90,0.0
article_count_change,0.0
