feature,importance
Cocoa_bb_upper90,0.041581143
Treasury_10Y_bb_lower90,0.039674297
Soybean_Meal_bb_upper90,0.035308428
WindSpeed_Global_Grain_bb_upper90,0.03459593
Cocoa_bb_lower90,0.03426223
ET0_Global_Grain_bb_lower30,0.031173078
Lumber_volume_bb_upper90,0.030613434
Precip_Global_Grain_bb_upper90,0.030270671
Wheat_volume_bb_lower90,0.028560346
Natural_Gas_volume_bb_upper90,0.028185822
Heating_Oil_volume_bb_lower90,0.027385876
Treasury_2Y_bb_lower90,0.025534512
Oat_bb_lower90,0.025371147
Soybeans_volume_bb_upper30,0.025111843
Natural_Gas_bb_lower30,0.024953729
Platinum_bb_upper90,0.024899121
Copper_bb_upper90,0.02470515
Precip_Global_Grain_bb_upper30,0.023503348
Soybean_Meal_volume_bb_upper7,0.022279432
Corn_volume_bb_upper7,0.0221178
Soybeans_bb_upper90,0.021929039
Soybean_Oil_volume_bb_lower30,0.02192025
Soybean_Meal_volume_vol_ratio_30_90,0.021194356
Oat_bb_upper90,0.021162027
Live_Cattle_bb_lower90,0.020308651
Soybean_Meal_bb_lower90,0.019615099
Oat_volume_bb_upper30,0.019155648
RBOB_Gasoline_bb_lower30,0.018858943
Treasury_2Y_std90,0.017763887
Soybean_Oil_bb_lower90,0.01767295
USD_ARS_bb_lower90,0.017672759
Palladium_std90,0.017060906
Corn_volume_std30,0.01504478
Copper_volume_vol_ratio_30_90,0.014034675
Soybeans_volume_bb_lower30,0.013686886
Corn_volume_vol_ratio_30_90,0.013331327
Wheat_volume_vol_ratio_30_90,0.012857967
Soybean_Oil_volume_bb_upper30,0.012238594
Sugar_bb_lower90,0.012120143
Lumber_bb_upper90,0.009748832
Palladium_bb_lower90,0.009713238
Lumber_bb_upper30,0.009524716
Natural_Gas_std30,0.008268826
Natural_Gas_bb_lower90,0.008003157
ET0_Global_Grain_bb_lower90,0.0078700725
tone_std,0.0069722
tone_volatility_30d,0.0069047026
Wheat_Kansas_bb_lower90,0.0068951347
Heating_Oil_volume_bb_upper90,0.006686939
Silver_std90,0.0059019346
Heating_Oil_volume_bb_lower30,0.005794025
RBOB_Gasoline_bb_lower90,0.0
Energy_Index_bb_lower90,0.0
Corn_volume_ma30,0.0
Soybeans_volume_bb_upper90,0.0
Soybeans_bb_lower90,0.0
Cocoa_volume_bb_upper90,0.0
USD_CNY_bb_lower90,0.0
Copper_std30,0.0
Wheat_Kansas_bb_upper90,0.0
Corn_bb_upper90,0.0
Soybean_Meal_volume_bb_lower90,0.0
Soybeans_volume_ma7,0.0
Corn_bb_lower90,0.0
Wheat_volume_bb_upper90,0.0
Copper_volume_bb_lower90,0.0
Sugar_bb_upper90,0.0
Precip_Global_Grain_bb_upper7,0.0
Wheat_volume_bb_lower30,0.0
article_count,0.0
Gold_std7,0.0
Natural_Gas_volume_bb_lower30,0.0
Baltic_Dry_Index_bb_upper90,0.0
Natural_Gas_volume_bb_upper7,0.0
Natural_Gas_volume_bb_lower7,0.0
VIX_std30,0.0
Cotton_volume_bb_upper90,0.0
Cotton_bb_lower30,0.0
Gold_std90,0.0
Gold_vol_ratio_7_30,0.0
tone_volatility_7d,0.0
RBOB_Gasoline_volume_bb_lower90,0.0
Soybeans_volume_bb_upper7,0.0
Sugar_volume_bb_upper90,0.0
Crude_Oil_volume_bb_upper90,0.0
Cotton_bb_lower90,0.0
Heating_Oil_volume_bb_upper7,0.0
tone_mean,0.0
Crude_Oil_volume_bb_lower30,0.0
tone_ma30,0.0
RBOB_Gasoline_volume_bb_upper7,0.0
Cotton_volume_std90,0.0
Crude_Oil_volume_bb_lower90,0.0
Natural_Gas_std90,0.0
article_count_change,0.0
Silver_std7,0.0
Crude_Oil_std30,0.0
tone_percentile_30d,0.0
Sugar_volume_bb_upper30,0.0
Cotton_volume_bb_upper30,0.0
Wheat_volume_vol_ratio_7_30,0.0
Coffee_volume_bb_lower90,0.0
tone_momentum_7d,0.0
Wheat_vol_ratio_30_90,0.0
Silver_vol_ratio_30_90,0.0
RBOB_Gasoline_bb_upper90,0.0
