feature,importance
Soybean_Meal_bb_lower90,0.035960827
Treasury_2Y_bb_lower90,0.03513683
Corn_bb_lower90,0.029217174
Treasury_10Y_bb_lower90,0.02837653
Oat_bb_lower90,0.02628221
Lumber_volume_bb_upper90,0.024919542
Soybean_Meal_std30,0.022989549
Silver_bb_lower90,0.022587692
ET0_Global_Grain_bb_upper90,0.022513838
RBOB_Gasoline_bb_upper90,0.022183511
Soybean_Oil_bb_upper90,0.022063905
GDD_Global_Grain_bb_upper7,0.022047453
ONI_bb_lower30,0.02202188
Heating_Oil_volume_bb_upper90,0.0214193
Wheat_volume_bb_upper90,0.020901775
Corn_vol_ratio_30_90,0.02081028
Wheat_Kansas_bb_upper90,0.0205587
Cotton_volume_std90,0.02028766
Wheat_std30,0.020228142
Copper_volume_bb_lower90,0.019944673
VIX_bb_upper90,0.01987547
WindSpeed_Global_Grain_vol_ratio_30_90,0.019808885
Natural_Gas_bb_lower90,0.019773206
Soybean_Meal_bb_upper90,0.01965262
Soybean_Meal_volume_bb_lower90,0.019082688
tone_mean,0.018566258
Wheat_Kansas_bb_lower90,0.018404696
Heating_Oil_volume_bb_lower30,0.018346313
Precip_Deficit_lag90,0.018093241
Soybean_Oil_std30,0.01791325
Precip_Global_Grain_bb_upper90,0.017910073
Soybeans_volume_bb_upper30,0.017487092
Gold_bb_lower90,0.01729425
WindSpeed_Global_Grain_bb_upper90,0.017288826
Soybean_Oil_vol_ratio_30_90,0.01702949
Sugar_bb_upper90,0.016954985
USD_ARS_bb_lower90,0.016795535
Energy_Index_bb_upper90,0.016587714
Soybean_Oil_volume_ma30,0.015200864
SolarRad_Global_Grain_bb_lower90,0.015186524
Sugar_bb_lower90,0.015046268
Copper_bb_lower90,0.013660437
SP500_std90,0.013496538
Cotton_volume_vol_ratio_30_90,0.012749345
Corn_volume_bb_lower90,0.012511053
Soybeans_volume_bb_lower90,0.012070196
Wheat_volume_bb_lower7,0.012069099
Cotton_volume_bb_upper30,0.01132067
RBOB_Gasoline_bb_lower30,0.010669628
Corn_volume_std30,0.008409955
USD_CNY_bb_lower90,0.008225068
Soybean_Oil_volume_bb_lower90,0.0081921
Treasury_10Y_std30,0.0060265367
Cotton_bb_lower90,0.0055460795
Cotton_volume_bb_lower90,0.0053258594
Lumber_bb_upper30,0.0037075942
Lumber_bb_lower30,0.0032701576
Cocoa_volume_bb_lower90,0.0
Sugar_volume_bb_upper30,0.0
VIX_ma90,0.0
Wheat_volume_vol_ratio_30_90,0.0
Corn_bb_upper90,0.0
tone_volatility_7d,0.0
Cotton_bb_upper90,0.0
Cocoa_volume_ma30,0.0
Coffee_bb_lower90,0.0
Corn_volume_bb_upper7,0.0
Precip_Global_Grain_bb_upper30,0.0
Sugar_volume_bb_upper90,0.0
Natural_Gas_bb_upper90,0.0
Oat_volume_bb_upper30,0.0
Precip_Global_Grain_bb_upper7,0.0
Crude_Oil_volume_bb_lower7,0.0
Copper_volume_vol_ratio_30_90,0.0
Copper_volume_bb_lower30,0.0
Cocoa_bb_upper90,0.0
SolarRad_Global_Grain_bb_lower7,0.0
Corn_volume_vol_ratio_30_90,0.0
Soybean_Meal_volume_std7,0.0
Coffee_volume_vol_ratio_7_30,0.0
Sugar_volume_vol_ratio_30_90,0.0
RH_Global_Grain_simple_return7,0.0
Soybean_Meal_volume_bb_upper7,0.0
Corn_volume_bb_upper30,0.0
tone_ma30,0.0
Natural_Gas_volume_bb_upper90,0.0
Soybeans_volume_bb_lower30,0.0
article_count,0.0
Crude_Oil_volume_bb_lower90,0.0
Coffee_volume_bb_lower90,0.0
Corn_std30,0.0
Oat_volume_bb_lower90,0.0
Coffee_std90,0.0
tone_percentile_30d,0.0
Soybean_Oil_volume_bb_lower30,0.0
WindSpeed_Global_Grain_bb_lower30,0.0
tone_momentum_7d,0.0
Platinum_std90,0.0
Soybean_Meal_volume_vol_ratio_30_90,0.0
Treasury_2Y_std90,0.0
Lumber_vol_ratio_30_90,0.0
VIX_bb_upper7,0.0
ET0_Global_Grain_simple_return1,0.0
tone_std,0.0
article_count_change,0.0
Wheat_volume_vol_ratio_7_30,0.0
DXY_bb_lower90,0.0
tone_volatility_30d,0.0
