feature,importance
Corn_ma7,0.13775067421600576
Corn_ma90,0.10501554426059428
Soybean_Oil_bb_lower30,0.09817755981226658
Soybean_Oil_ma30,0.08940637907198144
Wheat_ma90,0.06381694766260985
Soybean_Oil_bb_upper30,0.059269966777087395
Wheat_bb_upper7,0.056526857034792904
Wheat_bb_upper30,0.04684330598331738
Soybeans_ma7,0.04351532990093247
Wheat_lag3,0.035433251321477684
Oat_ma90,0.03163490649386695
Copper_ma90,0.031031495589703386
Corn_volume_std90,0.02099678196243285
Wheat_Kansas_ma90,0.01971540719296323
Corn_volume_ma30,0.019078461603333586
Heating_Oil_volume_bb_upper90,0.018647479295324346
Copper_bb_upper30,0.016043232000812094
Copper_ma30,0.014038347244081708
Silver_lag7,0.013989152027117042
Heating_Oil_volume_std90,0.009244936169172819
Soybean_Meal_bb_lower90,0.00856407752112654
Copper_bb_upper90,0.007238685545295283
Oat_volume_bb_lower90,0.00648706437649918
Platinum_std90,0.00531172533767293
Soybean_Meal_volume_ma90,0.0037907000009828567
ONI_bb_lower30,0.0034805292344110865
Brent_Crude_volume_bb_lower90,0.0034189869612605457
Feeder_Cattle_volume_std90,0.0032991888577647904
Cocoa_ma90,0.002843767812271844
Wheat_price_to_ma90,0.0027863344219971275
Corn_price_to_ma30,0.002310170045991289
USD_BRL_std90,0.0022917267542047546
Temp_Global_Grain_bb_lower30,0.0021552135028961184
Coffee_volume_bb_lower30,0.001777976708821562
WindSpeed_Global_Grain_bb_upper30,0.0017438617160271696
Coffee_volume_ma90,0.001690555330436243
Soybeans_log_return90,0.0016455710363230938
Corn_price_to_ma7,0.0013884783367210441
Precip_Deficit_vol_ratio_30_90,0.001341812061768795
Soybean_Meal_vol_ratio_30_90,0.0013151142928941367
Cotton_volume_bb_lower7,0.001291314458275331
Corn_volume_log_return7,0.0012661044334343014
USD_BRL_price_to_ma90,0.0012477943720696114
Sugar_volume_bb_lower7,0.001137231260980614
