Variable 1,Variable 2,Correlación
Feeder_Cattle,Live_Cattle,0.9763142117640496
Brent_Crude,Crude_Oil,0.9747202943019057
Crude_Oil,RBOB_Gasoline,0.9592213045410561
Heating_Oil,RBOB_Gasoline,0.9579824579937709
Crude_Oil,Heating_Oil,0.9515971497696607
Brent_Crude,RBOB_Gasoline,0.9498782995022815
Brent_Crude,Heating_Oil,0.9297413756357658
Corn,Soybeans,0.9203116349320641
Gold,Silver,0.8834313528393616
Corn,Wheat,0.877021371563373
Soybeans,Wheat,0.8661261479267724
Copper,Silver,0.8635899274376682
Gold,Live_Cattle,0.8605661263766332
Gold,SP500,0.8465460950302008
Coffee,Silver,0.8413219351701586
Coffee,Gold,0.8386086746197087
Feeder_Cattle,Gold,0.833922781244582
Heating_Oil,Soybeans,0.8217545402253257
Live_Cattle,SP500,0.8171364398295244
Heating_Oil,Energy_Index,0.8164199583556034
Platinum,DXY,-0.8146675150171286
Corn,Heating_Oil,0.8123006925202088
RBOB_Gasoline,Soybeans,0.8121101519187862
Copper,Gold,0.8095390317422282
Feeder_Cattle,SP500,0.808952554509902
Oat,Wheat,0.8051385125202075
Heating_Oil,Wheat,0.8040996296953133
Corn,RBOB_Gasoline,0.7975102587416232
Copper,RBOB_Gasoline,0.7905209945695015
Copper,Heating_Oil,0.7903199584509581
Copper,Energy_Index,0.7901787679120588
Coffee,Copper,0.7871043902127255
RBOB_Gasoline,Energy_Index,0.7831626855158061
Oat,Soybeans,0.7802853405244145
Crude_Oil,Platinum,0.7788432779016189
Corn,Oat,0.77769055543807
Silver,Sugar,0.7737211075245051
Live_Cattle,Energy_Index,0.7718788284866955
Crude_Oil,Wheat,0.769975309243222
RBOB_Gasoline,Wheat,0.7682734203237073
Corn,Silver,0.7681114907023086
Crude_Oil,Soybeans,0.7660687106154981
Coffee,Live_Cattle,0.7638899577133117
Cocoa,Feeder_Cattle,0.7636479880782386
Cocoa,Gold,0.7602629764807113
Cocoa,Live_Cattle,0.7583873856713216
Copper,Oat,0.7550099851438568
Copper,Crude_Oil,0.7526865268974434
Copper,Soybeans,0.750961888557395
Lumber,SP500,0.7507227759116223
Crude_Oil,Energy_Index,0.7506566937358922
Cocoa,Coffee,0.743758197966987
Corn,Crude_Oil,0.7433036089597671
Silver,Soybeans,0.7417218212572436
Heating_Oil,Oat,0.7388604065414155
Lumber,Palladium,0.7386340308624361
Copper,Corn,0.7383037913992251
Copper,Wheat,0.7343969977456094
Coffee,Feeder_Cattle,0.7342063645567878
Feeder_Cattle,Energy_Index,0.729825051175187
Brent_Crude,Soybeans,0.7195837636472927
Copper,Sugar,0.7190764808412219
Platinum,RBOB_Gasoline,0.716746891524457
Lean_Hogs,RBOB_Gasoline,0.7163623963296907
Cocoa,SP500,0.7157199604830182
Corn,Cotton,0.7139076128158385
Brent_Crude,Corn,0.7093972978875032
Oat,RBOB_Gasoline,0.7062386161406168
