Variable_1,Variable_2,Correlacion,Abs_Correlacion
Feeder_Cattle,Live_Cattle,0.976621816065381,0.976621816065381
Wheat,Wheat_Kansas,0.9693054622906104,0.9693054622906104
Soybean_Meal,Soybeans,0.945240193131781,0.945240193131781
Corn,Soybeans,0.9202940907545553,0.9202940907545553
Soybean_Oil,Soybeans,0.9059081420495677,0.9059081420495677
Corn,Soybean_Oil,0.9007697125140923,0.9007697125140923
Corn,Wheat,0.8770068135361955,0.8770068135361955
Soybean_Oil,Wheat_Kansas,0.876656325006874,0.876656325006874
Corn,Wheat_Kansas,0.8758067337996638,0.8758067337996638
Soybean_Oil,Wheat,0.8711085163953954,0.8711085163953954
Soybeans,Wheat,0.8660621429676842,0.8660621429676842
Soybeans,Wheat_Kansas,0.8622310341525804,0.8622310341525804
Oat,Soybean_Oil,0.8300605028736903,0.8300605028736903
Corn,Soybean_Meal,0.8111717431065119,0.8111717431065119
Oat,Wheat,0.8051356896032384,0.8051356896032384
Oat,Soybeans,0.7802549505044887,0.7802549505044887
Corn,Oat,0.7776889282603207,0.7776889282603207
Oat,Wheat_Kansas,0.7772007299470828,0.7772007299470828
Coffee,Live_Cattle,0.76806842173591,0.76806842173591
Cocoa,Feeder_Cattle,0.7646516720259158,0.7646516720259158
Cocoa,Live_Cattle,0.7598225975624601,0.7598225975624601
Soybean_Meal,Soybean_Oil,0.7591074046161849,0.7591074046161849
Soybean_Meal,Wheat,0.7590692438509138,0.7590692438509138
Cocoa,Coffee,0.7447431113545312,0.7447431113545312
Soybean_Meal,Wheat_Kansas,0.7431920797950022,0.7431920797950022
Coffee,Feeder_Cattle,0.739754114456412,0.739754114456412
Corn,Cotton,0.7137988383314284,0.7137988383314284
Oat,Soybean_Meal,0.7017642918457453,0.7017642918457453
