fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
1,1500,60,2000-01-03,2005-10-19,2005-10-20,2006-01-11,37.750609673556895,21.47169275549634,0.10325094984444116,0.4
2,1560,60,2000-01-03,2006-01-11,2006-01-12,2006-04-05,32.26336024398795,17.38980388358436,-0.28967774966107274,0.31666666666666665
3,1620,60,2000-01-03,2006-04-05,2006-04-06,2006-06-28,28.506029080917877,14.792448263769142,-0.1352344079033041,0.5833333333333334
4,1680,60,2000-01-03,2006-06-28,2006-06-29,2006-09-20,23.21098376506922,13.092397830401369,-0.12900526447017469,0.6333333333333333
5,1740,60,2000-01-03,2006-09-20,2006-09-21,2006-12-13,46.94074614690558,44.19243942855973,-1.1636104822064404,0.25
6,1800,60,2000-01-03,2006-12-13,2006-12-14,2007-03-07,39.40599121400607,35.31981435421509,-3.9319646215036856,0.45
7,1860,60,2000-01-03,2007-03-07,2007-03-08,2007-05-30,18.32274955212258,13.16977879711954,-0.5257384816420065,0.5333333333333333
8,1920,60,2000-01-03,2007-05-30,2007-05-31,2007-08-22,24.013771743538637,19.204852850809864,0.263718105627331,0.5166666666666667
9,1980,60,2000-01-03,2007-08-22,2007-08-23,2007-11-14,34.4014919603226,28.309260478786896,-2.4829450696951123,0.35
10,2040,60,2000-01-03,2007-11-14,2007-11-15,2008-02-06,25.85202357133605,20.988858060701787,0.6890136945725972,0.6166666666666667
11,2100,60,2000-01-03,2008-02-06,2008-02-07,2008-04-30,35.83699124080605,23.751014471108547,0.3710468628433926,0.5833333333333334
12,2160,60,2000-01-03,2008-04-30,2008-05-01,2008-07-23,77.70768071048398,56.28852171148344,0.008679601254095948,0.5166666666666667
13,2220,60,2000-01-03,2008-07-23,2008-07-24,2008-10-15,64.63245122943607,52.04652319027689,0.04453984264714983,0.5666666666666667
14,2280,60,2000-01-03,2008-10-15,2008-10-16,2009-01-07,31.176427881668992,24.830470964338637,-0.11271294943840804,0.65
15,2340,60,2000-01-03,2009-01-07,2009-01-08,2009-04-01,17.81885545505714,14.81270977026033,-0.026124007127252602,0.6166666666666667
16,2400,60,2000-01-03,2009-04-01,2009-04-02,2009-06-24,31.40647442507659,27.911173280190543,-0.4361369184524273,0.4166666666666667
17,2460,60,2000-01-03,2009-06-24,2009-06-25,2009-09-16,35.912753532988205,32.98191049300533,-4.766410868040681,0.43333333333333335
18,2520,60,2000-01-03,2009-09-16,2009-09-17,2009-12-09,39.996835452099745,36.37611596867008,-3.774636488570847,0.4666666666666667
19,2580,60,2000-01-03,2009-12-09,2009-12-10,2010-03-03,22.648831202726246,19.244722875641166,-0.06288789787227622,0.4
20,2640,60,2000-01-03,2010-03-03,2010-03-04,2010-05-26,13.711895393968739,11.363462908607938,-1.2190010589185567,0.55
21,2700,60,2000-01-03,2010-05-26,2010-05-27,2010-08-18,42.299444157349825,36.60019204238426,-1.6705268514872378,0.3333333333333333
22,2760,60,2000-01-03,2010-08-18,2010-08-19,2010-11-10,61.1855666869929,54.26745238879914,-0.407217862515421,0.36666666666666664
23,2820,60,2000-01-03,2010-11-10,2010-11-11,2011-02-02,61.851033658034375,46.770450575226626,0.21720812639660203,0.26666666666666666
24,2880,60,2000-01-03,2011-02-02,2011-02-03,2011-04-27,82.36829535649426,62.3329252181321,-0.37778504148733605,0.5166666666666667
25,2940,60,2000-01-03,2011-04-27,2011-04-28,2011-07-20,71.04200565185087,47.90231301856567,-0.019881748984025505,0.5666666666666667
26,3000,60,2000-01-03,2011-07-20,2011-07-21,2011-10-12,59.705254939207066,43.81904974388928,0.04987235086080799,0.45
27,3060,60,2000-01-03,2011-10-12,2011-10-13,2012-01-04,59.46655461227973,40.01891332868433,0.016538187266004645,0.48333333333333334
28,3120,60,2000-01-03,2012-01-04,2012-01-05,2012-03-28,67.26707338308127,49.32832569282728,-0.2550522563889168,0.48333333333333334
29,3180,60,2000-01-03,2012-03-28,2012-03-29,2012-06-20,52.96608762678762,39.582602489185305,-0.5270152653316365,0.5333333333333333
30,3240,60,2000-01-03,2012-06-20,2012-06-21,2012-09-12,103.24745759270247,88.08633963738748,-0.7487443360670882,0.4666666666666667
31,3300,60,2000-01-03,2012-09-12,2012-09-13,2012-12-05,81.60047283936863,34.22064535153857,-0.02418014679312841,0.5833333333333334
32,3360,60,2000-01-03,2012-12-05,2012-12-06,2013-02-27,88.01331170518243,40.655343335987396,-0.08497945574324306,0.4666666666666667
33,3420,60,2000-01-03,2013-02-27,2013-02-28,2013-05-22,72.01700476596388,40.054284258072116,-0.27263299362132853,0.6166666666666667
34,3480,60,2000-01-03,2013-05-22,2013-05-23,2013-08-14,69.76928240269875,50.91807709242764,0.4450477002492562,0.4166666666666667
35,3540,60,2000-01-03,2013-08-14,2013-08-15,2013-11-06,26.213005315671708,21.232787219781553,-0.038093513023152115,0.31666666666666665
36,3600,60,2000-01-03,2013-11-06,2013-11-07,2014-01-29,15.58987464189547,9.572591079055048,-0.21991678922415292,0.6166666666666667
37,3660,60,2000-01-03,2014-01-29,2014-01-30,2014-04-23,22.4087757052726,15.803191034704943,0.37111341595624936,0.45
38,3720,60,2000-01-03,2014-04-23,2014-04-24,2014-07-16,29.110701606092277,22.014409357163892,0.5586329671783508,0.48333333333333334
39,3780,60,2000-01-03,2014-07-16,2014-07-17,2014-10-08,14.98491930082307,12.562269747975225,-0.11187021139497877,0.48333333333333334
40,3840,60,2000-01-03,2014-10-08,2014-10-09,2014-12-31,21.28667897936582,17.891101663830167,-0.45681572368191015,0.38333333333333336
41,3900,60,2000-01-03,2014-12-31,2015-01-01,2015-03-25,28.97493545559917,26.316338916459927,-18.68223794489692,0.43333333333333335
42,3960,60,2000-01-03,2015-03-25,2015-03-26,2015-06-17,17.126951845754917,13.845982240766515,-2.420969783925956,0.6166666666666667
43,4020,60,2000-01-03,2015-06-17,2015-06-18,2015-09-09,34.64284464348054,28.190498559873422,-1.0802992936022293,0.5166666666666667
44,4080,60,2000-01-03,2015-09-09,2015-09-10,2015-12-02,21.67100312078625,18.713988903496215,-3.6550714247974954,0.4
45,4140,60,2000-01-03,2015-12-02,2015-12-03,2016-02-24,12.24867877458685,10.318170105775293,-1.444399824413527,0.3333333333333333
46,4200,60,2000-01-03,2016-02-24,2016-02-25,2016-05-18,16.163955677747545,12.300801933232698,-0.25280354782331793,0.6333333333333333
47,4260,60,2000-01-03,2016-05-18,2016-05-19,2016-08-10,25.63051736123811,19.973037932305463,0.5765092006399847,0.5833333333333334
48,4320,60,2000-01-03,2016-08-10,2016-08-11,2016-11-02,17.440484749404582,14.627088410964555,-0.13573187613254745,0.5666666666666667
49,4380,60,2000-01-03,2016-11-02,2016-11-03,2017-01-25,11.293484091491331,9.655939856011116,-0.10726502874345623,0.5666666666666667
50,4440,60,2000-01-03,2017-01-25,2017-01-26,2017-04-19,15.338963585762242,13.063869795892064,-4.589770019272327,0.55
51,4500,60,2000-01-03,2017-04-19,2017-04-20,2017-07-12,13.228765377793477,10.20024931275697,-1.0383515834376769,0.5666666666666667
52,4560,60,2000-01-03,2017-07-12,2017-07-13,2017-10-04,20.15290031793441,17.14229481433149,-2.090662446526161,0.4
53,4620,60,2000-01-03,2017-10-04,2017-10-05,2017-12-27,10.321420842853037,6.6660537804697375,-0.3702163493172266,0.5
54,4680,60,2000-01-03,2017-12-27,2017-12-28,2018-03-21,12.027194184042534,9.60038047445835,-0.07021362905573758,0.6833333333333333
55,4740,60,2000-01-03,2018-03-21,2018-03-22,2018-06-13,14.199817448578017,11.047323776812243,-0.11161230464762806,0.5166666666666667
56,4800,60,2000-01-03,2018-06-13,2018-06-14,2018-09-05,17.305530915846706,15.546254311205798,-1.2850700539085977,0.3
57,4860,60,2000-01-03,2018-09-05,2018-09-06,2018-11-28,11.028645957678355,9.005715081977211,-1.237724895628595,0.5166666666666667
58,4920,60,2000-01-03,2018-11-28,2018-11-29,2019-02-20,7.942900269083773,6.363026692951272,-2.2610007670996444,0.65
59,4980,60,2000-01-03,2019-02-20,2019-02-21,2019-05-15,19.70282891999764,14.391460785071962,-1.3389595861204353,0.5333333333333333
60,5040,60,2000-01-03,2019-05-15,2019-05-16,2019-08-07,27.356122918627577,21.118390001559945,-0.39334768274879894,0.65
