fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
1,1500,60,2000-01-03,2005-10-19,2005-10-20,2006-01-11,100.6783423024997,48.91198577996388,-0.24754351643077888,0.5
2,1560,60,2000-01-03,2006-01-11,2006-01-12,2006-04-05,76.36018613072395,25.732442918597563,-0.062255194280813386,0.5333333333333333
3,1620,60,2000-01-03,2006-04-05,2006-04-06,2006-06-28,79.3113497908558,32.87178599200131,-0.20734251217495148,0.4666666666666667
4,1680,60,2000-01-03,2006-06-28,2006-06-29,2006-09-20,58.23576491746698,20.861763053382916,0.011156463797446614,0.4666666666666667
5,1740,60,2000-01-03,2006-09-20,2006-09-21,2006-12-13,47.145831057911685,43.25075106918027,-0.4480221668044959,0.2833333333333333
6,1800,60,2000-01-03,2006-12-13,2006-12-14,2007-03-07,110.68546454595366,75.76682225995673,-0.9344427969588196,0.25
7,1860,60,2000-01-03,2007-03-07,2007-03-08,2007-05-30,80.72526063525885,62.04183398855135,-1.3878165901695065,0.26666666666666666
8,1920,60,2000-01-03,2007-05-30,2007-05-31,2007-08-22,55.762482779671195,41.553958186821085,-2.1530189160698043,0.45
9,1980,60,2000-01-03,2007-08-22,2007-08-23,2007-11-14,64.86438435026753,58.62112440050011,-0.6360923850933773,0.3333333333333333
10,2040,60,2000-01-03,2007-11-14,2007-11-15,2008-02-06,100.90070321720553,92.72838075432941,-0.12490324870757363,0.18333333333333332
11,2100,60,2000-01-03,2008-02-06,2008-02-07,2008-04-30,106.89723134637735,80.20313822152144,-0.1002669205697897,0.6
12,2160,60,2000-01-03,2008-04-30,2008-05-01,2008-07-23,130.76976074698882,105.65280026559968,0.00790115154776505,0.4666666666666667
13,2220,60,2000-01-03,2008-07-23,2008-07-24,2008-10-15,113.8892077799086,97.1538709968282,0.49896096182839955,0.6666666666666666
14,2280,60,2000-01-03,2008-10-15,2008-10-16,2009-01-07,118.12828437429674,104.5741967688125,-3.0183999956263143,0.4666666666666667
15,2340,60,2000-01-03,2009-01-07,2009-01-08,2009-04-01,53.56279265482804,38.66100213101148,-0.12413084186954126,0.7166666666666667
16,2400,60,2000-01-03,2009-04-01,2009-04-02,2009-06-24,104.55730263472526,96.0185043378053,-0.7452479711654814,0.25
17,2460,60,2000-01-03,2009-06-24,2009-06-25,2009-09-16,115.45642405073198,104.69388904025524,-0.7744202531561537,0.48333333333333334
18,2520,60,2000-01-03,2009-09-16,2009-09-17,2009-12-09,57.00827686488804,49.01136776231847,-0.5022480597357375,0.55
19,2580,60,2000-01-03,2009-12-09,2009-12-10,2010-03-03,85.52601254412538,77.43319782693494,-3.9795080397693265,0.3333333333333333
20,2640,60,2000-01-03,2010-03-03,2010-03-04,2010-05-26,70.03225143571653,62.810000640879046,-11.436117368125812,0.43333333333333335
21,2700,60,2000-01-03,2010-05-26,2010-05-27,2010-08-18,47.59412742230537,40.76355252893209,-0.4784533900089336,0.5166666666666667
22,2760,60,2000-01-03,2010-08-18,2010-08-19,2010-11-10,54.860288733154796,45.339867344525175,0.6597832178048777,0.5
23,2820,60,2000-01-03,2010-11-10,2010-11-11,2011-02-02,104.61372254057656,88.36023180280148,-0.06271843214485018,0.31666666666666665
24,2880,60,2000-01-03,2011-02-02,2011-02-03,2011-04-27,86.90327116341675,55.65583456277759,-0.42009357535036007,0.5833333333333334
25,2940,60,2000-01-03,2011-04-27,2011-04-28,2011-07-20,84.77730775935362,60.369968987193424,-0.3873990602777926,0.4666666666666667
26,3000,60,2000-01-03,2011-07-20,2011-07-21,2011-10-12,87.89822328352462,65.46610102708544,0.09741507670552285,0.5333333333333333
27,3060,60,2000-01-03,2011-10-12,2011-10-13,2012-01-04,59.43462147519987,43.18882052178639,-0.18339086682598138,0.5
28,3120,60,2000-01-03,2012-01-04,2012-01-05,2012-03-28,74.89760181158319,44.686430096300235,0.39466085342875334,0.4
29,3180,60,2000-01-03,2012-03-28,2012-03-29,2012-06-20,82.8291668573063,61.495010086834604,-0.40273065438271494,0.43333333333333335
