fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
1,1500,60,2000-01-03,2005-10-19,2005-10-20,2006-01-11,46.98114735559543,25.025611844981054,-0.012976137785851272,0.3
2,1560,60,2000-01-03,2006-01-11,2006-01-12,2006-04-05,40.23495994774057,25.650392769083233,-0.6090675305211111,0.36666666666666664
3,1620,60,2000-01-03,2006-04-05,2006-04-06,2006-06-28,38.67050743441581,25.305822057754636,-0.30121955986858673,0.4666666666666667
4,1680,60,2000-01-03,2006-06-28,2006-06-29,2006-09-20,26.514028874854763,16.525853064317356,-0.21338747206811837,0.6166666666666667
5,1740,60,2000-01-03,2006-09-20,2006-09-21,2006-12-13,39.273015702027536,27.22603190535772,-2.833367434332852,0.6
6,1800,60,2000-01-03,2006-12-13,2006-12-14,2007-03-07,19.39199481238751,15.390050652571642,0.05683311515288769,0.48333333333333334
7,1860,60,2000-01-03,2007-03-07,2007-03-08,2007-05-30,45.25569518900903,39.33296329399699,-2.092811453573572,0.4166666666666667
8,1920,60,2000-01-03,2007-05-30,2007-05-31,2007-08-22,77.82246722820791,71.19172734465276,-1.1558155768972598,0.16666666666666666
9,1980,60,2000-01-03,2007-08-22,2007-08-23,2007-11-14,81.5380300218545,67.79895887315992,-0.1537533537418576,0.4166666666666667
10,2040,60,2000-01-03,2007-11-14,2007-11-15,2008-02-06,114.10489534494042,80.39458579403758,-0.17104974565302267,0.3333333333333333
11,2100,60,2000-01-03,2008-02-06,2008-02-07,2008-04-30,159.66783309674236,123.81793285692744,0.021730816811100562,0.4666666666666667
12,2160,60,2000-01-03,2008-04-30,2008-05-01,2008-07-23,127.30707073599949,97.6290787504901,-2.322793980238419,0.36666666666666664
13,2220,60,2000-01-03,2008-07-23,2008-07-24,2008-10-15,86.64899027419862,64.08219592604506,0.31912756627658057,0.4666666666666667
14,2280,60,2000-01-03,2008-10-15,2008-10-16,2009-01-07,81.36058412448564,72.34845003901046,-2.8198647249254574,0.5666666666666667
15,2340,60,2000-01-03,2009-01-07,2009-01-08,2009-04-01,67.12961407458887,59.9896706021972,-5.858340590855086,0.35
16,2400,60,2000-01-03,2009-04-01,2009-04-02,2009-06-24,54.67292181522163,46.46708548222409,-0.5800060335431481,0.3
17,2460,60,2000-01-03,2009-06-24,2009-06-25,2009-09-16,50.11733149663129,42.53105847300102,-1.420504648878934,0.4166666666666667
18,2520,60,2000-01-03,2009-09-16,2009-09-17,2009-12-09,55.98350732344631,45.546855490273096,-1.731067450564535,0.35
19,2580,60,2000-01-03,2009-12-09,2009-12-10,2010-03-03,29.654826388265054,24.471533798583703,-0.14196105960247962,0.45
