fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
1,1500,60,2000-01-03,2005-10-19,2005-10-20,2006-01-11,35.97489446814974,20.92257237151125,0.18562948215010644,0.4
2,1560,60,2000-01-03,2006-01-11,2006-01-12,2006-04-05,27.335431976185138,11.190298783254104,0.07420699490660254,0.6333333333333333
3,1620,60,2000-01-03,2006-04-05,2006-04-06,2006-06-28,26.060241583560387,13.486988397246174,0.05121245974342481,0.5
4,1680,60,2000-01-03,2006-06-28,2006-06-29,2006-09-20,24.048620796609384,15.964987739733536,-0.21196260557082125,0.7333333333333333
5,1740,60,2000-01-03,2006-09-20,2006-09-21,2006-12-13,74.93148684766173,69.73515988602857,-4.513251446798263,0.25
6,1800,60,2000-01-03,2006-12-13,2006-12-14,2007-03-07,59.14641236391032,55.310569785306164,-10.11097713565512,0.43333333333333335
7,1860,60,2000-01-03,2007-03-07,2007-03-08,2007-05-30,22.040160691131184,17.443530110631524,-1.2076403451329099,0.5
8,1920,60,2000-01-03,2007-05-30,2007-05-31,2007-08-22,32.94104903167518,30.40495545929757,-0.3854734746893589,0.5333333333333333
9,1980,60,2000-01-03,2007-08-22,2007-08-23,2007-11-14,32.58876896651533,28.30343478552941,-2.1255610063225596,0.31666666666666665
10,2040,60,2000-01-03,2007-11-14,2007-11-15,2008-02-06,90.65242474099912,78.01997244898529,-2.823939639158472,0.23333333333333334
11,2100,60,2000-01-03,2008-02-06,2008-02-07,2008-04-30,96.98930162153448,92.41980960876268,-3.6068372620961977,0.2833333333333333
12,2160,60,2000-01-03,2008-04-30,2008-05-01,2008-07-23,102.21596034583551,78.9233755684368,-0.7152347841791751,0.5
13,2220,60,2000-01-03,2008-07-23,2008-07-24,2008-10-15,74.2377993100134,59.35193543826573,-0.26055414830007173,0.5
14,2280,60,2000-01-03,2008-10-15,2008-10-16,2009-01-07,32.58004915067862,26.326222413675524,-0.215161233224054,0.5166666666666667
15,2340,60,2000-01-03,2009-01-07,2009-01-08,2009-04-01,17.844644626090084,15.437852914917478,-0.029096368333363376,0.55
16,2400,60,2000-01-03,2009-04-01,2009-04-02,2009-06-24,44.488130439789764,37.79988065611961,-1.8816802089441906,0.23333333333333334
17,2460,60,2000-01-03,2009-06-24,2009-06-25,2009-09-16,44.77885059430746,41.14715440840494,-7.965077678626043,0.38333333333333336
18,2520,60,2000-01-03,2009-09-16,2009-09-17,2009-12-09,25.978186097306438,21.214547302151104,-1.0142190411297767,0.43333333333333335
19,2580,60,2000-01-03,2009-12-09,2009-12-10,2010-03-03,18.3134820703687,15.551930625200324,0.3050753336865317,0.45
20,2640,60,2000-01-03,2010-03-03,2010-03-04,2010-05-26,16.41744384973269,13.92487525728581,-2.181072782700952,0.5666666666666667
21,2700,60,2000-01-03,2010-05-26,2010-05-27,2010-08-18,31.890084504149435,27.21595724791317,-0.5178853458982668,0.4
22,2760,60,2000-01-03,2010-08-18,2010-08-19,2010-11-10,123.66029432822776,116.05404753695639,-4.748094738319152,0.3333333333333333
23,2820,60,2000-01-03,2010-11-10,2010-11-11,2011-02-02,59.7569780147511,42.00008234342497,0.26931593266033405,0.4166666666666667
24,2880,60,2000-01-03,2011-02-02,2011-02-03,2011-04-27,85.7690256477762,68.29201282154695,-0.49390252683531455,0.48333333333333334
25,2940,60,2000-01-03,2011-04-27,2011-04-28,2011-07-20,69.92564260483564,40.36087385147252,0.011919508936744316,0.6833333333333333
26,3000,60,2000-01-03,2011-07-20,2011-07-21,2011-10-12,57.77686356403683,41.04009528429556,0.11025661691587174,0.5166666666666667
27,3060,60,2000-01-03,2011-10-12,2011-10-13,2012-01-04,59.46706458059552,40.48433871373745,0.016521319414215863,0.48333333333333334
28,3120,60,2000-01-03,2012-01-04,2012-01-05,2012-03-28,66.88902945266894,51.133971597171225,-0.24098499859858102,0.48333333333333334
29,3180,60,2000-01-03,2012-03-28,2012-03-29,2012-06-20,45.58022505808371,30.836013176343137,-0.13083832785534177,0.65
30,3240,60,2000-01-03,2012-06-20,2012-06-21,2012-09-12,173.65022470542502,169.74447395514352,-3.9467309242985635,0.5
