fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
1,1500,60,2000-01-03,2005-10-19,2005-10-20,2006-01-11,87.47535288378059,39.44305787941145,0.05820799905731866,0.6
2,1560,60,2000-01-03,2006-01-11,2006-01-12,2006-04-05,73.12716732254209,35.07965334690145,0.025790392269748108,0.48333333333333334
3,1620,60,2000-01-03,2006-04-05,2006-04-06,2006-06-28,71.40241931234586,29.854914387640893,0.021444043242033195,0.5166666666666667
4,1680,60,2000-01-03,2006-06-28,2006-06-29,2006-09-20,93.66239566222514,76.31438596757424,-1.557870387868313,0.25
5,1740,60,2000-01-03,2006-09-20,2006-09-21,2006-12-13,132.63539820004215,131.77924345345096,-10.460604094940754,0.7166666666666667
6,1800,60,2000-01-03,2006-12-13,2006-12-14,2007-03-07,122.48857608293837,87.60823531118403,-1.3690044669710302,0.65
7,1860,60,2000-01-03,2007-03-07,2007-03-08,2007-05-30,85.36780595115512,79.95331853466799,-1.6703629449300337,0.7
8,1920,60,2000-01-03,2007-05-30,2007-05-31,2007-08-22,42.10761669719215,32.6378031261977,-0.7978923886072162,0.6333333333333333
9,1980,60,2000-01-03,2007-08-22,2007-08-23,2007-11-14,97.37149068093308,89.62981388348068,-2.686878790469013,0.18333333333333332
10,2040,60,2000-01-03,2007-11-14,2007-11-15,2008-02-06,241.7881272531153,221.2547543086148,-5.459467655698873,0.18333333333333332
11,2100,60,2000-01-03,2008-02-06,2008-02-07,2008-04-30,195.0411557581285,178.2238364000085,-2.6628376159171085,0.5333333333333333
12,2160,60,2000-01-03,2008-04-30,2008-05-01,2008-07-23,213.94330405987455,188.9118272510254,-1.6554472851990836,0.5166666666666667
13,2220,60,2000-01-03,2008-07-23,2008-07-24,2008-10-15,195.31922839607537,169.37272682398986,-0.4736570323689644,0.4166666666666667
14,2280,60,2000-01-03,2008-10-15,2008-10-16,2009-01-07,63.56098776689422,54.023308088265146,-0.16339353739830398,0.55
15,2340,60,2000-01-03,2009-01-07,2009-01-08,2009-04-01,45.08786541682697,40.50674013643855,0.20345596585593229,0.5666666666666667
16,2400,60,2000-01-03,2009-04-01,2009-04-02,2009-06-24,187.5237597896371,173.16858847639315,-4.613852581580234,0.25
17,2460,60,2000-01-03,2009-06-24,2009-06-25,2009-09-16,94.70082455321507,78.63471401578717,-0.19378963015331307,0.5333333333333333
18,2520,60,2000-01-03,2009-09-16,2009-09-17,2009-12-09,50.94176414268177,44.182905131950626,-0.1995373769057487,0.5
19,2580,60,2000-01-03,2009-12-09,2009-12-10,2010-03-03,47.192515584054306,40.14124780516885,-0.5161293136489029,0.43333333333333335
20,2640,60,2000-01-03,2010-03-03,2010-03-04,2010-05-26,21.995584460621654,17.506905328792584,-0.2267601160844317,0.6166666666666667
21,2700,60,2000-01-03,2010-05-26,2010-05-27,2010-08-18,40.92509940734181,31.761590897843693,-0.09315157646284278,0.6166666666666667
22,2760,60,2000-01-03,2010-08-18,2010-08-19,2010-11-10,104.46739014826083,82.77989091525727,-0.23367579786872295,0.45
