fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
1,1500,60,2000-01-03,2005-10-19,2005-10-20,2006-01-11,42.81520112223873,21.38733702742128,0.15870568463404022,0.45
2,1560,60,2000-01-03,2006-01-11,2006-01-12,2006-04-05,35.603870875480226,18.74639175499773,-0.2599739298461299,0.4666666666666667
3,1620,60,2000-01-03,2006-04-05,2006-04-06,2006-06-28,34.47252222717332,23.046358306484205,-0.03403910166650581,0.6166666666666667
4,1680,60,2000-01-03,2006-06-28,2006-06-29,2006-09-20,25.66317614520637,16.498746356541883,-0.13676021766931035,0.6666666666666666
5,1740,60,2000-01-03,2006-09-20,2006-09-21,2006-12-13,87.61950639163499,84.91706746659663,-18.080666951193482,0.48333333333333334
6,1800,60,2000-01-03,2006-12-13,2006-12-14,2007-03-07,20.585425577873462,18.715097077371645,-0.0628286948960104,0.45
7,1860,60,2000-01-03,2007-03-07,2007-03-08,2007-05-30,25.987837080775982,19.991147167519447,-0.019875677655759594,0.5833333333333334
8,1920,60,2000-01-03,2007-05-30,2007-05-31,2007-08-22,154.92799159533686,145.40555067065637,-7.544003094991439,0.16666666666666666
9,1980,60,2000-01-03,2007-08-22,2007-08-23,2007-11-14,217.93160529263116,210.70956574645706,-7.242007076485981,0.5833333333333334
10,2040,60,2000-01-03,2007-11-14,2007-11-15,2008-02-06,178.83974226191617,170.1253534144677,-1.8767019036257158,0.31666666666666665
11,2100,60,2000-01-03,2008-02-06,2008-02-07,2008-04-30,165.55182685797763,128.97488639064605,-0.05169901019862411,0.6
12,2160,60,2000-01-03,2008-04-30,2008-05-01,2008-07-23,83.51728034787563,57.72133984077512,-0.4300494369443122,0.4
13,2220,60,2000-01-03,2008-07-23,2008-07-24,2008-10-15,148.3719218157131,121.0067041323767,-0.9963752770351553,0.4
14,2280,60,2000-01-03,2008-10-15,2008-10-16,2009-01-07,89.89971335406709,77.42177475013128,-3.6637630940878854,0.5
15,2340,60,2000-01-03,2009-01-07,2009-01-08,2009-04-01,41.58761573274246,35.81732947169002,-1.6321994422190937,0.43333333333333335
16,2400,60,2000-01-03,2009-04-01,2009-04-02,2009-06-24,56.01483928160128,43.04128474869374,-0.6585186745056741,0.55
17,2460,60,2000-01-03,2009-06-24,2009-06-25,2009-09-16,82.69435053808904,75.6809669177294,-5.5899440103656115,0.4
18,2520,60,2000-01-03,2009-09-16,2009-09-17,2009-12-09,32.9045682636375,27.414763866982483,0.056537563584890926,0.5333333333333333
19,2580,60,2000-01-03,2009-12-09,2009-12-10,2010-03-03,57.83130632877905,51.96126263340302,-3.34296698883667,0.48333333333333334
20,2640,60,2000-01-03,2010-03-03,2010-03-04,2010-05-26,46.48232054543355,42.598358366962536,-6.581955814757807,0.4
21,2700,60,2000-01-03,2010-05-26,2010-05-27,2010-08-18,67.03391354851811,53.023731619360326,0.562045241565983,0.5
22,2760,60,2000-01-03,2010-08-18,2010-08-19,2010-11-10,61.324534984735614,50.02640207093379,-2.146238441883077,0.5
23,2820,60,2000-01-03,2010-11-10,2010-11-11,2011-02-02,68.2129914675197,41.59659329851802,0.32848012030855167,0.5666666666666667
24,2880,60,2000-01-03,2011-02-02,2011-02-03,2011-04-27,83.22221837267008,58.65275872131011,-0.9281985268012296,0.6
25,2940,60,2000-01-03,2011-04-27,2011-04-28,2011-07-20,81.92611056421477,63.556494816787854,-0.3890491652490158,0.5166666666666667
26,3000,60,2000-01-03,2011-07-20,2011-07-21,2011-10-12,52.514609820659835,42.650411631436626,-0.0846572010428781,0.5
27,3060,60,2000-01-03,2011-10-12,2011-10-13,2012-01-04,65.46035352338572,56.00171800928946,-3.1667868927579628,0.38333333333333336
28,3120,60,2000-01-03,2012-01-04,2012-01-05,2012-03-28,58.21457197101672,48.55895184378537,-2.2202650028249717,0.5
29,3180,60,2000-01-03,2012-03-28,2012-03-29,2012-06-20,43.70651120737785,34.0216032665206,-0.21444256663902772,0.6333333333333333
30,3240,60,2000-01-03,2012-06-20,2012-06-21,2012-09-12,144.12133361110918,141.32118278752696,-3.015728075905189,0.43333333333333335
31,3300,60,2000-01-03,2012-09-12,2012-09-13,2012-12-05,82.97508074694463,62.27954816038196,-0.14889342842846753,0.6666666666666666
32,3360,60,2000-01-03,2012-12-05,2012-12-06,2013-02-27,82.59037714620739,53.80701645389308,-0.540525899139239,0.25
33,3420,60,2000-01-03,2013-02-27,2013-02-28,2013-05-22,40.29635404396919,23.101676561103197,-0.2451115033375042,0.6
34,3480,60,2000-01-03,2013-05-22,2013-05-23,2013-08-14,30.19963025156647,20.456380991175486,-0.08575641222949804,0.5166666666666667
35,3540,60,2000-01-03,2013-08-14,2013-08-15,2013-11-06,26.375044931768695,19.18143745899745,0.19392150862248547,0.6333333333333333
36,3600,60,2000-01-03,2013-11-06,2013-11-07,2014-01-29,54.283010698050276,45.360183947429036,-1.0499680248851666,0.25
37,3660,60,2000-01-03,2014-01-29,2014-01-30,2014-04-23,37.627646963139284,29.263622697027245,0.3554854373576565,0.48333333333333334
38,3720,60,2000-01-03,2014-04-23,2014-04-24,2014-07-16,61.14132464669182,55.43487741713596,0.02100842195341146,0.18333333333333332
39,3780,60,2000-01-03,2014-07-16,2014-07-17,2014-10-08,30.956736467193473,23.97577021669584,-0.3461361114278687,0.6666666666666666
40,3840,60,2000-01-03,2014-10-08,2014-10-09,2014-12-31,42.473413279157626,34.56093563608033,-0.09027148569351673,0.4166666666666667
41,3900,60,2000-01-03,2014-12-31,2015-01-01,2015-03-25,40.1161915144856,37.07844464889845,-5.970961639387077,0.4
