date,close,high,low,open,volume,commodity,ticker
2000-01-03,830.0,846.0,820.0,840.0,2426,Cocoa,CC=F
2000-01-04,836.0,841.0,823.0,830.0,1957,Cocoa,CC=F
2000-01-05,831.0,850.0,828.0,840.0,3975,Cocoa,CC=F
2000-01-06,841.0,847.0,824.0,830.0,3454,Cocoa,CC=F
2000-01-07,853.0,855.0,836.0,848.0,5008,Cocoa,CC=F
2000-01-10,839.0,855.0,837.0,848.0,3900,Cocoa,CC=F
2000-01-11,846.0,853.0,836.0,838.0,2073,Cocoa,CC=F
2000-01-12,854.0,855.0,843.0,848.0,2458,Cocoa,CC=F
2000-01-13,871.0,875.0,845.0,854.0,7037,Cocoa,CC=F
2000-01-14,850.0,872.0,847.0,870.0,4477,Cocoa,CC=F
2000-01-18,828.0,837.0,825.0,835.0,6976,Cocoa,CC=F
2000-01-19,844.0,845.0,815.0,828.0,5731,Cocoa,CC=F
2000-01-20,853.0,859.0,840.0,841.0,4759,Cocoa,CC=F
2000-01-21,861.0,865.0,848.0,857.0,5036,Cocoa,CC=F
2000-01-24,844.0,866.0,842.0,858.0,2671,Cocoa,CC=F
2000-01-25,838.0,846.0,835.0,845.0,2973,Cocoa,CC=F
2000-01-26,846.0,854.0,831.0,834.0,3964,Cocoa,CC=F
2000-01-27,823.0,852.0,820.0,848.0,5849,Cocoa,CC=F
2000-01-28,811.0,836.0,805.0,829.0,7540,Cocoa,CC=F
2000-01-31,795.0,812.0,794.0,810.0,6201,Cocoa,CC=F
2000-02-01,763.0,793.0,757.0,780.0,8622,Cocoa,CC=F
2000-02-02,766.0,779.0,763.0,775.0,5044,Cocoa,CC=F
2000-02-03,774.0,778.0,765.0,770.0,3021,Cocoa,CC=F
2000-02-04,765.0,774.0,751.0,774.0,4604,Cocoa,CC=F
2000-02-07,783.0,785.0,761.0,765.0,5579,Cocoa,CC=F
2000-02-08,767.0,788.0,761.0,781.0,6178,Cocoa,CC=F
2000-02-09,784.0,785.0,767.0,767.0,7150,Cocoa,CC=F
2000-02-10,776.0,782.0,774.0,775.0,5701,Cocoa,CC=F
2000-02-11,759.0,775.0,750.0,770.0,7767,Cocoa,CC=F
2000-02-14,740.0,764.0,735.0,755.0,13644,Cocoa,CC=F
2000-02-15,748.0,760.0,742.0,745.0,1547,Cocoa,CC=F
2000-02-16,764.0,770.0,751.0,760.0,2052,Cocoa,CC=F
2000-02-17,781.0,784.0,764.0,767.0,887,Cocoa,CC=F
2000-02-18,780.0,790.0,773.0,788.0,887,Cocoa,CC=F
2000-02-22,760.0,778.0,760.0,770.0,67,Cocoa,CC=F
2000-02-23,769.0,772.0,763.0,765.0,50,Cocoa,CC=F
2000-02-24,767.0,805.0,760.0,780.0,187,Cocoa,CC=F
2000-02-25,734.0,767.0,734.0,765.0,49,Cocoa,CC=F
2000-02-28,740.0,748.0,732.0,735.0,148,Cocoa,CC=F
2000-02-29,753.0,754.0,730.0,730.0,17,Cocoa,CC=F
2000-03-01,759.0,759.0,745.0,755.0,11,Cocoa,CC=F
2000-03-02,791.0,791.0,770.0,770.0,35,Cocoa,CC=F
2000-03-03,805.0,814.0,800.0,814.0,11,Cocoa,CC=F
2000-03-06,802.0,805.0,775.0,805.0,10,Cocoa,CC=F
2000-03-07,819.0,829.0,810.0,815.0,10,Cocoa,CC=F
2000-03-08,829.0,829.0,802.0,820.0,9,Cocoa,CC=F
2000-03-09,819.0,868.0,815.0,840.0,22,Cocoa,CC=F
2000-03-10,840.0,845.0,808.0,835.0,13,Cocoa,CC=F
2000-03-13,860.0,860.0,800.0,845.0,10,Cocoa,CC=F
2000-03-14,880.0,880.0,842.0,873.0,32,Cocoa,CC=F
2000-03-15,846.0,893.0,825.0,826.0,14,Cocoa,CC=F
2000-03-16,878.0,910.0,862.0,910.0,0,Cocoa,CC=F
2000-03-17,898.0,929.0,893.0,917.0,7745,Cocoa,CC=F
2000-03-20,857.0,891.0,851.0,885.0,6808,Cocoa,CC=F
2000-03-21,868.0,870.0,845.0,862.0,5489,Cocoa,CC=F
2000-03-22,871.0,875.0,856.0,862.0,3627,Cocoa,CC=F
2000-03-23,876.0,883.0,860.0,868.0,3136,Cocoa,CC=F
2000-03-24,840.0,866.0,828.0,862.0,7655,Cocoa,CC=F
2000-03-27,797.0,840.0,792.0,840.0,9678,Cocoa,CC=F
2000-03-28,815.0,819.0,786.0,792.0,5519,Cocoa,CC=F
2000-03-29,796.0,833.0,792.0,820.0,6670,Cocoa,CC=F
2000-03-30,794.0,807.0,790.0,796.0,4101,Cocoa,CC=F
2000-03-31,800.0,811.0,794.0,804.0,4065,Cocoa,CC=F
2000-04-03,784.0,804.0,783.0,785.0,3907,Cocoa,CC=F
2000-04-04,809.0,814.0,785.0,785.0,4543,Cocoa,CC=F
2000-04-05,811.0,819.0,806.0,817.0,2865,Cocoa,CC=F
2000-04-06,825.0,838.0,818.0,820.0,4478,Cocoa,CC=F
2000-04-07,810.0,820.0,806.0,815.0,4707,Cocoa,CC=F
2000-04-10,807.0,810.0,793.0,808.0,6551,Cocoa,CC=F
2000-04-11,803.0,819.0,801.0,808.0,6944,Cocoa,CC=F
2000-04-12,802.0,809.0,793.0,796.0,7164,Cocoa,CC=F
2000-04-13,815.0,822.0,795.0,795.0,11975,Cocoa,CC=F
2000-04-14,807.0,824.0,799.0,815.0,2174,Cocoa,CC=F
2000-04-17,824.0,830.0,797.0,800.0,317,Cocoa,CC=F
2000-04-18,837.0,850.0,830.0,835.0,343,Cocoa,CC=F
2000-04-19,813.0,846.0,805.0,837.0,430,Cocoa,CC=F
2000-04-20,803.0,815.0,794.0,813.0,102,Cocoa,CC=F
2000-04-24,764.0,804.0,760.0,803.0,105,Cocoa,CC=F
2000-04-25,769.0,775.0,763.0,764.0,38,Cocoa,CC=F
2000-04-26,765.0,780.0,765.0,770.0,14,Cocoa,CC=F
2000-04-27,755.0,768.0,753.0,755.0,41,Cocoa,CC=F
2000-04-28,747.0,763.0,747.0,760.0,15,Cocoa,CC=F
2000-05-01,764.0,767.0,740.0,752.0,25,Cocoa,CC=F
2000-05-02,763.0,784.0,756.0,784.0,11,Cocoa,CC=F
2000-05-03,772.0,772.0,755.0,755.0,2,Cocoa,CC=F
2000-05-04,772.0,781.0,767.0,781.0,10,Cocoa,CC=F
2000-05-05,771.0,773.0,771.0,773.0,3,Cocoa,CC=F
2000-05-08,748.0,775.0,743.0,775.0,5,Cocoa,CC=F
2000-05-09,769.0,769.0,751.0,753.0,9,Cocoa,CC=F
2000-05-10,765.0,772.0,765.0,772.0,2,Cocoa,CC=F
2000-05-11,796.0,800.0,796.0,800.0,3,Cocoa,CC=F
2000-05-12,778.0,778.0,778.0,778.0,8,Cocoa,CC=F
2000-05-15,783.0,795.0,781.0,781.0,0,Cocoa,CC=F
2000-05-16,837.0,840.0,810.0,810.0,5369,Cocoa,CC=F
2000-05-17,821.0,840.0,812.0,839.0,4760,Cocoa,CC=F
2000-05-18,829.0,833.0,812.0,814.0,2770,Cocoa,CC=F
2000-05-19,857.0,865.0,842.0,842.0,9070,Cocoa,CC=F
2000-05-22,840.0,859.0,837.0,853.0,3720,Cocoa,CC=F
2000-05-23,834.0,848.0,833.0,838.0,3681,Cocoa,CC=F
2000-05-24,850.0,859.0,832.0,835.0,6341,Cocoa,CC=F
2000-05-25,831.0,874.0,826.0,866.0,8666,Cocoa,CC=F
2000-05-26,835.0,843.0,821.0,835.0,3538,Cocoa,CC=F
2000-05-30,830.0,842.0,828.0,835.0,2671,Cocoa,CC=F
2000-05-31,842.0,844.0,829.0,837.0,3929,Cocoa,CC=F
2000-06-01,848.0,850.0,839.0,840.0,3041,Cocoa,CC=F
2000-06-02,848.0,858.0,843.0,855.0,5317,Cocoa,CC=F
2000-06-05,831.0,845.0,828.0,843.0,5182,Cocoa,CC=F
2000-06-06,832.0,840.0,828.0,834.0,4374,Cocoa,CC=F
2000-06-07,817.0,827.0,806.0,827.0,8114,Cocoa,CC=F
2000-06-08,869.0,872.0,815.0,822.0,11562,Cocoa,CC=F
2000-06-09,849.0,885.0,846.0,865.0,5806,Cocoa,CC=F
2000-06-12,850.0,854.0,838.0,845.0,4999,Cocoa,CC=F
2000-06-13,846.0,866.0,845.0,855.0,5152,Cocoa,CC=F
2000-06-14,849.0,855.0,845.0,850.0,4113,Cocoa,CC=F
2000-06-15,849.0,860.0,843.0,845.0,5266,Cocoa,CC=F
2000-06-16,849.0,858.0,847.0,855.0,7848,Cocoa,CC=F
2000-06-19,837.0,853.0,832.0,850.0,635,Cocoa,CC=F
2000-06-20,834.0,837.0,810.0,832.0,271,Cocoa,CC=F
2000-06-21,855.0,855.0,834.0,834.0,86,Cocoa,CC=F
2000-06-22,903.0,905.0,857.0,860.0,112,Cocoa,CC=F
2000-06-23,825.0,895.0,825.0,895.0,95,Cocoa,CC=F
2000-06-26,800.0,828.0,791.0,821.0,86,Cocoa,CC=F
2000-06-27,808.0,818.0,805.0,805.0,22,Cocoa,CC=F
2000-06-28,812.0,819.0,808.0,818.0,50,Cocoa,CC=F
2000-06-29,813.0,815.0,809.0,815.0,48,Cocoa,CC=F
2000-06-30,820.0,826.0,805.0,805.0,48,Cocoa,CC=F
2000-07-05,819.0,847.0,808.0,847.0,2,Cocoa,CC=F
2000-07-06,812.0,821.0,803.0,821.0,3,Cocoa,CC=F
2000-07-07,826.0,830.0,814.0,830.0,3,Cocoa,CC=F
2000-07-10,823.0,823.0,823.0,823.0,0,Cocoa,CC=F
2000-07-11,830.0,830.0,826.0,828.0,2,Cocoa,CC=F
2000-07-12,813.0,823.0,813.0,820.0,24,Cocoa,CC=F
2000-07-13,831.0,831.0,816.0,816.0,3,Cocoa,CC=F
2000-07-14,816.0,820.0,816.0,819.0,0,Cocoa,CC=F
2000-07-17,841.0,844.0,828.0,832.0,3202,Cocoa,CC=F
2000-07-18,849.0,853.0,838.0,840.0,3614,Cocoa,CC=F
2000-07-19,856.0,858.0,840.0,845.0,11339,Cocoa,CC=F
2000-07-20,886.0,898.0,854.0,855.0,6027,Cocoa,CC=F
2000-07-21,887.0,891.0,872.0,887.0,6610,Cocoa,CC=F
2000-07-24,840.0,875.0,838.0,875.0,3284,Cocoa,CC=F
2000-07-25,851.0,855.0,832.0,850.0,3358,Cocoa,CC=F
2000-07-26,847.0,854.0,841.0,845.0,2261,Cocoa,CC=F
2000-07-27,843.0,851.0,839.0,851.0,2150,Cocoa,CC=F
2000-07-28,843.0,845.0,837.0,841.0,4336,Cocoa,CC=F
2000-07-31,825.0,840.0,822.0,835.0,6406,Cocoa,CC=F
2000-08-01,821.0,826.0,805.0,820.0,4177,Cocoa,CC=F
2000-08-02,824.0,829.0,812.0,814.0,5700,Cocoa,CC=F
2000-08-03,798.0,820.0,786.0,820.0,7285,Cocoa,CC=F
2000-08-04,777.0,798.0,767.0,798.0,3965,Cocoa,CC=F
2000-08-07,762.0,784.0,760.0,772.0,3757,Cocoa,CC=F
2000-08-08,773.0,778.0,765.0,765.0,4776,Cocoa,CC=F
2000-08-09,750.0,775.0,747.0,773.0,2938,Cocoa,CC=F
2000-08-10,769.0,772.0,755.0,755.0,3032,Cocoa,CC=F
2000-08-11,769.0,780.0,767.0,780.0,0,Cocoa,CC=F
2000-08-14,770.0,774.0,764.0,769.0,4894,Cocoa,CC=F
2000-08-15,769.0,776.0,767.0,767.0,5843,Cocoa,CC=F
2000-08-16,762.0,768.0,757.0,768.0,6884,Cocoa,CC=F
2000-08-17,751.0,774.0,750.0,766.0,796,Cocoa,CC=F
2000-08-18,750.0,760.0,749.0,756.0,217,Cocoa,CC=F
2000-08-21,754.0,766.0,748.0,749.0,44,Cocoa,CC=F
2000-08-22,751.0,766.0,750.0,750.0,48,Cocoa,CC=F
2000-08-23,740.0,759.0,735.0,759.0,75,Cocoa,CC=F
2000-08-24,750.0,770.0,747.0,747.0,62,Cocoa,CC=F
2000-08-25,744.0,752.0,735.0,735.0,12,Cocoa,CC=F
2000-08-28,749.0,750.0,745.0,750.0,12,Cocoa,CC=F
2000-08-29,744.0,750.0,737.0,737.0,14,Cocoa,CC=F
2000-08-30,760.0,760.0,738.0,743.0,24,Cocoa,CC=F
2000-08-31,745.0,760.0,745.0,760.0,21,Cocoa,CC=F
2000-09-01,757.0,757.0,748.0,750.0,17,Cocoa,CC=F
2000-09-05,775.0,790.0,773.0,778.0,5,Cocoa,CC=F
2000-09-06,780.0,780.0,770.0,770.0,15,Cocoa,CC=F
2000-09-07,761.0,761.0,759.0,759.0,21,Cocoa,CC=F
2000-09-08,778.0,778.0,760.0,760.0,0,Cocoa,CC=F
2000-09-11,767.0,767.0,767.0,767.0,28,Cocoa,CC=F
2000-09-12,778.0,778.0,773.0,773.0,6,Cocoa,CC=F
