date,close,high,low,open,volume,commodity,ticker
2000-01-03,116.75,117.5,116.75,117.25,2,Oat,ZO=F
2000-01-04,117.0,117.0,117.0,117.0,12,Oat,ZO=F
2000-01-05,116.75,117.5,116.75,117.25,6,Oat,ZO=F
2000-01-06,117.0,117.5,116.75,117.25,6,Oat,ZO=F
2000-01-07,117.25,117.5,116.75,117.25,6,Oat,ZO=F
2000-01-10,118.0,118.0,118.0,118.0,10,Oat,ZO=F
2000-01-11,117.0,118.25,116.75,118.0,12,Oat,ZO=F
2000-01-12,119.0,118.5,118.5,118.5,12,Oat,ZO=F
2000-01-13,120.5,120.5,117.5,117.5,41,Oat,ZO=F
2000-01-14,120.0,120.25,120.0,120.25,16,Oat,ZO=F
2000-01-18,120.25,120.25,119.75,119.75,52,Oat,ZO=F
2000-01-19,122.0,122.0,121.0,121.5,7,Oat,ZO=F
2000-01-20,122.0,122.75,122.0,122.5,67,Oat,ZO=F
2000-01-21,121.0,121.75,121.0,121.75,13,Oat,ZO=F
2000-01-24,121.5,122.0,121.5,122.0,7,Oat,ZO=F
2000-01-25,122.5,122.5,122.0,122.0,11,Oat,ZO=F
2000-01-26,121.25,122.5,122.0,122.0,66,Oat,ZO=F
2000-01-27,121.5,122.0,120.5,120.5,63,Oat,ZO=F
2000-01-28,121.25,121.75,120.75,121.75,49,Oat,ZO=F
2000-01-31,120.0,120.0,120.0,120.0,1,Oat,ZO=F
2000-02-01,119.25,120.0,118.5,120.0,14,Oat,ZO=F
2000-02-02,118.75,118.75,118.75,118.75,1,Oat,ZO=F
2000-02-03,118.0,118.0,118.0,118.0,10,Oat,ZO=F
2000-02-04,117.5,117.5,117.0,117.0,13,Oat,ZO=F
2000-02-07,118.75,119.25,118.75,119.25,16,Oat,ZO=F
2000-02-08,117.5,118.25,117.5,118.25,15,Oat,ZO=F
2000-02-09,117.0,117.5,117.0,117.5,31,Oat,ZO=F
2000-02-10,118.0,119.0,117.5,117.5,20,Oat,ZO=F
2000-02-11,118.0,119.0,118.0,119.0,15,Oat,ZO=F
2000-02-14,119.0,119.0,119.0,119.0,13,Oat,ZO=F
2000-02-15,119.0,119.0,119.0,119.0,13,Oat,ZO=F
2000-02-16,118.25,119.0,118.25,119.0,26,Oat,ZO=F
2000-02-17,117.5,118.0,117.5,118.0,9,Oat,ZO=F
2000-02-18,119.0,119.0,118.25,118.25,37,Oat,ZO=F
2000-02-22,118.75,119.0,118.5,119.0,106,Oat,ZO=F
2000-02-23,117.5,117.75,117.25,117.5,120,Oat,ZO=F
2000-02-24,117.75,117.75,117.0,117.0,166,Oat,ZO=F
2000-02-25,117.0,118.25,117.0,118.25,85,Oat,ZO=F
2000-02-28,116.75,117.75,116.75,117.5,56,Oat,ZO=F
2000-02-29,119.5,119.5,117.25,117.25,74,Oat,ZO=F
2000-03-01,119.0,120.25,119.0,119.5,286,Oat,ZO=F
2000-03-02,119.0,119.5,119.0,119.0,12,Oat,ZO=F
2000-03-03,119.5,120.0,119.5,119.5,34,Oat,ZO=F
2000-03-06,120.0,120.25,119.25,119.25,78,Oat,ZO=F
2000-03-07,118.0,120.5,118.0,120.5,63,Oat,ZO=F
2000-03-08,118.5,118.5,118.5,118.5,48,Oat,ZO=F
2000-03-09,118.5,118.75,118.5,118.75,6,Oat,ZO=F
2000-03-10,118.0,118.5,118.0,118.5,47,Oat,ZO=F
2000-03-13,120.0,120.5,119.0,119.25,55,Oat,ZO=F
2000-03-14,121.5,121.5,120.5,121.0,88,Oat,ZO=F
2000-03-15,121.25,122.0,121.25,121.5,20,Oat,ZO=F
2000-03-16,121.75,123.25,121.0,121.0,43,Oat,ZO=F
2000-03-17,123.25,123.75,122.5,123.75,26,Oat,ZO=F
2000-03-20,122.25,122.5,122.25,122.5,28,Oat,ZO=F
2000-03-21,122.0,123.0,122.0,122.25,106,Oat,ZO=F
2000-03-22,122.5,124.25,122.0,124.25,146,Oat,ZO=F
2000-03-23,120.75,121.75,120.75,121.75,38,Oat,ZO=F
2000-03-24,121.5,122.0,121.5,122.0,10,Oat,ZO=F
2000-03-27,121.5,122.75,121.5,122.75,26,Oat,ZO=F
2000-03-28,119.75,122.0,119.75,122.0,152,Oat,ZO=F
2000-03-29,119.5,119.75,119.0,119.25,49,Oat,ZO=F
2000-03-30,121.5,121.5,118.0,120.0,11,Oat,ZO=F
2000-03-31,122.25,123.0,122.0,122.0,135,Oat,ZO=F
2000-04-03,123.0,124.5,123.0,124.0,66,Oat,ZO=F
2000-04-04,122.25,123.0,122.25,123.0,71,Oat,ZO=F
2000-04-05,122.5,123.25,122.5,123.25,31,Oat,ZO=F
2000-04-06,121.0,121.75,121.0,121.5,89,Oat,ZO=F
2000-04-07,121.5,121.75,120.75,121.0,80,Oat,ZO=F
2000-04-10,121.75,122.0,121.5,121.5,9,Oat,ZO=F
