date,close,high,low,open,volume,commodity,ticker
2000-01-04,429.70001220703125,430.0,421.0,428.0,632,Platinum,PL=F
2000-01-05,419.8999938964844,428.0,416.8999938964844,428.0,571,Platinum,PL=F
2000-01-06,412.0,417.0,409.0,415.0,494,Platinum,PL=F
2000-01-07,414.0,417.0,408.0,408.0,130,Platinum,PL=F
2000-01-10,415.0,415.0,414.0,414.0,24,Platinum,PL=F
2000-01-11,413.0,417.0,414.0,415.0,152,Platinum,PL=F
2000-01-12,417.3999938964844,415.0,415.0,415.0,1,Platinum,PL=F
2000-01-13,419.8999938964844,418.0,416.0,418.0,31,Platinum,PL=F
2000-01-14,425.3999938964844,428.0,419.0,419.0,5,Platinum,PL=F
2000-01-18,430.70001220703125,429.0,427.5,428.0,57,Platinum,PL=F
2000-01-19,443.20001220703125,439.0,437.0,437.0,32,Platinum,PL=F
2000-01-20,442.5,447.0,435.0,447.0,93,Platinum,PL=F
2000-01-21,445.5,449.5,441.3999938964844,441.3999938964844,22,Platinum,PL=F
2000-01-24,455.5,456.0,450.0,455.0,38,Platinum,PL=F
2000-01-25,461.3999938964844,459.0,454.0,459.0,26,Platinum,PL=F
2000-01-26,447.5,450.0,450.0,450.0,1286,Platinum,PL=F
2000-01-27,445.6000061035156,446.0,435.0,436.0,1772,Platinum,PL=F
2000-01-28,453.79998779296875,458.5,445.0,456.0,1858,Platinum,PL=F
2000-01-31,455.0,458.5,454.5,455.0,515,Platinum,PL=F
2000-02-01,452.8999938964844,455.5,451.5,455.0,613,Platinum,PL=F
2000-02-02,466.20001220703125,468.0,459.5,459.5,1648,Platinum,PL=F
2000-02-03,474.79998779296875,475.0,468.0,474.0,952,Platinum,PL=F
2000-02-04,479.0,480.5,472.5,477.0,1419,Platinum,PL=F
2000-02-07,474.29998779296875,490.0,469.5,489.0,1269,Platinum,PL=F
2000-02-08,498.5,502.0,479.0,484.0,1716,Platinum,PL=F
2000-02-09,529.5999755859375,532.0,510.5,515.0,2376,Platinum,PL=F
2000-02-10,517.9000244140625,519.5,505.0,511.0,1708,Platinum,PL=F
2000-02-11,526.4000244140625,528.0,515.0,523.0,1461,Platinum,PL=F
2000-02-14,517.2000122070312,520.0,514.0,516.4000244140625,1679,Platinum,PL=F
2000-02-15,530.5,537.5,512.0,516.0,1667,Platinum,PL=F
2000-02-16,542.4000244140625,544.9000244140625,529.0,531.2000122070312,1438,Platinum,PL=F
2000-02-17,529.4000244140625,555.0,516.2000122070312,548.0,2043,Platinum,PL=F
2000-02-18,503.20001220703125,515.0,489.3999938964844,510.0,0,Platinum,PL=F
2000-02-22,510.0,518.0,483.0,484.0,1362,Platinum,PL=F
2000-02-23,471.8999938964844,498.0,470.0,492.0,1562,Platinum,PL=F
2000-02-24,468.0,476.0,460.0,465.0,1943,Platinum,PL=F
2000-02-25,452.1000061035156,468.0,448.0,465.0,1591,Platinum,PL=F
2000-02-28,465.1000061035156,470.0,458.0,460.0,523,Platinum,PL=F
2000-02-29,471.70001220703125,480.0,468.0,474.0,1031,Platinum,PL=F
2000-03-01,467.20001220703125,474.0,463.0,474.0,458,Platinum,PL=F
2000-03-02,452.5,466.29998779296875,445.0,460.0,1473,Platinum,PL=F
2000-03-03,463.5,465.0,453.0,453.0,704,Platinum,PL=F
2000-03-06,464.1000061035156,465.0,460.0,461.0,191,Platinum,PL=F
2000-03-07,469.0,471.0,456.0,462.0,647,Platinum,PL=F
2000-03-08,468.20001220703125,473.5,468.0,470.0,426,Platinum,PL=F
2000-03-09,468.5,472.5,462.0,466.20001220703125,470,Platinum,PL=F
2000-03-10,470.70001220703125,475.0,467.0,471.0,500,Platinum,PL=F
2000-03-13,477.0,478.0,467.5,469.1000061035156,601,Platinum,PL=F
2000-03-14,478.1000061035156,484.5,475.5,477.0,607,Platinum,PL=F
2000-03-15,478.29998779296875,481.5,475.20001220703125,476.1000061035156,507,Platinum,PL=F
2000-03-16,481.70001220703125,485.0,480.0,480.0,1012,Platinum,PL=F
2000-03-17,484.79998779296875,488.0,479.5,485.5,1019,Platinum,PL=F
2000-03-20,487.20001220703125,489.8999938964844,482.70001220703125,484.5,562,Platinum,PL=F
2000-03-21,491.6000061035156,496.0,488.20001220703125,489.0,1199,Platinum,PL=F
2000-03-22,493.79998779296875,499.79998779296875,490.0,494.0,1305,Platinum,PL=F
2000-03-23,478.6000061035156,486.5,477.5,486.0,1694,Platinum,PL=F
2000-03-24,479.8999938964844,480.5,473.5,475.5,559,Platinum,PL=F
2000-03-27,475.5,478.0,475.0,475.5,1552,Platinum,PL=F
2000-03-28,479.29998779296875,483.0,465.0,477.5,975,Platinum,PL=F
2000-03-29,474.70001220703125,479.0,469.0,478.5,0,Platinum,PL=F
2000-03-30,479.0,481.0,471.0,473.0,809,Platinum,PL=F
2000-03-31,496.3999938964844,498.0,475.0,475.1000061035156,1763,Platinum,PL=F
2000-04-03,498.70001220703125,505.0,476.5,496.5,214,Platinum,PL=F
2000-04-04,518.0,518.0,498.0,498.0,215,Platinum,PL=F
2000-04-05,511.3999938964844,517.0,513.5,514.0,32,Platinum,PL=F
2000-04-06,498.5,505.0,495.0,505.0,43,Platinum,PL=F
2000-04-07,472.8999938964844,498.5,471.5,498.5,121,Platinum,PL=F
2000-04-10,485.6000061035156,488.1000061035156,476.0,476.0,113,Platinum,PL=F
2000-04-11,493.1000061035156,489.0,408.0,489.0,17,Platinum,PL=F
2000-04-12,494.29998779296875,496.0,491.0,495.0,36,Platinum,PL=F
2000-04-13,499.79998779296875,505.0,480.0,496.0,94,Platinum,PL=F
2000-04-14,512.5999755859375,515.0,515.0,515.0,11,Platinum,PL=F
2000-04-17,505.1000061035156,515.0,515.0,515.0,11,Platinum,PL=F
2000-04-18,508.29998779296875,515.0,514.0,515.0,18,Platinum,PL=F
2000-04-19,506.79998779296875,517.0,495.0,498.0,63,Platinum,PL=F
2000-04-20,497.79998779296875,515.0,497.5,497.5,7,Platinum,PL=F
2000-04-24,565.2999877929688,590.0,483.5,483.5,82,Platinum,PL=F
2000-04-25,775.0,800.0,570.0,570.0,1382,Platinum,PL=F
2000-04-26,438.1000061035156,444.0,433.0,440.0,1875,Platinum,PL=F
2000-04-27,462.1000061035156,463.5,444.0,445.0,1714,Platinum,PL=F
2000-04-28,500.0,503.0,477.0,494.0,2498,Platinum,PL=F
2000-05-01,498.29998779296875,509.79998779296875,486.0,496.0,1461,Platinum,PL=F
2000-05-02,483.20001220703125,494.0,481.0,489.0,825,Platinum,PL=F
2000-05-03,471.8999938964844,481.0,466.0,480.0,945,Platinum,PL=F
2000-05-04,480.20001220703125,484.0,472.5,472.5,631,Platinum,PL=F
2000-05-05,473.3999938964844,484.0,472.0,484.0,385,Platinum,PL=F
2000-05-08,475.0,482.0,468.20001220703125,469.5,489,Platinum,PL=F
2000-05-09,479.3999938964844,484.0,475.5,478.0,379,Platinum,PL=F
2000-05-10,486.0,486.0,481.0,481.0,368,Platinum,PL=F
2000-05-11,486.0,490.0,482.0,486.0,572,Platinum,PL=F
2000-05-12,484.79998779296875,489.6000061035156,480.1000061035156,488.0,430,Platinum,PL=F
2000-05-15,479.0,485.0,475.0,485.0,744,Platinum,PL=F
2000-05-16,483.5,484.0,475.5,478.0,313,Platinum,PL=F
2000-05-17,486.8999938964844,489.5,480.0,484.0,1542,Platinum,PL=F
2000-05-18,505.79998779296875,507.0,487.5,487.5,1542,Platinum,PL=F
2000-05-19,524.4000244140625,526.0,505.0,508.0,2317,Platinum,PL=F
2000-05-22,530.7000122070312,533.0,518.0,524.4000244140625,1325,Platinum,PL=F
2000-05-23,541.5,546.0,520.0,525.0,2186,Platinum,PL=F
2000-05-24,548.7999877929688,555.0,544.0,549.0,1759,Platinum,PL=F
2000-05-25,535.4000244140625,545.0,535.0,542.5999755859375,1856,Platinum,PL=F
2000-05-26,539.4000244140625,539.7999877929688,525.0,535.0,746,Platinum,PL=F
2000-05-30,545.9000244140625,549.7999877929688,538.2000122070312,540.0,675,Platinum,PL=F
2000-05-31,539.4000244140625,545.0,536.5,538.5,1251,Platinum,PL=F
2000-06-01,539.4000244140625,545.0,535.5,538.0,836,Platinum,PL=F
2000-06-02,552.2999877929688,554.0,543.0,543.0,927,Platinum,PL=F
2000-06-05,558.2999877929688,562.0,551.2000122070312,559.7999877929688,1034,Platinum,PL=F
2000-06-06,553.0999755859375,558.0,549.0,556.0,929,Platinum,PL=F
2000-06-07,534.2999877929688,555.0,533.5,554.0,2687,Platinum,PL=F
2000-06-08,539.9000244140625,544.7999877929688,531.0,536.0,1279,Platinum,PL=F
2000-06-09,537.7999877929688,546.0,536.0,538.0,505,Platinum,PL=F
2000-06-12,544.0,547.5,533.9000244140625,536.5,719,Platinum,PL=F
2000-06-13,541.0999755859375,549.9000244140625,539.0,549.0,546,Platinum,PL=F
2000-06-14,530.0,537.0,525.0,529.0,1591,Platinum,PL=F
2000-06-15,529.2999877929688,536.0,528.5,528.5,435,Platinum,PL=F
2000-06-16,534.0999755859375,537.0,533.0,535.0,568,Platinum,PL=F
2000-06-19,548.5,549.0,539.0,540.0,922,Platinum,PL=F
2000-06-20,562.2999877929688,566.0,556.0,556.0,1649,Platinum,PL=F
2000-06-21,556.0999755859375,564.9000244140625,548.0,562.5,1534,Platinum,PL=F
2000-06-22,562.0999755859375,568.0,560.0,566.0,1368,Platinum,PL=F
2000-06-23,551.0999755859375,565.2000122070312,546.0,565.2000122070312,3030,Platinum,PL=F
2000-06-26,565.4000244140625,569.0,555.2000122070312,560.0,1103,Platinum,PL=F
2000-06-27,556.5,566.5,542.0999755859375,565.0,3812,Platinum,PL=F
2000-06-28,573.5,575.0,565.0,566.0,3022,Platinum,PL=F
2000-06-29,567.7000122070312,571.0,562.0999755859375,567.0999755859375,1075,Platinum,PL=F
2000-06-30,565.5,567.2000122070312,553.0999755859375,560.5,989,Platinum,PL=F
2000-07-05,541.4000244140625,548.0,539.0,548.0,353,Platinum,PL=F
2000-07-06,564.0,564.0,542.0,545.0,293,Platinum,PL=F
